datetime_utc,no_change_april_2026_no,no_change_april_2026_yes,decreases_25_april_2026_no,decreases_25_april_2026_yes,decreases_50_april_2026_no,decreases_50_april_2026_yes,increases_25_april_2026_no,increases_25_april_2026_yes
19/03/2026,0.055,0.945,0.9655,0.0345,0.9895,0.0105,0.9885,0.0115
20/03/2026,0.045,0.955,0.979,0.021,0.9935,0.0065,0.98,0.02
21/03/2026,0.0545,0.9455,0.985,0.015,0.9945,0.0055,0.9665,0.035
22/03/2026,0.052,0.948,0.9875,0.0125,0.9945,0.0055,0.9645,0.0355
23/03/2026,0.0575,0.9425,0.9875,0.0125,0.9955,0.0045,0.9585,0.0415
24/03/2026,0.0515,0.9485,0.9875,0.0125,0.9955,0.0045,0.965,0.035
25/03/2026,0.0515,0.9485,0.9875,0.0125,0.9955,0.0045,0.966,0.034
26/03/2026,0.0455,0.9545,0.9875,0.0125,0.9955,0.0045,0.97,0.03
27/03/2026,0.0405,0.9595,0.9895,0.0105,0.9955,0.0045,0.9745,0.0255
28/03/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9795,0.0205
29/03/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9825,0.0175
30/03/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9815,0.0185
31/03/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9885,0.0115
01/04/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9895,0.0105
02/04/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9935,0.0065
03/04/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9935,0.0065
04/04/2026,0.034,0.966,0.9895,0.0105,0.9955,0.0045,0.9935,0.0065
05/04/2026,0.0165,0.9835,0.9935,0.0065,0.9955,0.0045,0.9935,0.0065
06/04/2026,0.0165,0.9835,0.9935,0.0065,0.9965,0.0035,0.9935,0.0065
07/04/2026,0.0165,0.9835,0.9935,0.0065,0.9965,0.0035,0.9895,0.0105
09/04/2026,0.0195,0.9805,0.9935,0.0065,0.9965,0.0035,0.991,0.009
12/04/2026,0.0165,0.9835,0.9925,0.0075,0.9965,0.0035,0.9935,0.0065
13/04/2026,0.0165,0.9835,0.9925,0.0075,0.9965,0.0035,0.9935,0.0065
15/04/2026,0.0165,0.9835,0.9925,0.0075,0.9965,0.0035,0.9935,0.0065
16/04/2026,0.0165,0.9835,0.9925,0.0075,0.9975,0.0025,0.9935,0.0065
18/04/2026,0.0165,0.9835,0.9965,0.0035,0.9985,0.0015,0.9965,0.0035
19/04/2026,0.0165,0.9835,0.9965,0.0035,0.9985,0.0015,0.9975,0.0025
20/04/2026,0.0165,0.9835,0.9965,0.0035,0.9985,0.0015,0.9975,0.0025
21/04/2026,0.0165,0.9835,0.9965,0.0035,0.9985,0.0015,0.9975,0.0025
22/04/2026,0.0065,0.9935,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025
23/04/2026,0.0065,0.9935,0.9965,0.0035,0.9985,0.0015,0.9975,0.0025
24/04/2026,0.0055,0.9945,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025
25/04/2026,0.0055,0.9945,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025
26/04/2026,0.0035,0.9965,0.9985,0.0015,0.9995,0.0005,0.9985,0.0015
27/04/2026,0.0015,0.9985,0.9995,0.0005,0.9995,0.0005,0.9995,0.0005
28/04/2026,0.0015,0.9985,0.9995,0.0005,0.9995,0.0005,0.9995,0.0005
29/04/2026,0.0025,0.9975,0.9995,0.0005,0.9995,0.0005,0.9985,0.0015
