datetime_utc,decreases_25_december_2025_no,decreases_25_december_2025_yes,decreases_50_december_2025_no,decreases_50_december_2025_yes,increases_25_december_2025_no,increases_25_december_2025_yes,no_change_december_2025_no,no_change_december_2025_yes
01/11/2025,0.355,0.645,0.977,0.023,0.9875,0.0125,0.675,0.325
02/11/2025,0.335,0.665,0.977,0.023,0.9875,0.0125,0.695,0.305
03/11/2025,0.325,0.675,0.973,0.027,0.9885,0.0115,0.705,0.295
04/11/2025,0.335,0.665,0.975,0.025,0.9885,0.0115,0.695,0.305
05/11/2025,0.315,0.685,0.971,0.029,0.9885,0.0115,0.725,0.275
06/11/2025,0.355,0.645,0.9815,0.0185,0.9885,0.0115,0.675,0.325
07/11/2025,0.265,0.735,0.9795,0.0205,0.9875,0.0125,0.765,0.235
08/11/2025,0.295,0.705,0.9755,0.0245,0.9855,0.0145,0.735,0.265
09/11/2025,0.295,0.705,0.9765,0.0235,0.9865,0.0135,0.735,0.265
10/11/2025,0.275,0.725,0.9775,0.0225,0.9955,0.0045,0.755,0.245
11/11/2025,0.315,0.685,0.9725,0.0275,0.9945,0.0055,0.715,0.285
12/11/2025,0.285,0.715,0.9755,0.0245,0.9945,0.0055,0.745,0.255
13/11/2025,0.365,0.635,0.9795,0.0205,0.9945,0.0055,0.67,0.33
14/11/2025,0.475,0.525,0.9835,0.0165,0.9945,0.0055,0.555,0.445
15/11/2025,0.535,0.465,0.9815,0.0185,0.9945,0.0055,0.49,0.51
16/11/2025,0.535,0.465,0.9805,0.0195,0.9945,0.0055,0.495,0.505
17/11/2025,0.545,0.455,0.9785,0.0215,0.9945,0.0055,0.485,0.515
18/11/2025,0.565,0.435,0.9805,0.0195,0.9945,0.0055,0.465,0.535
19/11/2025,0.485,0.515,0.9785,0.0215,0.9945,0.0055,0.54,0.46
20/11/2025,0.695,0.305,0.9825,0.0175,0.9945,0.0055,0.335,0.665
21/11/2025,0.665,0.335,0.9865,0.0135,0.9945,0.0055,0.355,0.645
22/11/2025,0.355,0.645,0.9815,0.0185,0.9955,0.0045,0.675,0.325
23/11/2025,0.345,0.655,0.9805,0.0195,0.9955,0.0045,0.685,0.315
24/11/2025,0.305,0.695,0.9815,0.0185,0.9955,0.0045,0.715,0.285
25/11/2025,0.195,0.805,0.9835,0.0165,0.9965,0.0035,0.825,0.175
26/11/2025,0.155,0.845,0.9885,0.0115,0.9965,0.0035,0.855,0.145
27/11/2025,0.165,0.835,0.9865,0.0135,0.9965,0.0035,0.855,0.145
28/11/2025,0.145,0.855,0.9895,0.0105,0.9965,0.0035,0.865,0.135
29/11/2025,0.135,0.865,0.9885,0.0115,0.9965,0.0035,0.885,0.115
30/11/2025,0.125,0.875,0.9885,0.0115,0.9965,0.0035,0.885,0.115
01/12/2025,0.115,0.885,0.9895,0.0105,0.9975,0.0025,0.895,0.105
02/12/2025,0.115,0.885,0.9905,0.0095,0.9975,0.0025,0.895,0.105
03/12/2025,0.085,0.915,0.9925,0.0075,0.9975,0.0025,0.925,0.075
04/12/2025,0.065,0.935,0.9935,0.0065,0.9985,0.0015,0.945,0.055
05/12/2025,0.075,0.925,0.9955,0.0045,0.9985,0.0015,0.925,0.075
06/12/2025,0.065,0.935,0.9935,0.0065,0.9985,0.0015,0.935,0.065
07/12/2025,0.075,0.925,0.9935,0.0065,0.9985,0.0015,0.925,0.075
08/12/2025,0.075,0.925,0.9935,0.0065,0.9995,0.0005,0.935,0.065
09/12/2025,0.065,0.935,0.992,0.008,0.9995,0.0005,0.945,0.055
10/12/2025,0.0315,0.9685,0.9955,0.0045,0.9995,0.0005,0.972,0.028
