datetime_utc,decreases_25_january_2025_no,decreases_25_january_2025_yes,decreases_50_january_2025_no,decreases_50_january_2025_yes,increases_25_january_2025_no,increases_25_january_2025_yes,no_change_january_2025_no,no_change_january_2025_yes
08/11/2024,0.565,0.435,0.88,0.12,0.89,0.11,0.63,0.37
09/11/2024,0.5,0.5,0.935,0.065,0.991,0.009,0.585,0.415
10/11/2024,0.545,0.455,0.945,0.055,0.9925,0.0075,0.545,0.455
11/11/2024,0.56,0.44,0.945,0.055,0.9925,0.0075,0.515,0.485
12/11/2024,0.555,0.445,0.945,0.055,0.9905,0.0095,0.51,0.49
13/11/2024,0.59,0.41,0.945,0.055,0.989,0.011,0.485,0.515
14/11/2024,0.615,0.385,0.955,0.045,0.9905,0.0095,0.475,0.525
15/11/2024,0.735,0.265,0.945,0.055,0.9895,0.0105,0.385,0.615
16/11/2024,0.725,0.275,0.945,0.055,0.9885,0.0115,0.375,0.625
17/11/2024,0.725,0.275,0.945,0.055,0.9885,0.0115,0.38,0.62
18/11/2024,0.71,0.29,0.945,0.055,0.989,0.011,0.385,0.615
19/11/2024,0.685,0.315,0.935,0.065,0.989,0.011,0.395,0.605
20/11/2024,0.695,0.305,0.945,0.055,0.989,0.011,0.38,0.62
21/11/2024,0.69,0.31,0.945,0.055,0.988,0.012,0.375,0.625
22/11/2024,0.695,0.305,0.945,0.055,0.989,0.011,0.365,0.635
23/11/2024,0.7,0.3,0.945,0.055,0.988,0.012,0.37,0.63
24/11/2024,0.705,0.295,0.945,0.055,0.9885,0.0115,0.37,0.63
25/11/2024,0.695,0.305,0.9535,0.0465,0.989,0.011,0.365,0.635
26/11/2024,0.7,0.3,0.953,0.047,0.9885,0.0115,0.355,0.645
27/11/2024,0.705,0.295,0.947,0.053,0.9885,0.0115,0.365,0.635
28/11/2024,0.71,0.29,0.946,0.054,0.9885,0.0115,0.36,0.64
29/11/2024,0.71,0.29,0.946,0.054,0.9895,0.0105,0.36,0.64
30/11/2024,0.71,0.29,0.9495,0.0505,0.9895,0.0105,0.355,0.645
01/12/2024,0.715,0.285,0.948,0.052,0.9895,0.0105,0.355,0.645
02/12/2024,0.71,0.29,0.956,0.044,0.9895,0.0105,0.365,0.635
03/12/2024,0.71,0.29,0.956,0.044,0.9895,0.0105,0.35,0.65
04/12/2024,0.705,0.295,0.96,0.04,0.991,0.009,0.345,0.655
05/12/2024,0.695,0.305,0.9585,0.0415,0.9865,0.0135,0.36,0.64
