datetime_utc,decreases_25_july_2025_no,decreases_25_july_2025_yes,decreases_50_july_2025_no,decreases_50_july_2025_yes,increases_25_july_2025_no,increases_25_july_2025_yes,no_change_july_2025_no,no_change_july_2025_yes
19/06/2025,0.94,0.06,0.992,0.008,0.9935,0.0065,0.07,0.93
20/06/2025,0.945,0.055,0.989,0.011,0.9935,0.0065,0.075,0.925
21/06/2025,0.875,0.125,0.989,0.011,0.9935,0.0065,0.135,0.865
22/06/2025,0.885,0.115,0.9905,0.0095,0.9935,0.0065,0.125,0.875
23/06/2025,0.875,0.125,0.985,0.015,0.9945,0.0055,0.135,0.865
24/06/2025,0.795,0.205,0.9865,0.0135,0.9935,0.0065,0.23,0.77
25/06/2025,0.835,0.165,0.9795,0.0205,0.9955,0.0045,0.195,0.805
26/06/2025,0.765,0.235,0.9825,0.0175,0.9945,0.0055,0.255,0.745
27/06/2025,0.79,0.21,0.9825,0.0175,0.9945,0.0055,0.235,0.765
28/06/2025,0.84,0.16,0.983,0.017,0.9945,0.0055,0.185,0.815
29/06/2025,0.845,0.155,0.981,0.019,0.9945,0.0055,0.175,0.825
30/06/2025,0.835,0.165,0.9825,0.0175,0.9935,0.0065,0.185,0.815
01/07/2025,0.825,0.175,0.9835,0.0165,0.9935,0.0065,0.195,0.805
02/07/2025,0.835,0.165,0.9885,0.0115,0.9955,0.0045,0.175,0.825
03/07/2025,0.805,0.195,0.982,0.018,0.9945,0.0055,0.225,0.775
04/07/2025,0.945,0.055,0.992,0.008,0.9955,0.0045,0.065,0.935
05/07/2025,0.945,0.055,0.9915,0.0085,0.9965,0.0035,0.075,0.925
06/07/2025,0.945,0.055,0.9915,0.0085,0.9975,0.0025,0.065,0.935
07/07/2025,0.945,0.055,0.992,0.008,0.9975,0.0025,0.065,0.935
08/07/2025,0.955,0.045,0.9915,0.0085,0.9965,0.0035,0.065,0.935
09/07/2025,0.955,0.045,0.9915,0.0085,0.9965,0.0035,0.065,0.935
10/07/2025,0.9565,0.0435,0.9885,0.0115,0.9975,0.0025,0.055,0.945
11/07/2025,0.9525,0.0475,0.9895,0.0105,0.9965,0.0035,0.055,0.945
12/07/2025,0.9485,0.0515,0.984,0.016,0.9965,0.0035,0.065,0.935
13/07/2025,0.956,0.044,0.9795,0.0205,0.9965,0.0035,0.065,0.935
14/07/2025,0.954,0.046,0.9805,0.0195,0.9965,0.0035,0.065,0.935
15/07/2025,0.947,0.053,0.985,0.015,0.9965,0.0035,0.065,0.935
16/07/2025,0.9715,0.0285,0.991,0.009,0.9965,0.0035,0.039,0.961
17/07/2025,0.9725,0.0275,0.9885,0.0115,0.9975,0.0025,0.039,0.961
18/07/2025,0.962,0.038,0.9915,0.0085,0.9975,0.0025,0.0505,0.9495
19/07/2025,0.9655,0.0345,0.9925,0.0075,0.9975,0.0025,0.0445,0.9555
20/07/2025,0.9665,0.0335,0.9925,0.0075,0.9975,0.0025,0.0435,0.9565
21/07/2025,0.965,0.035,0.9925,0.0075,0.9985,0.0015,0.044,0.956
22/07/2025,0.9605,0.0395,0.9935,0.0065,0.9985,0.0015,0.0465,0.9535
23/07/2025,0.9615,0.0385,0.9935,0.0065,0.9985,0.0015,0.0445,0.9555
24/07/2025,0.9695,0.0305,0.9935,0.0065,0.9985,0.0015,0.038,0.962
25/07/2025,0.9715,0.0285,0.99,0.01,0.9995,0.0005,0.0365,0.9635
26/07/2025,0.9665,0.0335,0.9925,0.0075,0.9995,0.0005,0.0405,0.9595
27/07/2025,0.962,0.038,0.9905,0.0095,0.9995,0.0005,0.0485,0.9515
28/07/2025,0.958,0.042,0.991,0.009,0.9995,0.0005,0.0495,0.9505
29/07/2025,0.9675,0.0325,0.9955,0.0045,0.9995,0.0005,0.0365,0.9635
30/07/2025,0.9825,0.0175,0.9975,0.0025,0.9995,0.0005,0.0185,0.9815
