datetime_utc,decreases_25_june_2025_no,decreases_25_june_2025_yes,decreases_50_june_2025_no,decreases_50_june_2025_yes,increases_25_june_2025_no,increases_25_june_2025_yes,no_change_june_2025_no,no_change_june_2025_yes
08/05/2025,0.845,0.155,0.9805,0.0195,0.9925,0.0075,0.175,0.825
09/05/2025,0.855,0.145,0.981,0.019,0.9915,0.0085,0.165,0.835
10/05/2025,0.875,0.125,0.986,0.014,0.9915,0.0085,0.145,0.855
11/05/2025,0.875,0.125,0.9855,0.0145,0.9915,0.0085,0.145,0.855
12/05/2025,0.875,0.125,0.986,0.014,0.9925,0.0075,0.145,0.855
13/05/2025,0.905,0.095,0.9915,0.0085,0.9955,0.0045,0.105,0.895
14/05/2025,0.895,0.105,0.991,0.009,0.9955,0.0045,0.125,0.875
15/05/2025,0.895,0.105,0.9905,0.0095,0.9955,0.0045,0.115,0.885
16/05/2025,0.895,0.105,0.9885,0.0115,0.9955,0.0045,0.125,0.875
17/05/2025,0.895,0.105,0.9885,0.0115,0.9955,0.0045,0.125,0.875
18/05/2025,0.885,0.115,0.9875,0.0125,0.9955,0.0045,0.125,0.875
19/05/2025,0.905,0.095,0.9885,0.0115,0.9965,0.0035,0.105,0.895
20/05/2025,0.895,0.105,0.9865,0.0135,0.9965,0.0035,0.115,0.885
21/05/2025,0.915,0.085,0.9865,0.0135,0.9955,0.0045,0.095,0.905
22/05/2025,0.935,0.065,0.9905,0.0095,0.9955,0.0045,0.085,0.915
23/05/2025,0.935,0.065,0.9895,0.0105,0.9955,0.0045,0.085,0.915
24/05/2025,0.935,0.065,0.9895,0.0105,0.9955,0.0045,0.075,0.925
25/05/2025,0.935,0.065,0.9895,0.0105,0.9955,0.0045,0.085,0.915
26/05/2025,0.935,0.065,0.9905,0.0095,0.9955,0.0045,0.075,0.925
27/05/2025,0.945,0.055,0.991,0.009,0.9955,0.0045,0.065,0.935
28/05/2025,0.955,0.045,0.9925,0.0075,0.9965,0.0035,0.06,0.94
29/05/2025,0.955,0.045,0.9935,0.0065,0.9965,0.0035,0.045,0.955
30/05/2025,0.9585,0.0415,0.9945,0.0055,0.9965,0.0035,0.045,0.955
31/05/2025,0.9585,0.0415,0.9945,0.0055,0.9965,0.0035,0.045,0.955
01/06/2025,0.959,0.041,0.9945,0.0055,0.9965,0.0035,0.045,0.955
02/06/2025,0.9685,0.0315,0.9955,0.0045,0.9975,0.0025,0.041,0.959
03/06/2025,0.9625,0.0375,0.9955,0.0045,0.9975,0.0025,0.0425,0.9575
04/06/2025,0.9765,0.0235,0.9955,0.0045,0.9975,0.0025,0.029,0.971
05/06/2025,0.9695,0.0305,0.9955,0.0045,0.9975,0.0025,0.0365,0.9635
06/06/2025,0.97,0.03,0.9955,0.0045,0.9985,0.0015,0.034,0.966
07/06/2025,0.984,0.016,0.9955,0.0045,0.9985,0.0015,0.02,0.98
08/06/2025,0.985,0.015,0.9955,0.0045,0.9985,0.0015,0.0195,0.9805
09/06/2025,0.9795,0.0205,0.9965,0.0035,0.9985,0.0015,0.0235,0.9765
10/06/2025,0.9725,0.0275,0.9965,0.0035,0.9985,0.0015,0.029,0.971
11/06/2025,0.9785,0.0215,0.9965,0.0035,0.9985,0.0015,0.0245,0.9755
12/06/2025,0.9785,0.0215,0.9965,0.0035,0.9985,0.0015,0.0255,0.9745
13/06/2025,0.9765,0.0235,0.9965,0.0035,0.9985,0.0015,0.0285,0.9715
14/06/2025,0.9755,0.0245,0.995,0.005,0.9995,0.0005,0.0305,0.9695
15/06/2025,0.977,0.023,0.9945,0.0055,0.9995,0.0005,0.027,0.973
16/06/2025,0.9785,0.0215,0.9955,0.0045,0.9995,0.0005,0.0245,0.9755
17/06/2025,0.9795,0.0205,0.9965,0.0035,0.9995,0.0005,0.0225,0.9775
18/06/2025,0.985,0.015,0.997,0.003,0.9995,0.0005,0.0165,0.9835
