datetime_utc,no_change_june_2026_no,no_change_june_2026_yes,decreases_25_june_2026_no,decreases_25_june_2026_yes,decreases_50_june_2026_no,decreases_50_june_2026_yes,increases_25_june_2026_no,increases_25_june_2026_yes,increases_50_june_2026_no,increases_50_june_2026_yes
30/04/2026,0.055,0.945,0.9665,0.0335,0.9925,0.0075,0.9835,0.0165,0.9965,0.0035
01/05/2026,0.045,0.955,0.9655,0.0345,0.9945,0.0055,0.9885,0.0115,0.9965,0.0035
02/05/2026,0.045,0.955,0.9595,0.0405,0.9955,0.0045,0.9925,0.0075,0.9965,0.0035
03/05/2026,0.045,0.955,0.9615,0.0385,0.9955,0.0045,0.9925,0.0075,0.9965,0.0035
04/05/2026,0.045,0.955,0.9635,0.0365,0.9955,0.0045,0.9885,0.0115,0.9965,0.0035
05/05/2026,0.045,0.955,0.976,0.024,0.9955,0.0045,0.9895,0.0105,0.9965,0.0035
06/05/2026,0.045,0.955,0.9715,0.0285,0.9945,0.0055,0.9915,0.0085,0.9965,0.0035
07/05/2026,0.045,0.955,0.9675,0.0325,0.9935,0.0065,0.9905,0.0095,0.9965,0.0035
08/05/2026,0.045,0.955,0.9705,0.0295,0.9925,0.0075,0.99,0.01,0.9965,0.0035
09/05/2026,0.0295,0.9705,0.9835,0.0165,0.9945,0.0055,0.9945,0.0055,0.9965,0.0035
10/05/2026,0.0255,0.9745,0.9845,0.0155,0.9955,0.0045,0.9935,0.0065,0.9965,0.0035
11/05/2026,0.0305,0.9695,0.9795,0.0205,0.9955,0.0045,0.9945,0.0055,0.9965,0.0035
12/05/2026,0.0335,0.9665,0.9785,0.0215,0.9955,0.0045,0.9925,0.0075,0.9975,0.0025
13/05/2026,0.0245,0.9755,0.9855,0.0145,0.9955,0.0045,0.9935,0.0065,0.9975,0.0025
14/05/2026,0.0245,0.9755,0.9865,0.0135,0.9955,0.0045,0.9915,0.0085,0.9975,0.0025
15/05/2026,0.0245,0.9755,0.9855,0.0145,0.9955,0.0045,0.9925,0.0075,0.9975,0.0025
16/05/2026,0.0195,0.9805,0.9915,0.0085,0.9955,0.0045,0.9935,0.0065,0.9975,0.0025
17/05/2026,0.0195,0.9805,0.9935,0.0065,0.9935,0.0065,0.9935,0.0065,0.9975,0.0025
18/05/2026,0.0205,0.9795,0.9895,0.0105,0.9945,0.0055,0.9935,0.0065,0.9975,0.0025
19/05/2026,0.0205,0.9795,0.9925,0.0075,0.9955,0.0045,0.9925,0.0075,0.9975,0.0025
20/05/2026,0.0205,0.9795,0.9915,0.0085,0.9945,0.0055,0.9925,0.0075,0.9975,0.0025
21/05/2026,0.0225,0.9775,0.9895,0.0105,0.9955,0.0045,0.9915,0.0085,0.9975,0.0025
22/05/2026,0.0225,0.9775,0.9915,0.0085,0.9955,0.0045,0.9895,0.0105,0.9975,0.0025
23/05/2026,0.0265,0.9735,0.9895,0.0105,0.9945,0.0055,0.9915,0.0085,0.9975,0.0025
24/05/2026,0.0275,0.9725,0.9885,0.0115,0.9945,0.0055,0.9895,0.0105,0.9975,0.0025
25/05/2026,0.0265,0.9735,0.9885,0.0115,0.9935,0.0065,0.9925,0.0075,0.9975,0.0025
26/05/2026,0.0255,0.9745,0.9865,0.0135,0.9955,0.0045,0.9935,0.0065,0.9975,0.0025
27/05/2026,0.0275,0.9725,0.9835,0.0165,0.9945,0.0055,0.9935,0.0065,0.9975,0.0025
28/05/2026,0.0255,0.9745,0.9865,0.0135,0.9945,0.0055,0.9935,0.0065,0.9975,0.0025
29/05/2026,0.0245,0.9755,0.9895,0.0105,0.9945,0.0055,0.9945,0.0055,0.9975,0.0025
30/05/2026,0.0225,0.9775,0.9895,0.0105,0.9945,0.0055,0.9945,0.0055,0.9985,0.0015
31/05/2026,0.0195,0.9805,0.9895,0.0105,0.9945,0.0055,0.9945,0.0055,0.9985,0.0015
01/06/2026,0.0185,0.9815,0.9905,0.0095,0.9945,0.0055,0.9945,0.0055,0.9985,0.0015
02/06/2026,0.0175,0.9825,0.9915,0.0085,0.9955,0.0045,0.9945,0.0055,0.9985,0.0015
03/06/2026,0.0185,0.9815,0.9905,0.0095,0.9945,0.0055,0.9945,0.0055,0.9985,0.0015
04/06/2026,0.0175,0.9825,0.9925,0.0075,0.9955,0.0045,0.9945,0.0055,0.9985,0.0015
05/06/2026,0.0175,0.9825,0.9915,0.0085,0.9955,0.0045,0.9965,0.0035,0.9985,0.0015
06/06/2026,0.0135,0.9865,0.9935,0.0065,0.9975,0.0025,0.9965,0.0035,0.9995,0.0005
07/06/2026,0.009,0.991,0.9955,0.0045,0.9975,0.0025,0.9965,0.0035,0.9995,0.0005
08/06/2026,0.0085,0.9915,0.9945,0.0055,0.9985,0.0015,0.9975,0.0025,0.9995,0.0005
09/06/2026,0.0095,0.9905,0.9955,0.0045,0.9985,0.0015,0.9975,0.0025,0.9995,0.0005
10/06/2026,0.0095,0.9905,0.9965,0.0035,0.9985,0.0015,0.9945,0.0055,0.9995,0.0005
11/06/2026,0.0065,0.9935,0.9975,0.0025,0.9985,0.0015,0.9965,0.0035,0.9995,0.0005
12/06/2026,0.0075,0.9925,0.9975,0.0025,0.9995,0.0005,0.9965,0.0035,0.9995,0.0005
13/06/2026,0.0075,0.9925,0.996,0.004,0.9975,0.0025,0.9975,0.0025,0.9995,0.0005
14/06/2026,0.0045,0.9955,0.997,0.003,0.9985,0.0015,0.9975,0.0025,0.9995,0.0005
15/06/2026,0.0045,0.9955,0.9975,0.0025,0.9985,0.0015,0.9985,0.0015,0.9995,0.0005
16/06/2026,0.0055,0.9945,0.9955,0.0045,0.9985,0.0015,0.9985,0.0015,0.9995,0.0005
17/06/2026,0.0045,0.9955,0.9975,0.0025,0.9995,0.0005,0.9985,0.0015,0.9995,0.0005
