datetime_utc,decreases_25_march_2025_no,decreases_25_march_2025_yes,decreases_50_march_2025_no,decreases_50_march_2025_yes,increases_25_march_2025_no,increases_25_march_2025_yes,no_change_march_2025_no,no_change_march_2025_yes
30/01/2025,0.815,0.185,0.9785,0.0215,0.987,0.013,0.215,0.785
31/01/2025,0.855,0.145,0.986,0.014,0.9895,0.0105,0.175,0.825
01/02/2025,0.865,0.135,0.9895,0.0105,0.992,0.008,0.155,0.845
02/02/2025,0.875,0.125,0.99,0.01,0.991,0.009,0.135,0.865
03/02/2025,0.885,0.115,0.988,0.012,0.988,0.012,0.135,0.865
04/02/2025,0.865,0.135,0.988,0.012,0.9895,0.0105,0.155,0.845
05/02/2025,0.865,0.135,0.9905,0.0095,0.9915,0.0085,0.155,0.845
06/02/2025,0.865,0.135,0.9915,0.0085,0.992,0.008,0.155,0.845
07/02/2025,0.875,0.125,0.9905,0.0095,0.9915,0.0085,0.135,0.865
08/02/2025,0.935,0.065,0.9935,0.0065,0.994,0.006,0.075,0.925
09/02/2025,0.935,0.065,0.994,0.006,0.9945,0.0055,0.085,0.915
10/02/2025,0.935,0.065,0.9935,0.0065,0.9935,0.0065,0.075,0.925
11/02/2025,0.935,0.065,0.9905,0.0095,0.9935,0.0065,0.075,0.925
12/02/2025,0.955,0.045,0.9935,0.0065,0.9935,0.0065,0.065,0.935
13/02/2025,0.985,0.015,0.9935,0.0065,0.9935,0.0065,0.026,0.974
14/02/2025,0.9795,0.0205,0.9945,0.0055,0.9935,0.0065,0.0305,0.9695
15/02/2025,0.9825,0.0175,0.9955,0.0045,0.9945,0.0055,0.0305,0.9695
16/02/2025,0.9795,0.0205,0.9955,0.0045,0.9945,0.0055,0.0295,0.9705
17/02/2025,0.972,0.028,0.995,0.005,0.9945,0.0055,0.0365,0.9635
18/02/2025,0.9785,0.0215,0.9955,0.0045,0.9955,0.0045,0.0285,0.9715
19/02/2025,0.9785,0.0215,0.9955,0.0045,0.9945,0.0055,0.037,0.963
20/02/2025,0.978,0.022,0.9955,0.0045,0.995,0.005,0.03,0.97
21/02/2025,0.981,0.019,0.9955,0.0045,0.9945,0.0055,0.0335,0.9665
22/02/2025,0.9655,0.0345,0.9955,0.0045,0.995,0.005,0.0435,0.9565
23/02/2025,0.9675,0.0325,0.9945,0.0055,0.995,0.005,0.041,0.959
24/02/2025,0.976,0.024,0.9945,0.0055,0.9955,0.0045,0.0395,0.9605
25/02/2025,0.974,0.026,0.9945,0.0055,0.9945,0.0055,0.0365,0.9635
26/02/2025,0.9675,0.0325,0.9935,0.0065,0.9945,0.0055,0.0455,0.9545
27/02/2025,0.9685,0.0315,0.993,0.007,0.9945,0.0055,0.0415,0.9585
28/02/2025,0.971,0.029,0.994,0.006,0.9935,0.0065,0.0475,0.9525
01/03/2025,0.9615,0.0385,0.9915,0.0085,0.9945,0.0055,0.0485,0.9515
02/03/2025,0.965,0.035,0.989,0.011,0.9955,0.0045,0.048,0.952
03/03/2025,0.9535,0.0465,0.9875,0.0125,0.9955,0.0045,0.061,0.939
04/03/2025,0.94,0.06,0.9885,0.0115,0.9965,0.0035,0.0735,0.9265
05/03/2025,0.9545,0.0455,0.9885,0.0115,0.9965,0.0035,0.062,0.938
06/03/2025,0.9525,0.0475,0.984,0.016,0.9965,0.0035,0.0655,0.9345
07/03/2025,0.9325,0.0675,0.984,0.016,0.9965,0.0035,0.0875,0.9125
08/03/2025,0.9775,0.0225,0.9945,0.0055,0.9965,0.0035,0.03,0.97
09/03/2025,0.977,0.023,0.995,0.005,0.9965,0.0035,0.03,0.97
10/03/2025,0.976,0.024,0.995,0.005,0.9975,0.0025,0.029,0.971
11/03/2025,0.971,0.029,0.995,0.005,0.9975,0.0025,0.037,0.963
12/03/2025,0.9725,0.0275,0.9935,0.0065,0.9975,0.0025,0.0345,0.9655
13/03/2025,0.985,0.015,0.9935,0.0065,0.9975,0.0025,0.0225,0.9775
14/03/2025,0.9865,0.0135,0.9975,0.0025,0.9985,0.0015,0.0155,0.9845
15/03/2025,0.9875,0.0125,0.9985,0.0015,0.9985,0.0015,0.0135,0.9865
16/03/2025,0.987,0.013,0.9985,0.0015,0.9985,0.0015,0.014,0.986
17/03/2025,0.9915,0.0085,0.9985,0.0015,0.9995,0.0005,0.0085,0.9915
18/03/2025,0.991,0.009,0.9985,0.0015,0.9995,0.0005,0.0085,0.9915
19/03/2025,0.994,0.006,0.9975,0.0025,0.9995,0.0005,0.008,0.992
