datetime_utc,no_change_march_2026_no,no_change_march_2026_yes,decreases_25_march_2026_no,decreases_25_march_2026_yes,decreases_50_march_2026_no,decreases_50_march_2026_yes,increases_25_march_2026_no,increases_25_march_2026_yes
29/01/2026,0.095,0.905,0.925,0.075,0.9865,0.0135,0.9895,0.0105
30/01/2026,0.095,0.905,0.925,0.075,0.9875,0.0125,0.9925,0.0075
31/01/2026,0.085,0.915,0.935,0.065,0.9825,0.0175,0.9925,0.0075
01/02/2026,0.115,0.885,0.925,0.075,0.9765,0.0235,0.9865,0.0135
02/02/2026,0.105,0.895,0.925,0.075,0.9855,0.0145,0.9845,0.0155
03/02/2026,0.105,0.895,0.925,0.075,0.9875,0.0125,0.9815,0.0185
04/02/2026,0.095,0.905,0.935,0.065,0.9905,0.0095,0.9805,0.0195
05/02/2026,0.095,0.905,0.925,0.075,0.9895,0.0105,0.9805,0.0195
06/02/2026,0.195,0.805,0.825,0.175,0.9865,0.0135,0.9885,0.0115
07/02/2026,0.135,0.865,0.885,0.115,0.9885,0.0115,0.9905,0.0095
08/02/2026,0.155,0.845,0.855,0.145,0.9895,0.0105,0.9905,0.0095
09/02/2026,0.155,0.845,0.865,0.135,0.9895,0.0105,0.9905,0.0095
10/02/2026,0.165,0.835,0.855,0.145,0.9905,0.0095,0.9905,0.0095
11/02/2026,0.175,0.825,0.845,0.155,0.9895,0.0105,0.9905,0.0095
12/02/2026,0.085,0.915,0.925,0.075,0.9935,0.0065,0.9935,0.0065
13/02/2026,0.075,0.925,0.935,0.065,0.9935,0.0065,0.9925,0.0075
14/02/2026,0.075,0.925,0.945,0.055,0.9935,0.0065,0.9935,0.0065
15/02/2026,0.075,0.925,0.935,0.065,0.9895,0.0105,0.9945,0.0055
16/02/2026,0.075,0.925,0.935,0.065,0.9925,0.0075,0.9945,0.0055
17/02/2026,0.075,0.925,0.935,0.065,0.9935,0.0065,0.9945,0.0055
18/02/2026,0.075,0.925,0.935,0.065,0.9925,0.0075,0.9945,0.0055
19/02/2026,0.075,0.925,0.945,0.055,0.9925,0.0075,0.9945,0.0055
20/02/2026,0.074,0.926,0.9455,0.0545,0.9925,0.0075,0.9935,0.0065
21/02/2026,0.0605,0.9395,0.9555,0.0445,0.9935,0.0065,0.9935,0.0065
22/02/2026,0.045,0.955,0.967,0.033,0.9925,0.0075,0.9945,0.0055
23/02/2026,0.0425,0.9575,0.9705,0.0295,0.9925,0.0075,0.9945,0.0055
24/02/2026,0.0425,0.9575,0.9735,0.0265,0.9925,0.0075,0.9935,0.0065
25/02/2026,0.038,0.962,0.9785,0.0215,0.9935,0.0065,0.9935,0.0065
26/02/2026,0.0305,0.9695,0.9825,0.0175,0.9945,0.0055,0.9945,0.0055
27/02/2026,0.0265,0.9735,0.9825,0.0175,0.9945,0.0055,0.9955,0.0045
28/02/2026,0.0265,0.9735,0.9815,0.0185,0.9955,0.0045,0.9965,0.0035
01/03/2026,0.0595,0.9405,0.9585,0.0415,0.9945,0.0055,0.9965,0.0035
02/03/2026,0.0365,0.9635,0.973,0.027,0.9945,0.0055,0.9965,0.0035
03/03/2026,0.0335,0.9665,0.981,0.019,0.9945,0.0055,0.9955,0.0045
04/03/2026,0.0285,0.9715,0.9815,0.0185,0.9955,0.0045,0.9935,0.0065
05/03/2026,0.0155,0.9845,0.9915,0.0085,0.9965,0.0035,0.9955,0.0045
06/03/2026,0.0105,0.9895,0.9935,0.0065,0.9975,0.0025,0.9975,0.0025
07/03/2026,0.0165,0.9835,0.986,0.014,0.9985,0.0015,0.9975,0.0025
08/03/2026,0.0165,0.9835,0.989,0.011,0.9975,0.0025,0.9975,0.0025
09/03/2026,0.0165,0.9835,0.9875,0.0125,0.9975,0.0025,0.9975,0.0025
10/03/2026,0.0135,0.9865,0.9915,0.0085,0.9975,0.0025,0.9965,0.0035
11/03/2026,0.0115,0.9885,0.9935,0.0065,0.9975,0.0025,0.9975,0.0025
12/03/2026,0.0075,0.9925,0.9955,0.0045,0.9985,0.0015,0.9985,0.0015
13/03/2026,0.0055,0.9945,0.9965,0.0035,0.9985,0.0015,0.9985,0.0015
14/03/2026,0.0055,0.9945,0.9975,0.0025,0.9985,0.0015,0.9985,0.0015
15/03/2026,0.0035,0.9965,0.9975,0.0025,0.9995,0.0005,0.9985,0.0015
16/03/2026,0.0045,0.9955,0.9965,0.0035,0.9995,0.0005,0.9945,0.0055
17/03/2026,0.0055,0.9945,0.9965,0.0035,0.9995,0.0005,0.9995,0.0005
18/03/2026,0.0055,0.9945,0.9955,0.0045,0.9995,0.0005,0.9995,0.0005
