datetime_utc,decreases_25_may_2025_no,decreases_25_may_2025_yes,decreases_50_may_2025_no,decreases_50_may_2025_yes,increases_25_may_2025_no,increases_25_may_2025_yes,no_change_may_2025_no,no_change_may_2025_yes
21/03/2025,0.845,0.155,0.986,0.014,0.9945,0.0055,0.165,0.835
22/03/2025,0.835,0.165,0.988,0.012,0.9945,0.0055,0.175,0.825
23/03/2025,0.845,0.155,0.987,0.013,0.9945,0.0055,0.175,0.825
24/03/2025,0.855,0.145,0.9875,0.0125,0.9945,0.0055,0.155,0.845
25/03/2025,0.885,0.115,0.9875,0.0125,0.9945,0.0055,0.125,0.875
26/03/2025,0.895,0.105,0.987,0.013,0.9955,0.0045,0.115,0.885
27/03/2025,0.875,0.125,0.979,0.021,0.9955,0.0045,0.145,0.855
28/03/2025,0.865,0.135,0.9835,0.0165,0.9955,0.0045,0.145,0.855
29/03/2025,0.855,0.145,0.981,0.019,0.9955,0.0045,0.165,0.835
30/03/2025,0.85,0.15,0.9825,0.0175,0.9955,0.0045,0.17,0.83
31/03/2025,0.845,0.155,0.9835,0.0165,0.9955,0.0045,0.175,0.825
01/04/2025,0.865,0.135,0.98,0.02,0.9955,0.0045,0.165,0.835
02/04/2025,0.86,0.14,0.9825,0.0175,0.9955,0.0045,0.16,0.84
03/04/2025,0.785,0.215,0.9755,0.0245,0.9965,0.0035,0.235,0.765
04/04/2025,0.775,0.225,0.9785,0.0215,0.9965,0.0035,0.245,0.755
05/04/2025,0.765,0.235,0.961,0.039,0.9965,0.0035,0.31,0.69
06/04/2025,0.805,0.195,0.958,0.042,0.9965,0.0035,0.255,0.745
07/04/2025,0.645,0.355,0.957,0.043,0.9965,0.0035,0.405,0.595
08/04/2025,0.765,0.235,0.9605,0.0395,0.9955,0.0045,0.275,0.725
09/04/2025,0.715,0.285,0.9545,0.0455,0.9955,0.0045,0.325,0.675
10/04/2025,0.885,0.115,0.9705,0.0295,0.993,0.007,0.145,0.855
11/04/2025,0.805,0.195,0.9535,0.0465,0.9925,0.0075,0.275,0.725
12/04/2025,0.81,0.19,0.959,0.041,0.9935,0.0065,0.235,0.765
13/04/2025,0.84,0.16,0.9665,0.0335,0.9945,0.0055,0.195,0.805
14/04/2025,0.835,0.165,0.967,0.033,0.9945,0.0055,0.21,0.79
15/04/2025,0.855,0.145,0.9705,0.0295,0.9945,0.0055,0.185,0.815
16/04/2025,0.865,0.135,0.9755,0.0245,0.9945,0.0055,0.17,0.83
17/04/2025,0.905,0.095,0.9805,0.0195,0.9945,0.0055,0.125,0.875
18/04/2025,0.91,0.09,0.984,0.016,0.9945,0.0055,0.105,0.895
19/04/2025,0.915,0.085,0.9835,0.0165,0.9945,0.0055,0.105,0.895
20/04/2025,0.925,0.075,0.985,0.015,0.993,0.007,0.1,0.9
21/04/2025,0.925,0.075,0.985,0.015,0.9935,0.0065,0.095,0.905
22/04/2025,0.915,0.085,0.986,0.014,0.9935,0.0065,0.095,0.905
23/04/2025,0.93,0.07,0.9865,0.0135,0.9945,0.0055,0.095,0.905
24/04/2025,0.925,0.075,0.9885,0.0115,0.9945,0.0055,0.095,0.905
25/04/2025,0.925,0.075,0.989,0.011,0.9945,0.0055,0.085,0.915
26/04/2025,0.915,0.085,0.9895,0.0105,0.9945,0.0055,0.095,0.905
27/04/2025,0.895,0.105,0.9875,0.0125,0.9945,0.0055,0.115,0.885
28/04/2025,0.905,0.095,0.9885,0.0115,0.9945,0.0055,0.105,0.895
29/04/2025,0.915,0.085,0.989,0.011,0.9935,0.0065,0.105,0.895
30/04/2025,0.905,0.095,0.991,0.009,0.9965,0.0035,0.105,0.895
01/05/2025,0.935,0.065,0.993,0.007,0.9975,0.0025,0.075,0.925
02/05/2025,0.9555,0.0445,0.9955,0.0045,0.9985,0.0015,0.045,0.955
03/05/2025,0.991,0.009,0.9975,0.0025,0.9985,0.0015,0.011,0.989
04/05/2025,0.983,0.017,0.9985,0.0015,0.9995,0.0005,0.019,0.981
05/05/2025,0.9785,0.0215,0.9995,0.0005,0.9995,0.0005,0.0215,0.9785
06/05/2025,0.9805,0.0195,0.9985,0.0015,0.9995,0.0005,0.0205,0.9795
07/05/2025,0.979,0.021,0.998,0.002,0.9995,0.0005,0.0215,0.9785
