datetime_utc,decreases_25_october_2025_no,decreases_25_october_2025_yes,decreases_50_october_2025_no,decreases_50_october_2025_yes,increases_25_october_2025_no,increases_25_october_2025_yes,no_change_october_2025_no,no_change_october_2025_yes
18/09/2025,0.215,0.785,0.9265,0.0735,0.9925,0.0075,0.855,0.145
19/09/2025,0.165,0.835,0.956,0.044,0.9935,0.0065,0.885,0.115
20/09/2025,0.145,0.855,0.9565,0.0435,0.9945,0.0055,0.895,0.105
21/09/2025,0.145,0.855,0.956,0.044,0.9945,0.0055,0.895,0.105
22/09/2025,0.145,0.855,0.959,0.041,0.9945,0.0055,0.895,0.105
23/09/2025,0.165,0.835,0.959,0.041,0.9945,0.0055,0.875,0.125
24/09/2025,0.175,0.825,0.9605,0.0395,0.9945,0.0055,0.875,0.125
25/09/2025,0.175,0.825,0.9585,0.0415,0.9945,0.0055,0.865,0.135
26/09/2025,0.205,0.795,0.964,0.036,0.9945,0.0055,0.835,0.165
27/09/2025,0.195,0.805,0.9625,0.0375,0.9945,0.0055,0.845,0.155
28/09/2025,0.195,0.805,0.9645,0.0355,0.9945,0.0055,0.845,0.155
29/09/2025,0.195,0.805,0.965,0.035,0.9945,0.0055,0.845,0.155
30/09/2025,0.195,0.805,0.9675,0.0325,0.9945,0.0055,0.845,0.155
01/10/2025,0.145,0.855,0.964,0.036,0.9945,0.0055,0.895,0.105
02/10/2025,0.095,0.905,0.963,0.037,0.9945,0.0055,0.945,0.055
03/10/2025,0.105,0.895,0.962,0.038,0.9945,0.0055,0.935,0.065
04/10/2025,0.105,0.895,0.9665,0.0335,0.9955,0.0045,0.935,0.065
05/10/2025,0.105,0.895,0.964,0.036,0.9955,0.0045,0.935,0.065
06/10/2025,0.105,0.895,0.9675,0.0325,0.9955,0.0045,0.925,0.075
07/10/2025,0.105,0.895,0.9715,0.0285,0.9955,0.0045,0.925,0.075
08/10/2025,0.115,0.885,0.9715,0.0285,0.9965,0.0035,0.915,0.085
09/10/2025,0.105,0.895,0.9765,0.0235,0.9965,0.0035,0.915,0.085
10/10/2025,0.095,0.905,0.978,0.022,0.9975,0.0025,0.925,0.075
11/10/2025,0.095,0.905,0.969,0.031,0.9975,0.0025,0.935,0.065
12/10/2025,0.095,0.905,0.9615,0.0385,0.9975,0.0025,0.945,0.055
13/10/2025,0.085,0.915,0.969,0.031,0.9975,0.0025,0.945,0.055
14/10/2025,0.085,0.915,0.9705,0.0295,0.9975,0.0025,0.945,0.055
15/10/2025,0.065,0.935,0.976,0.024,0.9975,0.0025,0.955,0.045
16/10/2025,0.055,0.945,0.98,0.02,0.9975,0.0025,0.9685,0.0315
17/10/2025,0.065,0.935,0.962,0.038,0.9975,0.0025,0.9725,0.0275
18/10/2025,0.055,0.945,0.9705,0.0295,0.9975,0.0025,0.9755,0.0245
19/10/2025,0.055,0.945,0.973,0.027,0.9975,0.0025,0.9735,0.0265
20/10/2025,0.055,0.945,0.9745,0.0255,0.9975,0.0025,0.974,0.026
21/10/2025,0.045,0.955,0.981,0.019,0.9975,0.0025,0.9765,0.0235
22/10/2025,0.04,0.96,0.983,0.017,0.9985,0.0015,0.9775,0.0225
23/10/2025,0.0395,0.9605,0.9855,0.0145,0.9985,0.0015,0.9765,0.0235
24/10/2025,0.038,0.962,0.985,0.015,0.9985,0.0015,0.9775,0.0225
25/10/2025,0.0235,0.9765,0.9905,0.0095,0.9985,0.0015,0.9855,0.0145
26/10/2025,0.0175,0.9825,0.9935,0.0065,0.9985,0.0015,0.99,0.01
27/10/2025,0.0165,0.9835,0.9935,0.0065,0.9995,0.0005,0.9915,0.0085
28/10/2025,0.0155,0.9845,0.9955,0.0045,0.9995,0.0005,0.9885,0.0115
29/10/2025,0.0205,0.9795,0.991,0.009,0.9995,0.0005,0.9885,0.0115
30/10/2025,0.0205,0.9795,0.991,0.009,0.9995,0.0005,0.9885,0.0115
31/10/2025,0.0205,0.9795,0.991,0.009,0.9995,0.0005,0.9885,0.0115
