datetime_utc,decreases_25_september_2025_no,decreases_25_september_2025_yes,decreases_50_september_2025_no,decreases_50_september_2025_yes,increases_25_september_2025_no,increases_25_september_2025_yes,no_change_september_2025_no,no_change_september_2025_yes
31/07/2025,0.575,0.425,0.984,0.016,0.9935,0.0065,0.445,0.555
01/08/2025,0.655,0.345,0.9795,0.0205,0.9925,0.0075,0.375,0.625
02/08/2025,0.275,0.725,0.9175,0.0825,0.994,0.006,0.805,0.195
03/08/2025,0.285,0.715,0.9265,0.0735,0.9945,0.0055,0.795,0.205
04/08/2025,0.295,0.705,0.9225,0.0775,0.9945,0.0055,0.795,0.205
05/08/2025,0.265,0.735,0.921,0.079,0.9945,0.0055,0.835,0.165
06/08/2025,0.255,0.745,0.9305,0.0695,0.9945,0.0055,0.815,0.185
07/08/2025,0.215,0.785,0.934,0.066,0.9945,0.0055,0.855,0.145
08/08/2025,0.245,0.755,0.9325,0.0675,0.9945,0.0055,0.825,0.175
09/08/2025,0.245,0.755,0.9335,0.0665,0.9935,0.0065,0.825,0.175
10/08/2025,0.245,0.755,0.933,0.067,0.9945,0.0055,0.825,0.175
11/08/2025,0.245,0.755,0.9335,0.0665,0.9945,0.0055,0.825,0.175
12/08/2025,0.27,0.73,0.9365,0.0635,0.9945,0.0055,0.79,0.21
13/08/2025,0.195,0.805,0.9425,0.0575,0.9945,0.0055,0.875,0.125
14/08/2025,0.205,0.795,0.915,0.085,0.9955,0.0045,0.875,0.125
15/08/2025,0.28,0.72,0.9625,0.0375,0.9955,0.0045,0.765,0.235
16/08/2025,0.335,0.665,0.9625,0.0375,0.9955,0.0045,0.705,0.295
17/08/2025,0.305,0.695,0.9625,0.0375,0.9945,0.0055,0.735,0.265
18/08/2025,0.285,0.715,0.965,0.035,0.9945,0.0055,0.755,0.245
19/08/2025,0.295,0.705,0.97,0.03,0.9945,0.0055,0.735,0.265
20/08/2025,0.305,0.695,0.9735,0.0265,0.9955,0.0045,0.715,0.285
21/08/2025,0.315,0.685,0.9755,0.0245,0.9955,0.0045,0.705,0.295
22/08/2025,0.395,0.605,0.9775,0.0225,0.9895,0.0105,0.635,0.365
23/08/2025,0.215,0.785,0.968,0.032,0.9975,0.0025,0.815,0.185
24/08/2025,0.225,0.775,0.9625,0.0375,0.9965,0.0035,0.815,0.185
25/08/2025,0.195,0.805,0.958,0.042,0.9965,0.0035,0.855,0.145
26/08/2025,0.245,0.755,0.9615,0.0385,0.9945,0.0055,0.795,0.205
27/08/2025,0.225,0.775,0.955,0.045,0.9955,0.0045,0.825,0.175
28/08/2025,0.225,0.775,0.9535,0.0465,0.9935,0.0065,0.835,0.165
29/08/2025,0.225,0.775,0.9605,0.0395,0.9945,0.0055,0.825,0.175
30/08/2025,0.195,0.805,0.954,0.046,0.9945,0.0055,0.855,0.145
31/08/2025,0.205,0.795,0.9455,0.0545,0.9945,0.0055,0.855,0.145
01/09/2025,0.185,0.815,0.958,0.042,0.9945,0.0055,0.855,0.145
02/09/2025,0.185,0.815,0.954,0.046,0.9955,0.0045,0.865,0.135
03/09/2025,0.175,0.825,0.954,0.046,0.9965,0.0035,0.875,0.125
04/09/2025,0.145,0.855,0.945,0.055,0.9965,0.0035,0.915,0.085
05/09/2025,0.125,0.875,0.9435,0.0565,0.9965,0.0035,0.935,0.065
06/09/2025,0.125,0.875,0.8975,0.1025,0.9975,0.0025,0.981,0.019
07/09/2025,0.135,0.865,0.8955,0.1045,0.9975,0.0025,0.971,0.029
08/09/2025,0.135,0.865,0.907,0.093,0.9975,0.0025,0.963,0.037
09/09/2025,0.205,0.795,0.825,0.175,0.9975,0.0025,0.9685,0.0315
10/09/2025,0.185,0.815,0.8545,0.1455,0.9975,0.0025,0.9605,0.0395
11/09/2025,0.175,0.825,0.851,0.149,0.9985,0.0015,0.9735,0.0265
12/09/2025,0.135,0.865,0.887,0.113,0.9985,0.0015,0.9755,0.0245
13/09/2025,0.095,0.905,0.9265,0.0735,0.9985,0.0015,0.977,0.023
14/09/2025,0.095,0.905,0.9275,0.0725,0.9985,0.0015,0.979,0.021
15/09/2025,0.095,0.905,0.9315,0.0685,0.9985,0.0015,0.9725,0.0275
16/09/2025,0.095,0.905,0.932,0.068,0.9985,0.0015,0.976,0.024
17/09/2025,0.055,0.945,0.9555,0.0445,0.9995,0.0005,0.9845,0.0155
