datetime_utc,us_recession_2025_no,us_recession_2025_yes
01/01/2026,0.9985,0.0015
01/02/2025,0.755,0.245
01/03/2025,0.68,0.32
01/04/2025,0.615,0.385
01/05/2025,0.365,0.635
01/06/2025,0.665,0.335
01/07/2025,0.735,0.265
01/08/2025,0.885,0.115
01/09/2025,0.92,0.08
01/10/2025,0.935,0.065
01/11/2025,0.964,0.036
01/12/2025,0.977,0.023
02/02/2025,0.77,0.23
02/03/2025,0.7,0.3
02/04/2025,0.585,0.415
02/05/2025,0.345,0.655
02/06/2025,0.675,0.325
02/07/2025,0.76,0.24
02/08/2025,0.835,0.165
02/09/2025,0.92,0.08
02/10/2025,0.945,0.055
02/11/2025,0.963,0.037
02/12/2025,0.9845,0.0155
03/02/2025,0.77,0.23
03/03/2025,0.735,0.265
03/04/2025,0.51,0.49
03/05/2025,0.375,0.625
03/06/2025,0.705,0.295
03/07/2025,0.74,0.26
03/08/2025,0.855,0.145
03/09/2025,0.915,0.085
03/10/2025,0.94,0.06
03/11/2025,0.964,0.036
03/12/2025,0.978,0.022
04/02/2025,0.77,0.23
04/03/2025,0.67,0.33
04/04/2025,0.48,0.52
04/05/2025,0.42,0.58
04/06/2025,0.715,0.285
04/07/2025,0.785,0.215
04/08/2025,0.85,0.15
04/09/2025,0.915,0.085
04/10/2025,0.94,0.06
04/11/2025,0.9675,0.0325
04/12/2025,0.985,0.015
05/02/2025,0.775,0.225
05/03/2025,0.625,0.375
05/04/2025,0.405,0.595
05/05/2025,0.425,0.575
05/06/2025,0.725,0.275
05/07/2025,0.785,0.215
05/08/2025,0.855,0.145
05/09/2025,0.925,0.075
05/10/2025,0.945,0.055
05/11/2025,0.9555,0.0445
05/12/2025,0.9805,0.0195
06/02/2025,0.775,0.225
06/03/2025,0.67,0.33
06/04/2025,0.38,0.62
06/05/2025,0.425,0.575
06/06/2025,0.705,0.295
06/07/2025,0.775,0.225
06/08/2025,0.855,0.145
06/09/2025,0.925,0.075
06/10/2025,0.945,0.055
06/11/2025,0.954,0.046
06/12/2025,0.982,0.018
07/02/2025,0.775,0.225
07/03/2025,0.695,0.305
07/04/2025,0.345,0.655
07/05/2025,0.47,0.53
07/06/2025,0.735,0.265
07/07/2025,0.785,0.215
07/08/2025,0.855,0.145
07/09/2025,0.915,0.085
07/10/2025,0.94,0.06
07/11/2025,0.9605,0.0395
07/12/2025,0.978,0.022
08/02/2025,0.785,0.215
08/03/2025,0.67,0.33
08/04/2025,0.385,0.615
08/05/2025,0.495,0.505
08/06/2025,0.735,0.265
08/07/2025,0.775,0.225
08/08/2025,0.865,0.135
08/09/2025,0.92,0.08
08/10/2025,0.945,0.055
08/11/2025,0.954,0.046
08/12/2025,0.9855,0.0145
09/01/2025,0.815,0.185
09/02/2025,0.785,0.215
09/03/2025,0.69,0.31
09/04/2025,0.385,0.615
09/05/2025,0.485,0.515
09/06/2025,0.74,0.26
09/07/2025,0.805,0.195
09/08/2025,0.875,0.125
09/09/2025,0.91,0.09
09/10/2025,0.94,0.06
09/11/2025,0.9595,0.0405
09/12/2025,0.9815,0.0185
10/01/2025,0.815,0.185
10/02/2025,0.79,0.21
10/03/2025,0.635,0.365
10/04/2025,0.51,0.49
10/05/2025,0.495,0.505
10/06/2025,0.745,0.255
10/07/2025,0.805,0.195
10/08/2025,0.875,0.125
10/09/2025,0.91,0.09
10/10/2025,0.94,0.06
10/11/2025,0.9645,0.0355
10/12/2025,0.9815,0.0185
11/01/2025,0.805,0.195
11/02/2025,0.79,0.21
11/03/2025,0.565,0.435
11/04/2025,0.38,0.62
11/05/2025,0.485,0.515
11/06/2025,0.755,0.245
11/07/2025,0.815,0.185
11/08/2025,0.875,0.125
11/09/2025,0.915,0.085
11/10/2025,0.935,0.065
11/11/2025,0.9575,0.0425
11/12/2025,0.985,0.015
12/01/2025,0.805,0.195
12/02/2025,0.795,0.205
12/03/2025,0.605,0.395
12/04/2025,0.39,0.61
12/05/2025,0.505,0.495
12/06/2025,0.775,0.225
12/07/2025,0.805,0.195
12/08/2025,0.88,0.12
12/09/2025,0.875,0.125
12/10/2025,0.935,0.065
12/11/2025,0.964,0.036
12/12/2025,0.9895,0.0105
13/01/2025,0.805,0.195
13/02/2025,0.785,0.215
13/03/2025,0.635,0.365
13/04/2025,0.56,0.44
13/05/2025,0.605,0.395
13/06/2025,0.765,0.235
13/07/2025,0.805,0.195
13/08/2025,0.88,0.12
13/09/2025,0.895,0.105
13/10/2025,0.945,0.055
13/11/2025,0.961,0.039
13/12/2025,0.9905,0.0095
14/01/2025,0.795,0.205
14/02/2025,0.785,0.215
14/03/2025,0.595,0.405
14/04/2025,0.515,0.485
14/05/2025,0.605,0.395
14/06/2025,0.735,0.265
14/07/2025,0.8,0.2
14/08/2025,0.885,0.115
14/09/2025,0.905,0.095
14/10/2025,0.945,0.055
14/11/2025,0.9565,0.0435
14/12/2025,0.9895,0.0105
15/01/2025,0.795,0.205
15/02/2025,0.79,0.21
15/03/2025,0.575,0.425
15/04/2025,0.49,0.51
15/05/2025,0.605,0.395
15/06/2025,0.725,0.275
15/07/2025,0.795,0.205
15/08/2025,0.885,0.115
15/09/2025,0.905,0.095
15/10/2025,0.945,0.055
15/11/2025,0.9605,0.0395
15/12/2025,0.989,0.011
16/01/2025,0.785,0.215
16/02/2025,0.785,0.215
16/03/2025,0.59,0.41
16/04/2025,0.465,0.535
16/05/2025,0.635,0.365
16/06/2025,0.695,0.305
16/07/2025,0.785,0.215
16/08/2025,0.875,0.125
16/09/2025,0.905,0.095
16/10/2025,0.945,0.055
16/11/2025,0.96,0.04
16/12/2025,0.9935,0.0065
17/01/2025,0.755,0.245
17/02/2025,0.785,0.215
17/03/2025,0.595,0.405
17/04/2025,0.455,0.545
17/05/2025,0.635,0.365
17/06/2025,0.755,0.245
17/07/2025,0.795,0.205
17/08/2025,0.875,0.125
17/09/2025,0.92,0.08
17/10/2025,0.94,0.06
17/11/2025,0.9605,0.0395
17/12/2025,0.993,0.007
18/01/2025,0.755,0.245
18/02/2025,0.785,0.215
18/03/2025,0.6,0.4
18/04/2025,0.435,0.565
18/05/2025,0.63,0.37
18/06/2025,0.715,0.285
18/07/2025,0.805,0.195
18/08/2025,0.865,0.135
18/09/2025,0.945,0.055
18/10/2025,0.945,0.055
18/11/2025,0.9585,0.0415
18/12/2025,0.9915,0.0085
19/01/2025,0.755,0.245
19/02/2025,0.785,0.215
19/03/2025,0.6,0.4
19/04/2025,0.435,0.565
19/05/2025,0.63,0.37
19/06/2025,0.725,0.275
19/07/2025,0.825,0.175
19/08/2025,0.87,0.13
19/09/2025,0.935,0.065
19/10/2025,0.945,0.055
19/11/2025,0.9595,0.0405
19/12/2025,0.9915,0.0085
20/01/2025,0.735,0.265
20/02/2025,0.785,0.215
20/03/2025,0.665,0.335
20/04/2025,0.425,0.575
20/05/2025,0.625,0.375
20/06/2025,0.725,0.275
20/07/2025,0.825,0.175
20/08/2025,0.875,0.125
20/09/2025,0.93,0.07
20/10/2025,0.945,0.055
20/11/2025,0.9585,0.0415
20/12/2025,0.9895,0.0105
21/01/2025,0.745,0.255
21/02/2025,0.785,0.215
21/03/2025,0.655,0.345
21/04/2025,0.44,0.56
21/05/2025,0.605,0.395
21/06/2025,0.715,0.285
21/07/2025,0.825,0.175
21/08/2025,0.875,0.125
21/09/2025,0.945,0.055
21/10/2025,0.945,0.055
21/11/2025,0.9615,0.0385
21/12/2025,0.9945,0.0055
22/01/2025,0.765,0.235
22/02/2025,0.785,0.215
22/03/2025,0.66,0.34
22/04/2025,0.425,0.575
22/05/2025,0.61,0.39
22/06/2025,0.715,0.285
22/07/2025,0.825,0.175
22/08/2025,0.89,0.11
22/09/2025,0.94,0.06
22/10/2025,0.95,0.05
22/11/2025,0.959,0.041
22/12/2025,0.9965,0.0035
23/01/2025,0.745,0.255
23/02/2025,0.785,0.215
23/03/2025,0.65,0.35
23/04/2025,0.465,0.535
23/05/2025,0.605,0.395
23/06/2025,0.685,0.315
23/07/2025,0.805,0.195
23/08/2025,0.9,0.1
23/09/2025,0.94,0.06
23/10/2025,0.94,0.06
23/11/2025,0.9585,0.0415
23/12/2025,0.9935,0.0065
24/01/2025,0.745,0.255
24/02/2025,0.785,0.215
24/03/2025,0.645,0.355
24/04/2025,0.48,0.52
24/05/2025,0.595,0.405
24/06/2025,0.73,0.27
24/07/2025,0.815,0.185
24/08/2025,0.89,0.11
24/09/2025,0.945,0.055
24/10/2025,0.945,0.055
24/11/2025,0.9615,0.0385
24/12/2025,0.9945,0.0055
25/01/2025,0.745,0.255
25/02/2025,0.785,0.215
25/03/2025,0.655,0.345
25/04/2025,0.465,0.535
25/05/2025,0.615,0.385
25/06/2025,0.74,0.26
25/07/2025,0.825,0.175
25/08/2025,0.885,0.115
25/09/2025,0.935,0.065
25/10/2025,0.95,0.05
25/11/2025,0.968,0.032
25/12/2025,0.9935,0.0065
26/01/2025,0.745,0.255
26/02/2025,0.775,0.225
26/03/2025,0.665,0.335
26/04/2025,0.445,0.555
26/05/2025,0.615,0.385
26/06/2025,0.735,0.265
26/07/2025,0.825,0.175
26/08/2025,0.89,0.11
26/09/2025,0.935,0.065
26/10/2025,0.955,0.045
26/11/2025,0.97,0.03
26/12/2025,0.994,0.006
27/01/2025,0.755,0.245
27/02/2025,0.775,0.225
27/03/2025,0.64,0.36
27/04/2025,0.46,0.54
27/05/2025,0.615,0.385
27/06/2025,0.705,0.295
27/07/2025,0.835,0.165
27/08/2025,0.895,0.105
27/09/2025,0.935,0.065
27/10/2025,0.955,0.045
27/11/2025,0.965,0.035
27/12/2025,0.996,0.004
28/01/2025,0.755,0.245
28/02/2025,0.775,0.225
28/03/2025,0.625,0.375
28/04/2025,0.455,0.545
28/05/2025,0.625,0.375
28/06/2025,0.7,0.3
28/07/2025,0.83,0.17
28/08/2025,0.9,0.1
28/09/2025,0.935,0.065
28/10/2025,0.955,0.045
28/11/2025,0.9775,0.0225
28/12/2025,0.9965,0.0035
29/01/2025,0.755,0.245
29/03/2025,0.63,0.37
29/04/2025,0.425,0.575
29/05/2025,0.615,0.385
29/06/2025,0.735,0.265
29/07/2025,0.835,0.165
29/08/2025,0.895,0.105
29/09/2025,0.935,0.065
29/10/2025,0.955,0.045
29/11/2025,0.9765,0.0235
29/12/2025,0.997,0.003
30/01/2025,0.755,0.245
30/03/2025,0.625,0.375
30/04/2025,0.355,0.645
30/05/2025,0.63,0.37
30/06/2025,0.735,0.265
30/07/2025,0.835,0.165
30/08/2025,0.895,0.105
30/09/2025,0.935,0.065
30/10/2025,0.955,0.045
30/11/2025,0.9795,0.0205
30/12/2025,0.9975,0.0025
31/01/2025,0.755,0.245
31/03/2025,0.625,0.375
31/05/2025,0.67,0.33
31/07/2025,0.875,0.125
31/08/2025,0.91,0.09
31/10/2025,0.96,0.04
31/12/2025,0.9975,0.0025
