datetime_utc,increase_3_2_april_2026_no,increase_3_2_april_2026_yes,increase_3_3_april_2026_no,increase_3_3_april_2026_yes,increase_3_4_april_2026_no,increase_3_4_april_2026_yes,increase_3_5_april_2026_no,increase_3_5_april_2026_yes,increase_3_6_april_2026_no,increase_3_6_april_2026_yes,increase_3_7_april_2026_no,increase_3_7_april_2026_yes,increase_3_8_april_2026_no,increase_3_8_april_2026_yes,increase_3_9_april_2026_no,increase_3_9_april_2026_yes,increase_4_0_april_2026_no,increase_4_0_april_2026_yes,increase_3_1_april_2026_no,increase_3_1_april_2026_yes,increase_4_1_april_2026_no,increase_4_1_april_2026_yes
11/04/2026,0,0,0.525,0.475,0,0,0,0,0,0,0.525,0.475,0.525,0.475,0.53,0.47,0,0,0,0,0.74,0.26
12/04/2026,0.9885,0.0115,0.525,0.475,0,0,0.643,0.357,0.695,0.305,0.7605,0.2395,0.525,0.475,0.53,0.47,0.933,0.067,0.985,0.015,0.74,0.26
13/04/2026,0.9885,0.0115,0.9055,0.0945,0.846,0.154,0.643,0.357,0.695,0.305,0.6705,0.3295,0.8815,0.1185,0.8735,0.1265,0.933,0.067,0.985,0.015,0.8385,0.1615
14/04/2026,0.9885,0.0115,0.9055,0.0945,0.846,0.154,0.643,0.357,0.695,0.305,0.83,0.17,0.8815,0.1185,0.8735,0.1265,0.933,0.067,0.985,0.015,0.8385,0.1615
15/04/2026,0.9885,0.0115,0.994,0.006,0.944,0.056,0.643,0.357,0.695,0.305,0.8015,0.1985,0.817,0.183,0.8695,0.1305,0.933,0.067,0.985,0.015,0.934,0.066
16/04/2026,0.9885,0.0115,0.9815,0.0185,0.944,0.056,0.643,0.357,0.695,0.305,0.7725,0.2275,0.816,0.184,0.87,0.13,0.933,0.067,0.985,0.015,0.969,0.031
17/04/2026,0.9885,0.0115,0.9815,0.0185,0.944,0.056,0.818,0.182,0.695,0.305,0.7725,0.2275,0.818,0.182,0.87,0.13,0.933,0.067,0.985,0.015,0.969,0.031
18/04/2026,0.9885,0.0115,0.9955,0.0185,0.9165,0.0835,0.818,0.182,0.71,0.29,0.7725,0.2275,0.825,0.175,0.87,0.13,0.933,0.067,0.985,0.015,0.973,0.027
19/04/2026,0.9885,0.0115,0.9955,0.0185,0.917,0.083,0.7725,0.2275,0.74,0.26,0.7725,0.2275,0.825,0.175,0.87,0.13,0.933,0.067,0.986,0.014,0.973,0.027
20/04/2026,0.9885,0.0115,0.9955,0.0185,0.923,0.077,0.782,0.218,0.76,0.24,0.7725,0.2275,0.8295,0.1705,0.87,0.13,0.933,0.067,0.986,0.014,0.973,0.027
21/04/2026,0.9885,0.0115,0.9955,0.0185,0.948,0.052,0.7855,0.2145,0.76,0.24,0.7725,0.2275,0.842,0.158,0.87,0.13,0.933,0.067,0.986,0.014,0.973,0.027
22/04/2026,0.99,0.01,0.9725,0.0275,0.935,0.065,0.8325,0.1675,0.695,0.305,0.7985,0.2015,0.8435,0.1565,0.966,0.034,0.973,0.027,0.9725,0.0275,0.9675,0.0325
23/04/2026,0.9845,0.0155,0.9755,0.0245,0.9715,0.0285,0.8005,0.1995,0.675,0.325,0.7885,0.2115,0.83,0.17,0.9625,0.0375,0.9715,0.0285,0.9885,0.0115,0.9705,0.0295
24/04/2026,0.9835,0.0165,0.978,0.022,0.9535,0.0465,0.84,0.172,0.665,0.335,0.794,0.206,0.8345,0.1655,0.9615,0.0385,0.9765,0.0235,0.9885,0.0115,0.962,0.038
