datetime_utc,increase_max_2_6_august_2025_no,increase_max_2_6_august_2025_yes,increase_2_7_august_2025_no,increase_2_7_august_2025_yes,increase_2_8_august_2025_no,increase_2_8_august_2025_yes,increase_2_9_august_2025_no,increase_2_9_august_2025_yes,increase_min_3_0_august_2025_no,increase_min_3_0_august_2025_yes
13/08/2025,0.95,0.05,0.85,0.15,0.63,0.37,0.64,0.36,0.74,0.26
14/08/2025,0.9615,0.0385,0.9615,0.0385,0.605,0.395,0.61,0.39,0.845,0.155
15/08/2025,0.95,0.05,0.959,0.041,0.6,0.4,0.615,0.385,0.85,0.15
16/08/2025,0.95,0.05,0.9455,0.0545,0.62,0.38,0.625,0.375,0.845,0.155
17/08/2025,0.9525,0.0475,0.9365,0.0635,0.615,0.385,0.62,0.38,0.88,0.12
18/08/2025,0.9525,0.0475,0.947,0.053,0.605,0.395,0.61,0.39,0.86,0.14
19/08/2025,0.952,0.048,0.9305,0.0695,0.625,0.375,0.615,0.385,0.86,0.14
20/08/2025,0.9635,0.0365,0.941,0.059,0.595,0.405,0.605,0.395,0.88,0.12
21/08/2025,0.9745,0.0255,0.953,0.047,0.6,0.4,0.595,0.405,0.88,0.12
22/08/2025,0.976,0.024,0.9615,0.0385,0.61,0.39,0.585,0.415,0.85,0.15
23/08/2025,0.958,0.042,0.9655,0.0345,0.665,0.335,0.58,0.42,0.83,0.17
24/08/2025,0.975,0.025,0.9635,0.0365,0.65,0.35,0.575,0.425,0.83,0.17
25/08/2025,0.9715,0.0285,0.9585,0.0415,0.655,0.345,0.575,0.425,0.825,0.175
26/08/2025,0.9685,0.0315,0.956,0.044,0.65,0.35,0.575,0.425,0.83,0.17
27/08/2025,0.9775,0.0225,0.9655,0.0345,0.64,0.36,0.585,0.415,0.825,0.175
28/08/2025,0.977,0.023,0.9755,0.0245,0.665,0.335,0.585,0.415,0.79,0.21
29/08/2025,0.967,0.033,0.966,0.034,0.695,0.305,0.58,0.42,0.79,0.21
30/08/2025,0.963,0.037,0.9675,0.0325,0.665,0.335,0.595,0.405,0.795,0.205
31/08/2025,0.963,0.037,0.969,0.031,0.665,0.335,0.595,0.405,0.795,0.205
01/09/2025,0.9615,0.0385,0.971,0.029,0.655,0.345,0.6,0.4,0.8,0.2
02/09/2025,0.976,0.024,0.98,0.02,0.655,0.345,0.57,0.43,0.8,0.2
03/09/2025,0.982,0.018,0.9735,0.0265,0.69,0.31,0.575,0.425,0.76,0.24
04/09/2025,0.9835,0.0165,0.97,0.03,0.67,0.33,0.595,0.405,0.78,0.22
05/09/2025,0.98,0.02,0.969,0.031,0.71,0.29,0.57,0.43,0.75,0.25
06/09/2025,0.9875,0.0125,0.9835,0.0165,0.675,0.325,0.545,0.455,0.8,0.2
07/09/2025,0.9825,0.0175,0.9705,0.0295,0.675,0.325,0.545,0.455,0.815,0.185
08/09/2025,0.98,0.02,0.955,0.045,0.66,0.34,0.565,0.435,0.83,0.17
09/09/2025,0.9845,0.0155,0.965,0.035,0.695,0.305,0.565,0.435,0.775,0.225
10/09/2025,0.989,0.011,0.972,0.028,0.695,0.305,0.525,0.475,0.805,0.195
11/09/2025,0.989,0.011,0.955,0.045,0.605,0.395,0.6,0.4,0.83,0.17
