datetime_utc,increase_2_9_december_2025_no,increase_2_9_december_2025_yes,increase_3_0_december_2025_no,increase_3_0_december_2025_yes,increase_3_1_december_2025_no,increase_3_1_december_2025_yes,increase_2_8_december_2025_no,increase_2_8_december_2025_yes,increase_3_2_december_2025_no,increase_3_2_december_2025_yes
19/12/2025,0.92,0.08,0.9505,0.0495,0.9965,0.0035,0.145,0.855,0.995,0.005
20/12/2025,0.915,0.085,0.938,0.062,0.983,0.017,0.1725,0.8275,0.9845,0.0155
21/12/2025,0.905,0.095,0.9555,0.0445,0.983,0.017,0.1755,0.8245,0.9845,0.0155
22/12/2025,0.875,0.125,0.955,0.045,0.9745,0.0255,0.189,0.811,0.965,0.035
23/12/2025,0.885,0.115,0.9505,0.0495,0.9745,0.0255,0.201,0.799,0.966,0.034
24/12/2025,0.9,0.1,0.949,0.051,0.9885,0.0115,0.168,0.832,0.9785,0.0215
25/12/2025,0.915,0.085,0.964,0.036,0.9915,0.0085,0.153,0.847,0.971,0.029
26/12/2025,0.915,0.085,0.966,0.034,0.992,0.008,0.1505,0.8495,0.9705,0.0295
27/12/2025,0.91,0.09,0.973,0.027,0.9915,0.0085,0.1365,0.8635,0.9775,0.0225
28/12/2025,0.91,0.09,0.981,0.019,0.9915,0.0085,0.129,0.871,0.972,0.028
29/12/2025,0.91,0.09,0.9805,0.0195,0.991,0.009,0.1305,0.8695,0.973,0.027
30/12/2025,0.91,0.09,0.985,0.015,0.991,0.009,0.131,0.869,0.972,0.028
31/12/2025,0.905,0.095,0.984,0.016,0.99,0.01,0.128,0.872,0.9875,0.0125
01/01/2026,0.915,0.085,0.993,0.007,0.9905,0.0095,0.1015,0.8985,0.9925,0.0075
02/01/2026,0.955,0.045,0.991,0.009,0.99,0.01,0.077,0.923,0.994,0.006
03/01/2026,0.915,0.085,0.9895,0.0105,0.9905,0.0095,0.1165,0.8835,0.9935,0.0065
04/01/2026,0.905,0.095,0.991,0.009,0.9965,0.0035,0.113,0.887,0.9945,0.0055
05/01/2026,0.925,0.075,0.986,0.014,0.9925,0.0075,0.107,0.893,0.9915,0.0085
06/01/2026,0.935,0.065,0.984,0.016,0.973,0.027,0.1105,0.8895,0.975,0.025
07/01/2026,0.93,0.07,0.9875,0.0125,0.983,0.017,0.116,0.884,0.9845,0.0155
08/01/2026,0.925,0.075,0.982,0.018,0.982,0.018,0.149,0.851,0.9815,0.0185
09/01/2026,0.925,0.075,0.9815,0.0185,0.973,0.027,0.13,0.87,0.985,0.015
10/01/2026,0.925,0.075,0.9805,0.0195,0.9765,0.0235,0.136,0.864,0.98,0.02
11/01/2026,0.92,0.08,0.977,0.023,0.9745,0.0255,0.128,0.872,0.98,0.02
12/01/2026,0.925,0.075,0.9845,0.0155,0.98,0.02,0.104,0.896,0.9955,0.0045
13/01/2026,0.935,0.065,0.994,0.006,0.996,0.004,0.084,0.916,0.9955,0.0045
