datetime_utc,increase_max_2_7_february_2025_no,increase_max_2_7_february_2025_yes,increase_2_8_february_2025_no,increase_2_8_february_2025_yes,increase_2_9_february_2025_no,increase_2_9_february_2025_yes,increase_3_0_february_2025_no,increase_3_0_february_2025_yes,increase_min_3_1_february_2025_no,increase_min_3_1_february_2025_yes
13/02/2025,0.93,0.07,0.73,0.27,0.545,0.455,0.909,0.091,0.8975,0.1025
14/02/2025,0.94,0.06,0.79,0.21,0.555,0.445,0.803,0.197,0.8795,0.1205
15/02/2025,0.945,0.055,0.815,0.185,0.58,0.42,0.7985,0.2015,0.8485,0.1515
16/02/2025,0.945,0.055,0.825,0.175,0.585,0.415,0.7955,0.2045,0.834,0.166
17/02/2025,0.9645,0.0355,0.86,0.14,0.6,0.4,0.79,0.21,0.7855,0.2145
18/02/2025,0.968,0.032,0.805,0.195,0.585,0.415,0.818,0.182,0.812,0.188
19/02/2025,0.966,0.034,0.845,0.155,0.565,0.435,0.8255,0.1745,0.7955,0.2045
20/02/2025,0.9655,0.0345,0.76,0.24,0.575,0.425,0.821,0.179,0.8765,0.1235
21/02/2025,0.9675,0.0325,0.785,0.215,0.575,0.425,0.821,0.179,0.846,0.154
22/02/2025,0.971,0.029,0.785,0.215,0.575,0.425,0.8225,0.1775,0.858,0.142
23/02/2025,0.974,0.026,0.78,0.22,0.575,0.425,0.815,0.185,0.8615,0.1385
24/02/2025,0.965,0.035,0.775,0.225,0.575,0.425,0.815,0.185,0.863,0.137
25/02/2025,0.964,0.036,0.795,0.205,0.575,0.425,0.8145,0.1855,0.874,0.126
26/02/2025,0.9645,0.0355,0.805,0.195,0.575,0.425,0.792,0.208,0.886,0.114
27/02/2025,0.956,0.044,0.805,0.195,0.565,0.435,0.789,0.211,0.869,0.131
28/02/2025,0.959,0.041,0.81,0.19,0.57,0.43,0.78,0.22,0.8705,0.1295
01/03/2025,0.9565,0.0435,0.785,0.215,0.56,0.44,0.793,0.207,0.873,0.127
02/03/2025,0.9585,0.0415,0.79,0.21,0.56,0.44,0.797,0.203,0.8705,0.1295
03/03/2025,0.954,0.046,0.785,0.215,0.555,0.445,0.8,0.2,0.8835,0.1165
04/03/2025,0.9525,0.0475,0.765,0.235,0.56,0.44,0.819,0.181,0.893,0.107
05/03/2025,0.9575,0.0425,0.735,0.265,0.555,0.445,0.8285,0.1715,0.9355,0.0645
06/03/2025,0.9435,0.0565,0.725,0.275,0.565,0.435,0.8015,0.1985,0.9405,0.0595
07/03/2025,0.974,0.026,0.74,0.26,0.55,0.45,0.787,0.213,0.932,0.068
08/03/2025,0.9725,0.0275,0.74,0.26,0.555,0.445,0.782,0.218,0.9485,0.0515
09/03/2025,0.973,0.027,0.835,0.165,0.47,0.53,0.75,0.25,0.9535,0.0465
10/03/2025,0.98,0.02,0.825,0.175,0.435,0.565,0.8015,0.1985,0.9565,0.0435
11/03/2025,0.959,0.041,0.805,0.195,0.475,0.525,0.788,0.212,0.949,0.051
12/03/2025,0.9425,0.0575,0.73,0.27,0.465,0.535,0.8545,0.1455,0.979,0.021
