datetime_utc,increase_2_2_february_2026_no,increase_2_2_february_2026_yes,increase_2_3_february_2026_no,increase_2_3_february_2026_yes,increase_2_4_february_2026_no,increase_2_4_february_2026_yes,increase_2_5_february_2026_no,increase_2_5_february_2026_yes,increase_2_6_february_2026_no,increase_2_6_february_2026_yes,increase_2_1_february_2026_no,increase_2_1_february_2026_yes,increase_2_7_february_2026_no,increase_2_7_february_2026_yes
14/02/2026,0.6,0.4,0.575,0.425,0.6,0.4,0.615,0.385,0.66,0.34,0.695,0.305,0.64,0.36
15/02/2026,0.88,0.12,0.775,0.225,0.7,0.3,0.775,0.225,0.88,0.12,0.945,0.055,0.945,0.055
16/02/2026,0.88,0.12,0.83,0.17,0.69,0.31,0.75,0.25,0.875,0.125,0.97,0.03,0.945,0.055
17/02/2026,0.885,0.115,0.825,0.175,0.675,0.325,0.725,0.275,0.915,0.085,0.9605,0.0395,0.945,0.055
18/02/2026,0.895,0.105,0.825,0.175,0.68,0.32,0.705,0.295,0.915,0.085,0.9605,0.0395,0.955,0.045
19/02/2026,0.93,0.07,0.835,0.165,0.6,0.4,0.705,0.295,0.95,0.05,0.9795,0.0205,0.95,0.05
20/02/2026,0.96,0.04,0.84,0.16,0.595,0.405,0.69,0.31,0.94,0.06,0.9845,0.0155,0.95,0.05
21/02/2026,0.965,0.035,0.835,0.165,0.595,0.405,0.685,0.315,0.95,0.05,0.979,0.021,0.96,0.04
22/02/2026,0.937,0.063,0.835,0.165,0.625,0.375,0.675,0.325,0.955,0.045,0.975,0.025,0.974,0.026
23/02/2026,0.9885,0.0115,0.835,0.165,0.625,0.375,0.655,0.345,0.915,0.085,0.9885,0.0115,0.9785,0.0215
24/02/2026,0.975,0.025,0.835,0.165,0.61,0.39,0.64,0.36,0.95,0.05,0.968,0.032,0.9865,0.0135
25/02/2026,0.965,0.035,0.845,0.155,0.575,0.425,0.66,0.34,0.9735,0.0265,0.9785,0.0215,0.9765,0.0235
26/02/2026,0.9915,0.0085,0.87,0.13,0.57,0.43,0.635,0.365,0.966,0.034,0.9885,0.0115,0.966,0.034
27/02/2026,0.9775,0.0225,0.86,0.14,0.57,0.43,0.64,0.36,0.961,0.039,0.9885,0.0115,0.974,0.026
28/02/2026,0.9875,0.0125,0.87,0.13,0.59,0.41,0.6,0.4,0.9675,0.0325,0.991,0.009,0.9785,0.0215
01/03/2026,0.9865,0.0135,0.885,0.115,0.605,0.395,0.6,0.4,0.9485,0.0515,0.9785,0.0215,0.9825,0.0175
02/03/2026,0.976,0.024,0.89,0.11,0.62,0.38,0.57,0.43,0.951,0.049,0.9815,0.0185,0.9805,0.0195
03/03/2026,0.9915,0.0085,0.875,0.125,0.605,0.395,0.585,0.415,0.9555,0.0445,0.9925,0.0075,0.9865,0.0135
04/03/2026,0.9855,0.0145,0.885,0.115,0.545,0.455,0.605,0.395,0.9875,0.0125,0.99,0.01,0.9835,0.0165
05/03/2026,0.9845,0.0155,0.9,0.1,0.56,0.44,0.6,0.4,0.965,0.035,0.991,0.009,0.975,0.025
06/03/2026,0.9835,0.0165,0.91,0.09,0.555,0.445,0.59,0.41,0.9675,0.0325,0.989,0.011,0.98,0.02
07/03/2026,0.9845,0.0155,0.905,0.095,0.595,0.405,0.585,0.415,0.9625,0.0375,0.991,0.009,0.9605,0.0395
08/03/2026,0.9805,0.0195,0.925,0.075,0.57,0.43,0.56,0.44,0.9695,0.0305,0.9935,0.0065,0.9795,0.0205
09/03/2026,0.985,0.015,0.93,0.07,0.585,0.415,0.57,0.43,0.96,0.04,0.987,0.013,0.962,0.038
10/03/2026,0.9875,0.0125,0.935,0.065,0.565,0.435,0.545,0.455,0.971,0.029,0.9935,0.0065,0.987,0.013
11/03/2026,0.9885,0.0115,0.865,0.135,0.545,0.455,0.685,0.315,0.9765,0.0235,0.9835,0.0165,0.991,0.009
