datetime_utc,increase_2_9_january_2026_no,increase_2_9_january_2026_yes,increase_3_0_january_2026_no,increase_3_0_january_2026_yes,increase_3_1_january_2026_no,increase_3_1_january_2026_yes,increase_2_8_january_2026_no,increase_2_8_january_2026_yes,increase_3_2_january_2026_no,increase_3_2_january_2026_yes
14/01/2026,0.9725,0.0275,0.99,0.01,0.993,0.007,0.04,0.96,0.9935,0.0065
15/01/2026,0.975,0.025,0.9825,0.0175,0.993,0.007,0.0485,0.9515,0.9935,0.0065
16/01/2026,0.977,0.023,0.986,0.014,0.9935,0.0065,0.0395,0.9605,0.9935,0.0065
17/01/2026,0.981,0.019,0.9855,0.0145,0.9935,0.0065,0.0385,0.9615,0.997,0.003
18/01/2026,0.982,0.018,0.986,0.014,0.9935,0.0065,0.04,0.96,0.992,0.008
19/01/2026,0.981,0.019,0.98,0.02,0.9915,0.0085,0.0425,0.9575,0.992,0.008
20/01/2026,0.9805,0.0195,0.9785,0.0215,0.992,0.008,0.0445,0.9555,0.992,0.008
21/01/2026,0.983,0.017,0.9805,0.0195,0.993,0.007,0.0425,0.9575,0.993,0.007
22/01/2026,0.98,0.02,0.982,0.018,0.9925,0.0075,0.042,0.958,0.9925,0.0075
23/01/2026,0.9825,0.0175,0.9735,0.0265,0.9925,0.0075,0.0445,0.9555,0.9925,0.0075
24/01/2026,0.9825,0.0175,0.9835,0.0165,0.9915,0.0085,0.0405,0.9595,0.9925,0.0075
25/01/2026,0.9825,0.0175,0.9845,0.0155,0.9915,0.0085,0.0375,0.9625,0.993,0.007
26/01/2026,0.982,0.018,0.9755,0.0245,0.991,0.009,0.048,0.952,0.992,0.008
27/01/2026,0.9825,0.0175,0.979,0.021,0.992,0.008,0.0465,0.9535,0.9925,0.0075
28/01/2026,0.978,0.022,0.96,0.04,0.9905,0.0095,0.0735,0.9265,0.9905,0.0095
29/01/2026,0.9785,0.0215,0.963,0.037,0.991,0.009,0.0715,0.9285,0.9905,0.0095
30/01/2026,0.979,0.021,0.9615,0.0385,0.9915,0.0085,0.074,0.926,0.9665,0.0335
31/01/2026,0.9775,0.0225,0.9745,0.0255,0.991,0.009,0.054,0.946,0.996,0.004
01/02/2026,0.983,0.017,0.9655,0.0345,0.991,0.009,0.0585,0.9415,0.9955,0.0045
02/02/2026,0.9825,0.0175,0.9855,0.0145,0.9925,0.0075,0.0355,0.9645,0.9965,0.0035
03/02/2026,0.983,0.017,0.982,0.018,0.992,0.008,0.0395,0.9605,0.9965,0.0035
04/02/2026,0.983,0.017,0.9825,0.0175,0.992,0.008,0.038,0.962,0.9965,0.0035
05/02/2026,0.975,0.025,0.995,0.005,0.996,0.004,0.037,0.963,0.997,0.003
06/02/2026,0.978,0.022,0.9805,0.0195,0.9945,0.0055,0.0385,0.9615,0.9965,0.0035
07/02/2026,0.986,0.014,0.99,0.01,0.997,0.003,0.023,0.977,0.9975,0.0025
08/02/2026,0.9865,0.0135,0.9875,0.0125,0.997,0.003,0.0355,0.9645,0.9975,0.0025
09/02/2026,0.987,0.013,0.988,0.012,0.997,0.003,0.0355,0.9645,0.9975,0.0025
10/02/2026,0.984,0.016,0.9935,0.0065,0.997,0.003,0.0225,0.9775,0.997,0.003
11/02/2026,0.988,0.012,0.997,0.003,0.997,0.003,0.0155,0.9845,0.997,0.003
12/02/2026,0.982,0.018,0.995,0.005,0.997,0.003,0.0495,0.9505,0.978,0.022
13/02/2026,0.962,0.038,0.981,0.019,0.997,0.003,0.054,0.946,0.9935,0.0065
