datetime_utc,increase_max_2_6_july_2025_no,increase_max_2_6_july_2025_yes,increase_2_7_july_2025_no,increase_2_7_july_2025_yes,increase_2_8_july_2025_no,increase_2_8_july_2025_yes,increase_2_9_july_2025_no,increase_2_9_july_2025_yes,increase_min_3_0_july_2025_no,increase_min_3_0_july_2025_yes
16/07/2025,0.745,0.255,0.645,0.355,0.64,0.36,0.89,0.11,0.9,0.1
17/07/2025,0.93,0.07,0.635,0.365,0.66,0.34,0.825,0.175,0.925,0.075
18/07/2025,0.885,0.115,0.645,0.355,0.65,0.35,0.855,0.145,0.935,0.065
19/07/2025,0.89,0.11,0.66,0.34,0.645,0.355,0.86,0.14,0.93,0.07
20/07/2025,0.895,0.105,0.675,0.325,0.635,0.365,0.855,0.145,0.915,0.085
21/07/2025,0.895,0.105,0.665,0.335,0.635,0.365,0.85,0.15,0.93,0.07
22/07/2025,0.875,0.125,0.67,0.33,0.635,0.365,0.855,0.145,0.93,0.07
23/07/2025,0.89,0.11,0.665,0.335,0.645,0.355,0.84,0.16,0.935,0.065
24/07/2025,0.895,0.105,0.665,0.335,0.645,0.355,0.835,0.165,0.935,0.065
25/07/2025,0.89,0.11,0.67,0.33,0.64,0.36,0.835,0.165,0.93,0.07
26/07/2025,0.895,0.105,0.665,0.335,0.645,0.355,0.835,0.165,0.935,0.065
27/07/2025,0.895,0.105,0.665,0.335,0.635,0.365,0.845,0.155,0.935,0.065
28/07/2025,0.9,0.1,0.675,0.325,0.62,0.38,0.845,0.155,0.95,0.05
29/07/2025,0.9,0.1,0.675,0.325,0.62,0.38,0.845,0.155,0.955,0.045
30/07/2025,0.89,0.11,0.68,0.32,0.61,0.39,0.845,0.155,0.94,0.06
31/07/2025,0.935,0.065,0.665,0.335,0.565,0.435,0.845,0.155,0.975,0.025
01/08/2025,0.915,0.085,0.67,0.33,0.59,0.41,0.845,0.155,0.958,0.042
02/08/2025,0.94,0.06,0.685,0.315,0.57,0.43,0.83,0.17,0.959,0.041
03/08/2025,0.91,0.09,0.67,0.33,0.6,0.4,0.835,0.165,0.9575,0.0425
04/08/2025,0.89,0.11,0.68,0.32,0.6,0.4,0.84,0.16,0.96,0.04
05/08/2025,0.915,0.085,0.69,0.31,0.59,0.41,0.83,0.17,0.9675,0.0325
06/08/2025,0.915,0.085,0.715,0.285,0.535,0.465,0.85,0.15,0.978,0.022
07/08/2025,0.91,0.09,0.665,0.335,0.57,0.43,0.93,0.07,0.9625,0.0375
08/08/2025,0.9,0.1,0.645,0.355,0.545,0.455,0.93,0.07,0.9645,0.0355
09/08/2025,0.92,0.08,0.605,0.395,0.57,0.43,0.92,0.08,0.975,0.025
10/08/2025,0.936,0.064,0.64,0.36,0.565,0.435,0.88,0.12,0.978,0.022
11/08/2025,0.9165,0.0835,0.655,0.345,0.585,0.415,0.835,0.165,0.9925,0.0075
12/08/2025,0.9825,0.0175,0.715,0.285,0.455,0.545,0.865,0.135,0.9765,0.0235
