datetime_utc,increase_max_2_2_june_2025_no,increase_max_2_2_june_2025_yes,increase_2_3_june_2025_no,increase_2_3_june_2025_yes,increase_2_4_june_2025_no,increase_2_4_june_2025_yes,increase_2_5_june_2025_no,increase_2_5_june_2025_yes,increase_min_2_6_june_2025_no,increase_min_2_6_june_2025_yes
2025-06-12,0.9915,0.0085,0.9645,0.0355,0.82,0.18,0.64,0.36,0.55,0.45
2025-06-13,0.9975,0.0025,0.9935,0.0065,0.9835,0.0165,0.615,0.385,0.405,0.595
2025-06-14,0.9945,0.0055,0.992,0.008,0.988,0.012,0.815,0.185,0.2,0.8
2025-06-15,0.982,0.018,0.9865,0.0135,0.981,0.019,0.785,0.215,0.255,0.745
2025-06-16,0.9905,0.0095,0.9845,0.0155,0.983,0.017,0.765,0.235,0.285,0.715
2025-06-17,0.9865,0.0135,0.9825,0.0175,0.979,0.021,0.73,0.27,0.325,0.675
2025-06-18,0.9905,0.0095,0.98,0.02,0.9745,0.0255,0.725,0.275,0.35,0.65
2025-06-19,0.989,0.011,0.985,0.015,0.979,0.021,0.73,0.27,0.31,0.69
2025-06-20,0.9815,0.0185,0.9785,0.0215,0.983,0.017,0.81,0.19,0.265,0.735
2025-06-21,0.987,0.013,0.9865,0.0135,0.974,0.026,0.825,0.175,0.23,0.77
2025-06-22,0.9835,0.0165,0.9755,0.0245,0.9585,0.0415,0.84,0.16,0.23,0.77
2025-06-23,0.9885,0.0115,0.9605,0.0395,0.96,0.04,0.85,0.15,0.23,0.77
2025-06-24,0.9875,0.0125,0.958,0.042,0.9335,0.0665,0.815,0.185,0.285,0.715
2025-06-25,0.992,0.008,0.9775,0.0225,0.9765,0.0235,0.755,0.245,0.31,0.69
2025-06-26,0.9865,0.0135,0.974,0.026,0.972,0.028,0.775,0.225,0.285,0.715
2025-06-27,0.9945,0.0055,0.994,0.006,0.9795,0.0205,0.755,0.245,0.275,0.725
2025-06-28,0.994,0.006,0.988,0.012,0.968,0.032,0.78,0.22,0.295,0.705
2025-06-29,0.9855,0.0145,0.9685,0.0315,0.9375,0.0625,0.805,0.195,0.295,0.705
2025-06-30,0.9925,0.0075,0.9765,0.0235,0.951,0.049,0.835,0.165,0.245,0.755
2025-07-01,0.9895,0.0105,0.9895,0.0105,0.93,0.07,0.785,0.215,0.295,0.705
2025-07-02,0.9985,0.0015,0.9945,0.0055,0.9735,0.0265,0.76,0.24,0.27,0.73
2025-07-03,0.996,0.004,0.992,0.008,0.977,0.023,0.76,0.24,0.27,0.73
2025-07-04,0.991,0.009,0.9705,0.0295,0.961,0.039,0.825,0.175,0.275,0.725
2025-07-05,0.99,0.01,0.993,0.007,0.9495,0.0505,0.84,0.16,0.255,0.745
2025-07-06,0.985,0.015,0.9925,0.0075,0.9435,0.0565,0.815,0.185,0.275,0.725
2025-07-07,0.976,0.024,0.993,0.007,0.9455,0.0545,0.785,0.215,0.28,0.72
2025-07-08,0.99,0.01,0.9925,0.0075,0.949,0.051,0.785,0.215,0.3,0.7
2025-07-09,0.9925,0.0075,0.9915,0.0085,0.9465,0.0535,0.795,0.205,0.275,0.725
2025-07-10,0.992,0.008,0.9915,0.0085,0.9505,0.0495,0.76,0.24,0.305,0.695
2025-07-11,0.9965,0.0035,0.9955,0.0045,0.9545,0.0455,0.765,0.235,0.285,0.715
2025-07-12,0.9975,0.0025,0.9965,0.0035,0.9645,0.0355,0.795,0.205,0.235,0.765
2025-07-13,0.9945,0.0055,0.9975,0.0025,0.9435,0.0565,0.775,0.225,0.28,0.72
2025-07-14,0.998,0.002,0.9975,0.0025,0.965,0.035,0.765,0.235,0.29,0.71
2025-07-15,0.995,0.005,0.993,0.007,0.965,0.035,0.715,0.285,0.325,0.675
