datetime_utc,increase_max_3_6_june_2026_no,increase_max_3_6_june_2026_yes,increase_3_7_june_2026_no,increase_3_7_june_2026_yes,increase_3_8_june_2026_no,increase_3_8_june_2026_yes,increase_3_9_june_2026_no,increase_3_9_june_2026_yes,increase_4_0_june_2026_no,increase_4_0_june_2026_yes,increase_4_1_june_2026_no,increase_4_1_june_2026_yes,increase_4_2_june_2026_no,increase_4_2_june_2026_yes,increase_4_3_june_2026_no,increase_4_3_june_2026_yes,increase_4_4_june_2026_no,increase_4_4_june_2026_yes,increase_4_5_june_2026_no,increase_4_5_june_2026_yes,increase_4_6_june_2026_no,increase_4_6_june_2026_yes,increase_min_4_7_june_2026_no,increase_min_4_7_june_2026_yes
11/06/2026,0.95,0.05,0.93,0.07,0.925,0.08,0.85,0.15,0.815,0.185,0.775,0.225,0.82,0.18,0.845,0.155,0.865,0.135,0.92,0.08,0.88,0.12,0.865,0.135
12/06/2026,0.9995,0.0005,0.9995,0.0005,0.8455,0.1545,0.635,0.365,0.645,0.355,0.865,0.135,0.985,0.015,0.9895,0.0105,0.9975,0.0025,0.993,0.007,0.996,0.004,0.9965,0.0035
13/06/2026,0.9955,0.0045,0.914,0.086,0.6655,0.3345,0.645,0.355,0.865,0.135,0.935,0.065,0.9595,0.0405,0.985,0.015,0.994,0.006,0.994,0.006,0.9945,0.0055,0.9935,0.0065
14/06/2026,0.993,0.007,0.8595,0.1405,0.607,0.393,0.675,0.325,0.905,0.095,0.95,0.05,0.9885,0.0115,0.988,0.012,0.9985,0.0015,0.9975,0.0025,0.999,0.001,0.9935,0.0065
15/06/2026,0.994,0.006,0.863,0.137,0.6975,0.3025,0.65,0.35,0.87,0.13,0.935,0.065,0.9755,0.0245,0.9855,0.0145,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9945,0.0055
16/06/2026,0.9875,0.0125,0.7195,0.2805,0.6155,0.3845,0.765,0.235,0.935,0.065,0.9585,0.0415,0.987,0.013,0.9895,0.0105,0.9995,0.0005,0.9995,0.0005,0.9995,0.0005,0.9995,0.0005
17/06/2026,0.989,0.011,0.6345,0.3655,0.5975,0.4025,0.855,0.145,0.945,0.055,0.9745,0.0255,0.9875,0.0125,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015
18/06/2026,0.9745,0.0255,0.7305,0.2695,0.5885,0.4115,0.8,0.2,0.945,0.055,0.9595,0.0405,0.981,0.019,0.9965,0.0035,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015
19/06/2026,0.986,0.014,0.7225,0.2775,0.5855,0.4145,0.86,0.14,0.95,0.05,0.9745,0.0255,0.9835,0.0165,0.996,0.004,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.997,0.003
20/06/2026,0.982,0.018,0.6925,0.3075,0.5805,0.4195,0.85,0.15,0.96,0.04,0.9695,0.0305,0.98,0.02,0.997,0.003,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.997,0.003
