datetime_utc,increase_2_1_march_2026_no,increase_2_1_march_2026_yes,increase_2_2_march_2026_no,increase_2_2_march_2026_yes,increase_2_3_march_2026_no,increase_2_3_march_2026_yes,increase_2_4_march_2026_no,increase_2_4_march_2026_yes,increase_2_5_march_2026_no,increase_2_5_march_2026_yes,increase_2_6_march_2026_no,increase_2_6_march_2026_yes,increase_2_7_march_2026_no,increase_2_7_march_2026_yes,increase_2_0_march_2026_no,increase_2_0_march_2026_yes,increase_2_8_march_2026_no,increase_2_8_march_2026_yes
12/03/2026,0.9935,0.0065,0.9935,0.0065,0.9935,0.0065,0.9925,0.0075,0.9925,0.0075,0.979,0.021,0.946,0.054,0.994,0.006,0.095,0.905
13/03/2026,0.9945,0.0055,0.9935,0.0065,0.9935,0.0065,0.9945,0.0055,0.9935,0.0065,0.9895,0.0105,0.9855,0.0145,0.9965,0.0035,0.045,0.955
14/03/2026,0.995,0.005,0.9945,0.0055,0.9955,0.0045,0.9945,0.0055,0.994,0.006,0.9945,0.0055,0.9845,0.0155,0.9975,0.0025,0.04,0.96
15/03/2026,0.9935,0.0065,0.9945,0.0055,0.995,0.005,0.9935,0.0065,0.9925,0.0075,0.9915,0.0085,0.983,0.017,0.9975,0.0025,0.06,0.94
16/03/2026,0.9935,0.0065,0.9975,0.0025,0.9975,0.0025,0.9955,0.0045,0.995,0.005,0.9915,0.0085,0.983,0.017,0.9975,0.0025,0.06,0.94
17/03/2026,0.996,0.004,0.9975,0.0025,0.9975,0.0025,0.9965,0.0035,0.995,0.005,0.99,0.01,0.9895,0.0105,0.997,0.003,0.0345,0.9655
18/03/2026,0.996,0.004,0.9965,0.0035,0.994,0.006,0.995,0.005,0.9945,0.0055,0.991,0.009,0.984,0.016,0.9965,0.0035,0.047,0.953
19/03/2026,0.997,0.003,0.9965,0.0035,0.996,0.004,0.997,0.003,0.995,0.005,0.991,0.009,0.9935,0.0065,0.996,0.004,0.025,0.975
20/03/2026,0.9965,0.0035,0.9965,0.0035,0.9965,0.0035,0.9975,0.0025,0.9955,0.0045,0.993,0.007,0.987,0.013,0.9945,0.0055,0.045,0.955
21/03/2026,0.9965,0.0035,0.997,0.003,0.9965,0.0035,0.996,0.004,0.996,0.004,0.987,0.013,0.994,0.006,0.9955,0.0045,0.033,0.967
22/03/2026,0.9975,0.0025,0.9975,0.0025,0.9975,0.0025,0.9975,0.0025,0.997,0.003,0.9875,0.0125,0.995,0.005,0.995,0.005,0.033,0.967
23/03/2026,0.997,0.003,0.9985,0.0015,0.9975,0.0025,0.996,0.004,0.997,0.003,0.9945,0.0055,0.9945,0.0055,0.997,0.003,0.0285,0.9715
24/03/2026,0.9955,0.0045,0.997,0.003,0.9955,0.0045,0.9975,0.0025,0.9965,0.0035,0.99,0.01,0.988,0.012,0.9965,0.0035,0.031,0.969
25/03/2026,0.997,0.003,0.998,0.002,0.997,0.003,0.997,0.003,0.997,0.003,0.989,0.011,0.9905,0.0095,0.997,0.003,0.0305,0.9695
26/03/2026,0.997,0.003,0.997,0.003,0.9975,0.0025,0.9965,0.0035,0.997,0.003,0.991,0.009,0.9905,0.0095,0.9965,0.0035,0.028,0.972
27/03/2026,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025,0.9975,0.0025,0.9965,0.0035,0.992,0.008,0.992,0.008,0.9975,0.0025,0.025,0.975
28/03/2026,0.998,0.002,0.9985,0.0015,0.9975,0.0025,0.9975,0.0025,0.9975,0.0025,0.9945,0.0055,0.9945,0.0055,0.9975,0.0025,0.0255,0.9745
29/03/2026,0.998,0.002,0.9985,0.0015,0.9975,0.0025,0.9975,0.0025,0.9975,0.0025,0.9955,0.0045,0.992,0.008,0.994,0.006,0.023,0.977
30/03/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9975,0.0025,0.9955,0.0045,0.992,0.008,0.9955,0.0045,0.023,0.977
31/03/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9955,0.0045,0.992,0.008,0.997,0.003,0.015,0.985
01/04/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9955,0.0045,0.992,0.008,0.9945,0.0055,0.015,0.985
02/04/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9955,0.0045,0.992,0.008,0.995,0.005,0.0165,0.9835
03/04/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9955,0.0045,0.992,0.008,0.995,0.005,0.0165,0.9835
04/04/2026,0.998,0.002,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9955,0.0045,0.992,0.008,0.996,0.004,0.0165,0.9835
05/04/2026,0.9995,0.0005,0.9985,0.0015,0.997,0.003,0.995,0.005,0.9985,0.0025,0.9975,0.0025,0.992,0.008,0.996,0.004,0.012,0.988
06/04/2026,0.9995,0.0005,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0025,0.9975,0.0025,0.992,0.008,0.9935,0.0065,0.012,0.988
