datetime_utc,increase_max_3_3_may_2026_no,increase_max_3_3_may_2026_yes,increase_3_4_may_2026_no,increase_3_4_may_2026_yes,increase_3_5_may_2026_no,increase_3_5_may_2026_yes,increase_3_6_may_2026_no,increase_3_6_may_2026_yes,increase_3_7_may_2026_no,increase_3_7_may_2026_yes,increase_3_8_may_2026_no,increase_3_8_may_2026_yes,increase_3_9_may_2026_no,increase_3_9_may_2026_yes,increase_4_0_may_2026_no,increase_4_0_may_2026_yes,increase_4_1_may_2026_no,increase_4_1_may_2026_yes,increase_4_2_may_2026_no,increase_4_2_may_2026_yes,increase_4_3_may_2026_no,increase_4_3_may_2026_yes,increase_4_4_may_2026_no,increase_4_4_may_2026_yes
13/05/2026,0.975,0.025,0.9745,0.0255,0.845,0.155,0.85,0.15,0.845,0.155,0.785,0.215,0.795,0.205,0.725,0.275,0.68,0.32,0.68,0.32,0.745,0.255,0.75,0.25
14/05/2026,0.993,0.007,0.991,0.009,0.98,0.02,0.988,0.012,0.977,0.023,0.9755,0.0245,0.96,0.04,0.9695,0.0305,0.9,0.1,0.77,0.23,0.71,0.29,0.7,0.3
15/05/2026,0.98,0.02,0.9915,0.0085,0.9835,0.0165,0.9955,0.0045,0.984,0.016,0.9915,0.0085,0.9685,0.0315,0.9765,0.0235,0.925,0.075,0.775,0.225,0.725,0.275,0.695,0.305
16/05/2026,0.98,0.02,0.9915,0.0085,0.9775,0.0225,0.995,0.005,0.9735,0.0265,0.991,0.009,0.964,0.036,0.9665,0.0335,0.92,0.08,0.765,0.235,0.695,0.305,0.69,0.31
17/05/2026,0.9955,0.0045,0.9955,0.0045,0.9945,0.0055,0.9955,0.0045,0.994,0.006,0.997,0.003,0.984,0.016,0.9945,0.0055,0.915,0.085,0.755,0.245,0.645,0.355,0.67,0.33
18/05/2026,0.996,0.004,0.9965,0.0035,0.9965,0.0035,0.996,0.004,0.9955,0.0045,0.9955,0.0045,0.9975,0.0025,0.9925,0.0075,0.9665,0.0335,0.755,0.245,0.645,0.355,0.635,0.365
19/05/2026,0.996,0.004,0.9975,0.0025,0.9965,0.0035,0.9975,0.0025,0.9975,0.0025,0.9955,0.0045,0.997,0.003,0.9945,0.0055,0.9725,0.0275,0.735,0.265,0.635,0.365,0.645,0.355
20/05/2026,0.9975,0.0025,0.9975,0.0025,0.997,0.003,0.997,0.003,0.997,0.003,0.997,0.003,0.9965,0.0035,0.9935,0.0065,0.9855,0.0145,0.745,0.255,0.625,0.375,0.635,0.365
21/05/2026,0.9975,0.0025,0.9985,0.0015,0.991,0.009,0.9965,0.0035,0.9965,0.0035,0.9965,0.0035,0.9965,0.0035,0.989,0.011,0.986,0.014,0.785,0.215,0.615,0.385,0.615,0.385
22/05/2026,0.998,0.002,0.9985,0.0015,0.9915,0.0085,0.997,0.003,0.997,0.003,0.9975,0.0025,0.983,0.017,0.989,0.011,0.987,0.013,0.785,0.215,0.595,0.405,0.635,0.365
23/05/2026,0.9985,0.0015,0.9985,0.0015,0.994,0.006,0.997,0.003,0.9965,0.0035,0.9965,0.0035,0.995,0.005,0.9935,0.0065,0.9895,0.0105,0.775,0.225,0.575,0.425,0.65,0.35
24/05/2026,0.9985,0.0015,0.9985,0.0015,0.9955,0.0045,0.9985,0.0015,0.9965,0.0035,0.998,0.002,0.9955,0.0045,0.996,0.004,0.99,0.01,0.785,0.215,0.545,0.455,0.705,0.295
25/05/2026,0.9995,0.0005,0.9995,0.0005,0.995,0.005,0.9985,0.0015,0.9965,0.0035,0.9985,0.0015,0.996,0.004,0.994,0.006,0.9925,0.0075,0.78,0.22,0.54,0.46,0.725,0.275
