datetime_utc,increase_2_9_november_2025_no,increase_2_9_november_2025_yes,increase_3_0_november_2025_no,increase_3_0_november_2025_yes,increase_3_1_november_2025_no,increase_3_1_november_2025_yes,increase_2_8_november_2025_no,increase_2_8_november_2025_yes,increase_3_2_november_2025_no,increase_3_2_november_2025_yes
23/11/2025,0.915,0.085,0.53,0.47,0.6,0.4,0.945,0.055,0.895,0.105
24/11/2025,0.93,0.07,0.555,0.445,0.625,0.375,0.97,0.03,0.88,0.12
25/11/2025,0.925,0.075,0.53,0.47,0.635,0.365,0.978,0.022,0.91,0.09
26/11/2025,0.935,0.065,0.525,0.475,0.61,0.39,0.986,0.014,0.92,0.08
27/11/2025,0.915,0.085,0.545,0.455,0.625,0.375,0.985,0.015,0.915,0.085
28/11/2025,0.915,0.085,0.545,0.455,0.625,0.375,0.9915,0.0085,0.915,0.085
29/11/2025,0.935,0.065,0.55,0.45,0.61,0.39,0.9965,0.0035,0.89,0.11
30/11/2025,0.945,0.055,0.555,0.445,0.585,0.415,0.997,0.003,0.905,0.095
01/12/2025,0.94,0.06,0.55,0.45,0.58,0.42,0.9965,0.0035,0.915,0.085
02/12/2025,0.94,0.06,0.53,0.47,0.6,0.4,0.9955,0.0045,0.915,0.085
03/12/2025,0.895,0.105,0.575,0.425,0.615,0.385,0.982,0.018,0.915,0.085
04/12/2025,0.835,0.165,0.58,0.42,0.615,0.385,0.9965,0.0035,0.955,0.045
05/12/2025,0.88,0.12,0.555,0.445,0.63,0.37,0.994,0.006,0.925,0.075
06/12/2025,0.845,0.155,0.53,0.47,0.715,0.285,0.996,0.004,0.94,0.06
07/12/2025,0.855,0.145,0.525,0.475,0.675,0.325,0.971,0.029,0.93,0.07
08/12/2025,0.855,0.145,0.545,0.455,0.655,0.345,0.984,0.016,0.935,0.065
09/12/2025,0.885,0.115,0.545,0.455,0.605,0.395,0.9845,0.0155,0.95,0.05
10/12/2025,0.875,0.125,0.565,0.435,0.6,0.4,0.973,0.027,0.9555,0.0445
11/12/2025,0.85,0.15,0.56,0.44,0.635,0.365,0.966,0.034,0.9655,0.0345
12/12/2025,0.865,0.135,0.545,0.455,0.64,0.36,0.983,0.017,0.9695,0.0305
13/12/2025,0.84,0.16,0.57,0.43,0.625,0.375,0.9735,0.0265,0.969,0.031
14/12/2025,0.87,0.13,0.575,0.425,0.6,0.4,0.996,0.004,0.9465,0.0535
15/12/2025,0.865,0.135,0.59,0.41,0.6,0.4,0.9965,0.0035,0.933,0.067
16/12/2025,0.855,0.145,0.585,0.415,0.595,0.405,0.975,0.025,0.9595,0.0405
17/12/2025,0.765,0.235,0.63,0.37,0.63,0.37,0.9785,0.0215,0.9715,0.0285
18/12/2025,0.815,0.185,0.575,0.425,0.655,0.345,0.9965,0.0035,0.961,0.039
