datetime_utc,increase_2_9_october_2025_no,increase_2_9_october_2025_yes,increase_3_0_october_2025_no,increase_3_0_october_2025_yes,increase_3_1_october_2025_no,increase_3_1_october_2025_yes,increase_2_8_october_2025_no,increase_2_8_october_2025_yes,increase_3_2_october_2025_no,increase_3_2_october_2025_yes
30/10/2025,0.575,0.425,0.58,0.42,0.575,0.425,0.59,0.41,0.65,0.35
31/10/2025,0.8,0.2,0.66,0.34,0.69,0.31,0.935,0.065,0.905,0.095
01/11/2025,0.88,0.12,0.455,0.545,0.79,0.21,0.9685,0.0315,0.905,0.095
02/11/2025,0.865,0.135,0.475,0.525,0.78,0.22,0.9465,0.0535,0.925,0.075
03/11/2025,0.865,0.135,0.475,0.525,0.78,0.22,0.9265,0.0735,0.93,0.07
04/11/2025,0.865,0.135,0.47,0.53,0.77,0.23,0.943,0.057,0.93,0.07
05/11/2025,0.855,0.145,0.48,0.52,0.775,0.225,0.9645,0.0355,0.94,0.06
06/11/2025,0.845,0.155,0.48,0.52,0.78,0.22,0.9645,0.0355,0.94,0.06
07/11/2025,0.85,0.15,0.48,0.52,0.785,0.215,0.9695,0.0305,0.915,0.085
08/11/2025,0.855,0.145,0.445,0.555,0.795,0.205,0.9725,0.0275,0.93,0.07
09/11/2025,0.83,0.17,0.445,0.555,0.795,0.205,0.977,0.023,0.94,0.06
10/11/2025,0.84,0.16,0.445,0.555,0.795,0.205,0.9785,0.0215,0.925,0.075
11/11/2025,0.84,0.16,0.435,0.565,0.82,0.18,0.996,0.004,0.92,0.08
12/11/2025,0.86,0.14,0.54,0.46,0.815,0.185,0.956,0.044,0.82,0.18
13/11/2025,0.9205,0.0795,0.14,0.86,0.975,0.025,0.996,0.004,0.9755,0.0245
14/11/2025,0.915,0.085,0.335,0.665,0.8845,0.1155,0.984,0.016,0.895,0.105
15/11/2025,0.8895,0.1105,0.37,0.63,0.838,0.162,0.985,0.015,0.9385,0.0615
16/11/2025,0.889,0.111,0.35,0.65,0.8265,0.1735,0.9855,0.0145,0.9385,0.0615
17/11/2025,0.89,0.11,0.295,0.705,0.8335,0.1665,0.9865,0.0135,0.965,0.035
18/11/2025,0.882,0.118,0.285,0.715,0.831,0.169,0.989,0.011,0.9705,0.0295
19/11/2025,0.8795,0.1205,0.29,0.71,0.8595,0.1405,0.9925,0.0075,0.9695,0.0305
20/11/2025,0.8805,0.1195,0.28,0.72,0.858,0.142,0.9935,0.0065,0.9645,0.0355
21/11/2025,0.8805,0.1195,0.175,0.825,0.9425,0.0575,0.993,0.007,0.9695,0.0305
22/11/2025,0.901,0.099,0.1455,0.8545,0.9885,0.0115,0.988,0.012,0.991,0.009
