datetime_utc,increase_max_2_9_september_2025_no,increase_max_2_9_september_2025_yes,increase_3_0_september_2025_no,increase_3_0_september_2025_yes,increase_3_1_september_2025_no,increase_3_1_september_2025_yes,increase_3_2_september_2025_no,increase_3_2_september_2025_yes,increase_min_3_3_september_2025_no,increase_min_3_3_september_2025_yes
12/09/2025,0.915,0.085,0.8,0.2,0.63,0.37,0.715,0.285,0.915,0.085
13/09/2025,0.955,0.045,0.695,0.305,0.605,0.395,0.755,0.245,0.9695,0.0305
14/09/2025,0.955,0.045,0.69,0.31,0.605,0.395,0.775,0.225,0.9665,0.0335
15/09/2025,0.95,0.05,0.69,0.31,0.605,0.395,0.775,0.225,0.969,0.031
16/09/2025,0.945,0.055,0.685,0.315,0.585,0.415,0.805,0.195,0.967,0.033
17/09/2025,0.945,0.055,0.665,0.335,0.595,0.405,0.805,0.195,0.97,0.03
18/09/2025,0.94,0.06,0.655,0.345,0.59,0.41,0.83,0.17,0.9645,0.0355
19/09/2025,0.955,0.045,0.655,0.345,0.585,0.415,0.835,0.165,0.9575,0.0425
20/09/2025,0.94,0.06,0.66,0.34,0.58,0.42,0.835,0.165,0.9615,0.0385
21/09/2025,0.94,0.06,0.675,0.325,0.575,0.425,0.84,0.16,0.958,0.042
22/09/2025,0.94,0.06,0.675,0.325,0.575,0.425,0.835,0.165,0.96,0.04
23/09/2025,0.945,0.055,0.68,0.32,0.57,0.43,0.825,0.175,0.959,0.041
24/09/2025,0.94,0.06,0.675,0.325,0.57,0.43,0.835,0.165,0.965,0.035
25/09/2025,0.945,0.055,0.665,0.335,0.56,0.44,0.84,0.16,0.974,0.026
26/09/2025,0.91,0.09,0.675,0.325,0.54,0.46,0.87,0.13,0.978,0.022
27/09/2025,0.925,0.075,0.675,0.325,0.555,0.445,0.865,0.135,0.9785,0.0215
28/09/2025,0.925,0.075,0.665,0.335,0.555,0.445,0.865,0.135,0.977,0.023
29/09/2025,0.915,0.085,0.675,0.325,0.54,0.46,0.875,0.125,0.9815,0.0185
30/09/2025,0.93,0.07,0.62,0.38,0.555,0.445,0.875,0.125,0.9925,0.0075
01/10/2025,0.91,0.09,0.625,0.375,0.585,0.415,0.875,0.125,0.979,0.021
02/10/2025,0.915,0.085,0.625,0.375,0.595,0.405,0.875,0.125,0.984,0.016
03/10/2025,0.915,0.085,0.625,0.375,0.635,0.365,0.85,0.15,0.9725,0.0275
04/10/2025,0.855,0.145,0.635,0.365,0.735,0.265,0.845,0.155,0.982,0.018
05/10/2025,0.87,0.13,0.625,0.375,0.715,0.285,0.81,0.19,0.9665,0.0335
06/10/2025,0.875,0.125,0.61,0.39,0.685,0.315,0.84,0.16,0.9735,0.0265
07/10/2025,0.87,0.13,0.62,0.38,0.715,0.285,0.83,0.17,0.9705,0.0295
08/10/2025,0.855,0.145,0.625,0.375,0.715,0.285,0.83,0.17,0.984,0.016
09/10/2025,0.865,0.135,0.63,0.37,0.705,0.295,0.845,0.155,0.9755,0.0245
10/10/2025,0.855,0.145,0.63,0.37,0.735,0.265,0.85,0.15,0.9795,0.0205
11/10/2025,0.905,0.095,0.605,0.395,0.675,0.325,0.825,0.175,0.98,0.02
12/10/2025,0.875,0.125,0.615,0.385,0.66,0.34,0.835,0.165,0.9895,0.0105
13/10/2025,0.865,0.135,0.65,0.35,0.67,0.33,0.84,0.16,0.9905,0.0095
14/10/2025,0.885,0.115,0.64,0.36,0.615,0.385,0.855,0.145,0.9885,0.0115
15/10/2025,0.88,0.12,0.65,0.35,0.605,0.395,0.85,0.15,0.9965,0.0035
16/10/2025,0.88,0.12,0.635,0.365,0.61,0.39,0.865,0.135,0.9845,0.0155
17/10/2025,0.865,0.135,0.65,0.35,0.585,0.415,0.895,0.105,0.9935,0.0065
18/10/2025,0.855,0.145,0.63,0.37,0.59,0.41,0.915,0.085,0.9935,0.0065
19/10/2025,0.84,0.16,0.63,0.37,0.6,0.4,0.91,0.09,0.995,0.005
20/10/2025,0.865,0.135,0.615,0.385,0.59,0.41,0.92,0.08,0.9965,0.0035
21/10/2025,0.84,0.16,0.615,0.385,0.625,0.375,0.925,0.075,0.989,0.011
22/10/2025,0.87,0.13,0.575,0.425,0.615,0.385,0.925,0.075,0.9885,0.0115
23/10/2025,0.87,0.13,0.555,0.445,0.605,0.395,0.9515,0.0485,0.992,0.008
24/10/2025,0.875,0.125,0.565,0.435,0.61,0.39,0.943,0.057,0.9945,0.0055
