timestamp_unix,datetime_utc,decreases_25_december_2025_no
1754006409,2025-08-01T00:00:09+00:00,0.425
1754092809,2025-08-02T00:00:09+00:00,0.42
1754179208,2025-08-03T00:00:08+00:00,0.42
1754265607,2025-08-04T00:00:07+00:00,0.42
1754352008,2025-08-05T00:00:08+00:00,0.42
1754438409,2025-08-06T00:00:09+00:00,0.415
1754524804,2025-08-07T00:00:04+00:00,0.4
1754611208,2025-08-08T00:00:08+00:00,0.4
1754697604,2025-08-09T00:00:04+00:00,0.4
1754784009,2025-08-10T00:00:09+00:00,0.395
1754870405,2025-08-11T00:00:05+00:00,0.395
1754956806,2025-08-12T00:00:06+00:00,0.395
1755043210,2025-08-13T00:00:10+00:00,0.365
1755129606,2025-08-14T00:00:06+00:00,0.375
1755216006,2025-08-15T00:00:06+00:00,0.38
1755302409,2025-08-16T00:00:09+00:00,0.38
1755388805,2025-08-17T00:00:05+00:00,0.385
1755475209,2025-08-18T00:00:09+00:00,0.385
1755561610,2025-08-19T00:00:10+00:00,0.405
1755648006,2025-08-20T00:00:06+00:00,0.405
1755734408,2025-08-21T00:00:08+00:00,0.405
1755820806,2025-08-22T00:00:06+00:00,0.405
1755907211,2025-08-23T00:00:11+00:00,0.3
1755993608,2025-08-24T00:00:08+00:00,0.38
1756080015,2025-08-25T00:00:15+00:00,0.415
1756166407,2025-08-26T00:00:07+00:00,0.405
1756252808,2025-08-27T00:00:08+00:00,0.39
1756339209,2025-08-28T00:00:09+00:00,0.39
1756425610,2025-08-29T00:00:10+00:00,0.39
1756512012,2025-08-30T00:00:12+00:00,0.375
1756598416,2025-08-31T00:00:16+00:00,0.38
1756684812,2025-09-01T00:00:12+00:00,0.375
1756771209,2025-09-02T00:00:09+00:00,0.38
1756857608,2025-09-03T00:00:08+00:00,0.385
1756944006,2025-09-04T00:00:06+00:00,0.385
1757030412,2025-09-05T00:00:12+00:00,0.415
1757116814,2025-09-06T00:00:14+00:00,0.36
1757203210,2025-09-07T00:00:10+00:00,0.385
1757289619,2025-09-08T00:00:19+00:00,0.39
1757376017,2025-09-09T00:00:17+00:00,0.39
1757462407,2025-09-10T00:00:07+00:00,0.39
1757548810,2025-09-11T00:00:10+00:00,0.425
1757635212,2025-09-12T00:00:12+00:00,0.415
1757721605,2025-09-13T00:00:05+00:00,0.405
1757808012,2025-09-14T00:00:12+00:00,0.41
1757894409,2025-09-15T00:00:09+00:00,0.405
1757980823,2025-09-16T00:00:23+00:00,0.405
1758067212,2025-09-17T00:00:12+00:00,0.365
1758153607,2025-09-18T00:00:07+00:00,0.315
1758240017,2025-09-19T00:00:17+00:00,0.28
1758326408,2025-09-20T00:00:08+00:00,0.255
1758412802,2025-09-21T00:00:02+00:00,0.26
1758499206,2025-09-22T00:00:06+00:00,0.265
1758585602,2025-09-23T00:00:02+00:00,0.275
1758672012,2025-09-24T00:00:12+00:00,0.275
1758758406,2025-09-25T00:00:06+00:00,0.275
1758844813,2025-09-26T00:00:13+00:00,0.32
1758931211,2025-09-27T00:00:11+00:00,0.36
1759017608,2025-09-28T00:00:08+00:00,0.345
1759104004,2025-09-29T00:00:04+00:00,0.34
1759190409,2025-09-30T00:00:09+00:00,0.345
1759276805,2025-10-01T00:00:05+00:00,0.325
1759363206,2025-10-02T00:00:06+00:00,0.29
1759449606,2025-10-03T00:00:06+00:00,0.255
1759536008,2025-10-04T00:00:08+00:00,0.255
1759622407,2025-10-05T00:00:07+00:00,0.255
1759708809,2025-10-06T00:00:09+00:00,0.255
1759795210,2025-10-07T00:00:10+00:00,0.255
1759881615,2025-10-08T00:00:15+00:00,0.295
1759968012,2025-10-09T00:00:12+00:00,0.285
1760054414,2025-10-10T00:00:14+00:00,0.295
1760140808,2025-10-11T00:00:08+00:00,0.27
1760227213,2025-10-12T00:00:13+00:00,0.265
1760313611,2025-10-13T00:00:11+00:00,0.265
1760400015,2025-10-14T00:00:15+00:00,0.255
1760486409,2025-10-15T00:00:09+00:00,0.225
1760572812,2025-10-16T00:00:12+00:00,0.185
1760659206,2025-10-17T00:00:06+00:00,0.175
1760745618,2025-10-18T00:00:18+00:00,0.185
1760832010,2025-10-19T00:00:10+00:00,0.185
1760918416,2025-10-20T00:00:16+00:00,0.17
1761004806,2025-10-21T00:00:06+00:00,0.17
1761091213,2025-10-22T00:00:13+00:00,0.155
1761177608,2025-10-23T00:00:08+00:00,0.15
1761264011,2025-10-24T00:00:11+00:00,0.175
1761350412,2025-10-25T00:00:12+00:00,0.155
1761436812,2025-10-26T00:00:12+00:00,0.145
1761523212,2025-10-27T00:00:12+00:00,0.135
1761609614,2025-10-28T00:00:14+00:00,0.1
1761696013,2025-10-29T00:00:13+00:00,0.16
1761782413,2025-10-30T00:00:13+00:00,0.315
1761868809,2025-10-31T00:00:09+00:00,0.295
1761955213,2025-11-01T00:00:13+00:00,0.355
1762041611,2025-11-02T00:00:11+00:00,0.335
1762128011,2025-11-03T00:00:11+00:00,0.325
1762214412,2025-11-04T00:00:12+00:00,0.335
1762300812,2025-11-05T00:00:12+00:00,0.315
1762387208,2025-11-06T00:00:08+00:00,0.355
1762473612,2025-11-07T00:00:12+00:00,0.265
1762560009,2025-11-08T00:00:09+00:00,0.295
1762646424,2025-11-09T00:00:24+00:00,0.295
