timestamp_unix,datetime_utc,decreases_25_december_2025_yes
1754006409,2025-08-01T00:00:09+00:00,0.575
1754092809,2025-08-02T00:00:09+00:00,0.58
1754179208,2025-08-03T00:00:08+00:00,0.58
1754265607,2025-08-04T00:00:07+00:00,0.58
1754352008,2025-08-05T00:00:08+00:00,0.58
1754438409,2025-08-06T00:00:09+00:00,0.585
1754524808,2025-08-07T00:00:08+00:00,0.6
1754611204,2025-08-08T00:00:04+00:00,0.6
1754697610,2025-08-09T00:00:10+00:00,0.6
1754784008,2025-08-10T00:00:08+00:00,0.605
1754870402,2025-08-11T00:00:02+00:00,0.605
1754956804,2025-08-12T00:00:04+00:00,0.605
1755043214,2025-08-13T00:00:14+00:00,0.635
1755129607,2025-08-14T00:00:07+00:00,0.625
1755216006,2025-08-15T00:00:06+00:00,0.62
1755302404,2025-08-16T00:00:04+00:00,0.62
1755388814,2025-08-17T00:00:14+00:00,0.615
1755475205,2025-08-18T00:00:05+00:00,0.615
1755561611,2025-08-19T00:00:11+00:00,0.595
1755648006,2025-08-20T00:00:06+00:00,0.595
1755734404,2025-08-21T00:00:04+00:00,0.595
1755820806,2025-08-22T00:00:06+00:00,0.595
1755907210,2025-08-23T00:00:10+00:00,0.7
1755993604,2025-08-24T00:00:04+00:00,0.62
1756080014,2025-08-25T00:00:14+00:00,0.585
1756166409,2025-08-26T00:00:09+00:00,0.595
1756252809,2025-08-27T00:00:09+00:00,0.61
1756339208,2025-08-28T00:00:08+00:00,0.61
1756425608,2025-08-29T00:00:08+00:00,0.61
1756512006,2025-08-30T00:00:06+00:00,0.625
1756598418,2025-08-31T00:00:18+00:00,0.62
1756684811,2025-09-01T00:00:11+00:00,0.625
1756771218,2025-09-02T00:00:18+00:00,0.62
1756857608,2025-09-03T00:00:08+00:00,0.615
1756944016,2025-09-04T00:00:16+00:00,0.615
1757030407,2025-09-05T00:00:07+00:00,0.585
1757116809,2025-09-06T00:00:09+00:00,0.64
1757203206,2025-09-07T00:00:06+00:00,0.615
1757289602,2025-09-08T00:00:02+00:00,0.61
1757376003,2025-09-09T00:00:03+00:00,0.61
1757462404,2025-09-10T00:00:04+00:00,0.61
1757548809,2025-09-11T00:00:09+00:00,0.575
1757635227,2025-09-12T00:00:27+00:00,0.585
1757721612,2025-09-13T00:00:12+00:00,0.595
1757808007,2025-09-14T00:00:07+00:00,0.59
1757894414,2025-09-15T00:00:14+00:00,0.595
1757980810,2025-09-16T00:00:10+00:00,0.595
1758067216,2025-09-17T00:00:16+00:00,0.635
1758153610,2025-09-18T00:00:10+00:00,0.685
1758240016,2025-09-19T00:00:16+00:00,0.72
1758326405,2025-09-20T00:00:05+00:00,0.745
1758412805,2025-09-21T00:00:05+00:00,0.74
1758499214,2025-09-22T00:00:14+00:00,0.735
1758585606,2025-09-23T00:00:06+00:00,0.725
1758672006,2025-09-24T00:00:06+00:00,0.725
1758758402,2025-09-25T00:00:02+00:00,0.725
1758844805,2025-09-26T00:00:05+00:00,0.68
1758931209,2025-09-27T00:00:09+00:00,0.64
1759017608,2025-09-28T00:00:08+00:00,0.655
1759104007,2025-09-29T00:00:07+00:00,0.66
1759190410,2025-09-30T00:00:10+00:00,0.655
1759276804,2025-10-01T00:00:04+00:00,0.675
1759363210,2025-10-02T00:00:10+00:00,0.71
1759449602,2025-10-03T00:00:02+00:00,0.745
1759536011,2025-10-04T00:00:11+00:00,0.745
1759622408,2025-10-05T00:00:08+00:00,0.745
