timestamp_unix,datetime_utc,decreases_50_december_2025_no
1754006409,2025-08-01T00:00:09+00:00,0.89
1754092809,2025-08-02T00:00:09+00:00,0.93
1754179208,2025-08-03T00:00:08+00:00,0.935
1754265607,2025-08-04T00:00:07+00:00,0.935
1754352008,2025-08-05T00:00:08+00:00,0.935
1754438409,2025-08-06T00:00:09+00:00,0.935
1754524803,2025-08-07T00:00:03+00:00,0.935
1754611205,2025-08-08T00:00:05+00:00,0.935
1754697610,2025-08-09T00:00:10+00:00,0.935
1754784005,2025-08-10T00:00:05+00:00,0.935
1754870402,2025-08-11T00:00:02+00:00,0.935
1754956808,2025-08-12T00:00:08+00:00,0.935
1755043205,2025-08-13T00:00:05+00:00,0.945
1755129606,2025-08-14T00:00:06+00:00,0.935
1755216010,2025-08-15T00:00:10+00:00,0.935
1755302410,2025-08-16T00:00:10+00:00,0.935
1755388807,2025-08-17T00:00:07+00:00,0.935
1755475209,2025-08-18T00:00:09+00:00,0.935
1755561613,2025-08-19T00:00:13+00:00,0.935
1755648008,2025-08-20T00:00:08+00:00,0.94
1755734410,2025-08-21T00:00:10+00:00,0.94
1755820802,2025-08-22T00:00:02+00:00,0.94
1755907207,2025-08-23T00:00:07+00:00,0.935
1755993609,2025-08-24T00:00:09+00:00,0.94
1756080002,2025-08-25T00:00:02+00:00,0.94
1756166409,2025-08-26T00:00:09+00:00,0.94
1756252813,2025-08-27T00:00:13+00:00,0.935
1756339206,2025-08-28T00:00:06+00:00,0.935
1756425612,2025-08-29T00:00:12+00:00,0.935
1756512009,2025-08-30T00:00:09+00:00,0.945
1756598419,2025-08-31T00:00:19+00:00,0.945
1756684805,2025-09-01T00:00:05+00:00,0.945
1756771216,2025-09-02T00:00:16+00:00,0.945
1756857608,2025-09-03T00:00:08+00:00,0.945
1756944003,2025-09-04T00:00:03+00:00,0.945
1757030409,2025-09-05T00:00:09+00:00,0.935
1757116809,2025-09-06T00:00:09+00:00,0.94
1757203208,2025-09-07T00:00:08+00:00,0.95
1757289602,2025-09-08T00:00:02+00:00,0.935
1757376009,2025-09-09T00:00:09+00:00,0.935
1757462416,2025-09-10T00:00:16+00:00,0.935
1757548812,2025-09-11T00:00:12+00:00,0.935
1757635212,2025-09-12T00:00:12+00:00,0.91
1757721606,2025-09-13T00:00:06+00:00,0.905
1757808011,2025-09-14T00:00:11+00:00,0.9
1757894411,2025-09-15T00:00:11+00:00,0.895
1757980814,2025-09-16T00:00:14+00:00,0.905
1758067206,2025-09-17T00:00:06+00:00,0.93
1758153610,2025-09-18T00:00:10+00:00,0.94
1758240004,2025-09-19T00:00:04+00:00,0.94
1758326409,2025-09-20T00:00:09+00:00,0.935
1758412808,2025-09-21T00:00:08+00:00,0.935
1758499210,2025-09-22T00:00:10+00:00,0.935
1758585604,2025-09-23T00:00:04+00:00,0.925
1758672014,2025-09-24T00:00:14+00:00,0.935
1758758408,2025-09-25T00:00:08+00:00,0.935
1758844809,2025-09-26T00:00:09+00:00,0.945
1758931208,2025-09-27T00:00:08+00:00,0.945
1759017605,2025-09-28T00:00:05+00:00,0.945
1759104008,2025-09-29T00:00:08+00:00,0.945
1759190404,2025-09-30T00:00:04+00:00,0.935
1759276802,2025-10-01T00:00:02+00:00,0.935
1759363203,2025-10-02T00:00:03+00:00,0.945
1759449604,2025-10-03T00:00:04+00:00,0.945
1759536006,2025-10-04T00:00:06+00:00,0.955
1759622405,2025-10-05T00:00:05+00:00,0.95
1759708807,2025-10-06T00:00:07+00:00,0.95
1759795209,2025-10-07T00:00:09+00:00,0.945
1759881613,2025-10-08T00:00:13+00:00,0.935
1759968012,2025-10-09T00:00:12+00:00,0.93
