timestamp_unix,datetime_utc,decreases_50_december_2025_yes
1754006409,2025-08-01T00:00:09+00:00,0.11
1754092809,2025-08-02T00:00:09+00:00,0.07
1754179208,2025-08-03T00:00:08+00:00,0.065
1754265607,2025-08-04T00:00:07+00:00,0.065
1754352008,2025-08-05T00:00:08+00:00,0.065
1754438409,2025-08-06T00:00:09+00:00,0.065
1754524809,2025-08-07T00:00:09+00:00,0.065
1754611210,2025-08-08T00:00:10+00:00,0.065
1754697602,2025-08-09T00:00:02+00:00,0.065
1754784010,2025-08-10T00:00:10+00:00,0.065
1754870407,2025-08-11T00:00:07+00:00,0.065
1754956805,2025-08-12T00:00:05+00:00,0.065
1755043205,2025-08-13T00:00:05+00:00,0.055
1755129608,2025-08-14T00:00:08+00:00,0.065
1755216002,2025-08-15T00:00:02+00:00,0.065
1755302403,2025-08-16T00:00:03+00:00,0.065
1755388804,2025-08-17T00:00:04+00:00,0.065
1755475209,2025-08-18T00:00:09+00:00,0.065
1755561610,2025-08-19T00:00:10+00:00,0.065
1755648005,2025-08-20T00:00:05+00:00,0.06
1755734409,2025-08-21T00:00:09+00:00,0.06
1755820805,2025-08-22T00:00:05+00:00,0.06
1755907206,2025-08-23T00:00:06+00:00,0.065
1755993609,2025-08-24T00:00:09+00:00,0.06
1756080009,2025-08-25T00:00:09+00:00,0.06
1756166408,2025-08-26T00:00:08+00:00,0.06
1756252810,2025-08-27T00:00:10+00:00,0.065
1756339204,2025-08-28T00:00:04+00:00,0.065
1756425617,2025-08-29T00:00:17+00:00,0.065
1756512003,2025-08-30T00:00:03+00:00,0.055
1756598417,2025-08-31T00:00:17+00:00,0.055
1756684808,2025-09-01T00:00:08+00:00,0.055
1756771213,2025-09-02T00:00:13+00:00,0.055
1756857607,2025-09-03T00:00:07+00:00,0.055
1756944013,2025-09-04T00:00:13+00:00,0.055
1757030408,2025-09-05T00:00:08+00:00,0.065
1757116812,2025-09-06T00:00:12+00:00,0.06
1757203209,2025-09-07T00:00:09+00:00,0.05
1757289612,2025-09-08T00:00:12+00:00,0.065
1757376009,2025-09-09T00:00:09+00:00,0.065
1757462413,2025-09-10T00:00:13+00:00,0.065
1757548812,2025-09-11T00:00:12+00:00,0.065
1757635224,2025-09-12T00:00:24+00:00,0.09
1757721610,2025-09-13T00:00:10+00:00,0.095
1757808007,2025-09-14T00:00:07+00:00,0.1
1757894405,2025-09-15T00:00:05+00:00,0.105
1757980805,2025-09-16T00:00:05+00:00,0.095
1758067213,2025-09-17T00:00:13+00:00,0.07
1758153615,2025-09-18T00:00:15+00:00,0.06
1758240009,2025-09-19T00:00:09+00:00,0.06
1758326419,2025-09-20T00:00:19+00:00,0.065
1758412807,2025-09-21T00:00:07+00:00,0.065
1758499202,2025-09-22T00:00:02+00:00,0.065
1758585608,2025-09-23T00:00:08+00:00,0.075
1758672019,2025-09-24T00:00:19+00:00,0.065
1758758408,2025-09-25T00:00:08+00:00,0.065
1758844808,2025-09-26T00:00:08+00:00,0.055
1758931211,2025-09-27T00:00:11+00:00,0.055
1759017608,2025-09-28T00:00:08+00:00,0.055
1759104003,2025-09-29T00:00:03+00:00,0.055
1759190405,2025-09-30T00:00:05+00:00,0.065
1759276804,2025-10-01T00:00:04+00:00,0.065
1759363207,2025-10-02T00:00:07+00:00,0.055
1759449610,2025-10-03T00:00:10+00:00,0.055
1759536005,2025-10-04T00:00:05+00:00,0.045
1759622404,2025-10-05T00:00:04+00:00,0.05
1759708803,2025-10-06T00:00:03+00:00,0.05
1759795202,2025-10-07T00:00:02+00:00,0.055
1759881605,2025-10-08T00:00:05+00:00,0.065
1759968012,2025-10-09T00:00:12+00:00,0.07
1760054412,2025-10-10T00:00:12+00:00,0.07
1760140811,2025-10-11T00:00:11+00:00,0.07
1760227202,2025-10-12T00:00:02+00:00,0.065
1760313607,2025-10-13T00:00:07+00:00,0.065
1760400019,2025-10-14T00:00:19+00:00,0.065
1760486413,2025-10-15T00:00:13+00:00,0.055
1760572819,2025-10-16T00:00:19+00:00,0.05
1760659210,2025-10-17T00:00:10+00:00,0.075
1760745622,2025-10-18T00:00:22+00:00,0.095
1760832015,2025-10-19T00:00:15+00:00,0.095
1760918416,2025-10-20T00:00:16+00:00,0.06
1761004806,2025-10-21T00:00:06+00:00,0.06
1761091218,2025-10-22T00:00:18+00:00,0.06
1761177610,2025-10-23T00:00:10+00:00,0.055
1761264015,2025-10-24T00:00:15+00:00,0.06
1761350414,2025-10-25T00:00:14+00:00,0.055
1761436816,2025-10-26T00:00:16+00:00,0.045
1761523215,2025-10-27T00:00:15+00:00,0.045
1761609618,2025-10-28T00:00:18+00:00,0.045
1761696017,2025-10-29T00:00:17+00:00,0.0345
1761782417,2025-10-30T00:00:17+00:00,0.0205
1761868811,2025-10-31T00:00:11+00:00,0.035
1761955216,2025-11-01T00:00:16+00:00,0.023
1762041614,2025-11-02T00:00:14+00:00,0.023
1762128015,2025-11-03T00:00:15+00:00,0.027
1762214416,2025-11-04T00:00:16+00:00,0.025
1762300817,2025-11-05T00:00:17+00:00,0.029
1762387210,2025-11-06T00:00:10+00:00,0.0185
1762473617,2025-11-07T00:00:17+00:00,0.0205
1762560012,2025-11-08T00:00:12+00:00,0.0245
1762646429,2025-11-09T00:00:29+00:00,0.0235
1762732811,2025-11-10T00:00:11+00:00,0.0225
1762819218,2025-11-11T00:00:18+00:00,0.0275
1762905616,2025-11-12T00:00:16+00:00,0.0245
1762992016,2025-11-13T00:00:16+00:00,0.0205
1763078415,2025-11-14T00:00:15+00:00,0.0165
