timestamp_unix,datetime_utc,no_change_december_2025_no
1754006409,2025-08-01T00:00:09+00:00,0.615
1754092809,2025-08-02T00:00:09+00:00,0.66
1754179208,2025-08-03T00:00:08+00:00,0.675
1754265607,2025-08-04T00:00:07+00:00,0.665
1754352008,2025-08-05T00:00:08+00:00,0.68
1754438409,2025-08-06T00:00:09+00:00,0.665
1754524806,2025-08-07T00:00:06+00:00,0.68
1754611205,2025-08-08T00:00:05+00:00,0.68
1754697604,2025-08-09T00:00:04+00:00,0.685
1754784004,2025-08-10T00:00:04+00:00,0.685
1754870410,2025-08-11T00:00:10+00:00,0.685
1754956803,2025-08-12T00:00:03+00:00,0.685
1755043205,2025-08-13T00:00:05+00:00,0.695
1755129608,2025-08-14T00:00:08+00:00,0.7
1755216005,2025-08-15T00:00:05+00:00,0.695
1755302406,2025-08-16T00:00:06+00:00,0.69
1755388804,2025-08-17T00:00:04+00:00,0.69
1755475204,2025-08-18T00:00:04+00:00,0.69
1755561606,2025-08-19T00:00:06+00:00,0.685
1755648004,2025-08-20T00:00:04+00:00,0.685
1755734404,2025-08-21T00:00:04+00:00,0.675
1755820806,2025-08-22T00:00:06+00:00,0.68
1755907202,2025-08-23T00:00:02+00:00,0.77
1755993604,2025-08-24T00:00:04+00:00,0.71
1756080008,2025-08-25T00:00:08+00:00,0.69
1756166406,2025-08-26T00:00:06+00:00,0.67
1756252810,2025-08-27T00:00:10+00:00,0.68
1756339210,2025-08-28T00:00:10+00:00,0.68
1756425612,2025-08-29T00:00:12+00:00,0.685
1756512009,2025-08-30T00:00:09+00:00,0.685
1756598416,2025-08-31T00:00:16+00:00,0.68
1756684802,2025-09-01T00:00:02+00:00,0.685
1756771218,2025-09-02T00:00:18+00:00,0.68
1756857613,2025-09-03T00:00:13+00:00,0.675
1756944012,2025-09-04T00:00:12+00:00,0.675
1757030408,2025-09-05T00:00:08+00:00,0.655
1757116813,2025-09-06T00:00:13+00:00,0.7
1757203204,2025-09-07T00:00:04+00:00,0.68
1757289619,2025-09-08T00:00:19+00:00,0.695
1757376013,2025-09-09T00:00:13+00:00,0.685
1757462406,2025-09-10T00:00:06+00:00,0.68
1757548806,2025-09-11T00:00:06+00:00,0.68
1757635224,2025-09-12T00:00:24+00:00,0.68
1757721613,2025-09-13T00:00:13+00:00,0.68
1757808003,2025-09-14T00:00:03+00:00,0.68
1757894403,2025-09-15T00:00:03+00:00,0.695
1757980819,2025-09-16T00:00:19+00:00,0.69
1758067219,2025-09-17T00:00:19+00:00,0.71
