timestamp_unix,datetime_utc,no_change_december_2025_yes
1754006409,2025-08-01T00:00:09+00:00,0.385
1754092809,2025-08-02T00:00:09+00:00,0.34
1754179208,2025-08-03T00:00:08+00:00,0.325
1754265607,2025-08-04T00:00:07+00:00,0.335
1754352008,2025-08-05T00:00:08+00:00,0.32
1754438409,2025-08-06T00:00:09+00:00,0.335
1754524802,2025-08-07T00:00:02+00:00,0.32
1754611208,2025-08-08T00:00:08+00:00,0.32
1754697615,2025-08-09T00:00:15+00:00,0.315
1754784004,2025-08-10T00:00:04+00:00,0.315
1754870411,2025-08-11T00:00:11+00:00,0.315
1754956806,2025-08-12T00:00:06+00:00,0.315
1755043208,2025-08-13T00:00:08+00:00,0.305
1755129606,2025-08-14T00:00:06+00:00,0.3
1755216008,2025-08-15T00:00:08+00:00,0.305
1755302405,2025-08-16T00:00:05+00:00,0.31
1755388814,2025-08-17T00:00:14+00:00,0.31
1755475203,2025-08-18T00:00:03+00:00,0.31
1755561611,2025-08-19T00:00:11+00:00,0.315
1755648008,2025-08-20T00:00:08+00:00,0.315
1755734404,2025-08-21T00:00:04+00:00,0.325
1755820805,2025-08-22T00:00:05+00:00,0.32
1755907211,2025-08-23T00:00:11+00:00,0.23
1755993609,2025-08-24T00:00:09+00:00,0.29
1756080005,2025-08-25T00:00:05+00:00,0.31
1756166410,2025-08-26T00:00:10+00:00,0.33
1756252806,2025-08-27T00:00:06+00:00,0.32
1756339206,2025-08-28T00:00:06+00:00,0.32
1756425617,2025-08-29T00:00:17+00:00,0.315
1756512007,2025-08-30T00:00:07+00:00,0.315
1756598414,2025-08-31T00:00:14+00:00,0.32
1756684806,2025-09-01T00:00:06+00:00,0.315
1756771211,2025-09-02T00:00:11+00:00,0.32
1756857608,2025-09-03T00:00:08+00:00,0.325
1756944005,2025-09-04T00:00:05+00:00,0.325
1757030409,2025-09-05T00:00:09+00:00,0.345
1757116813,2025-09-06T00:00:13+00:00,0.3
1757203210,2025-09-07T00:00:10+00:00,0.32
1757289617,2025-09-08T00:00:17+00:00,0.305
1757376009,2025-09-09T00:00:09+00:00,0.315
1757462413,2025-09-10T00:00:13+00:00,0.32
1757548809,2025-09-11T00:00:09+00:00,0.32
1757635229,2025-09-12T00:00:29+00:00,0.32
1757721609,2025-09-13T00:00:09+00:00,0.32
1757808003,2025-09-14T00:00:03+00:00,0.32
1757894403,2025-09-15T00:00:03+00:00,0.305
1757980802,2025-09-16T00:00:02+00:00,0.31
1758067210,2025-09-17T00:00:10+00:00,0.29
1758153612,2025-09-18T00:00:12+00:00,0.255
1758240010,2025-09-19T00:00:10+00:00,0.215
1758326407,2025-09-20T00:00:07+00:00,0.195
1758412805,2025-09-21T00:00:05+00:00,0.195
1758499215,2025-09-22T00:00:15+00:00,0.2
1758585604,2025-09-23T00:00:04+00:00,0.205
1758672006,2025-09-24T00:00:06+00:00,0.21
1758758408,2025-09-25T00:00:08+00:00,0.215
1758844813,2025-09-26T00:00:13+00:00,0.26
