datetime_utc,decreases_25_december_2025_no,decreases_25_december_2025_yes,decreases_50_december_2025_no,decreases_50_december_2025_yes,increases_25_december_2025_no,increases_25_december_2025_yes,no_change_december_2025_no,no_change_december_2025_yes
2025-08-01,0.425,0.575,0.89,0.11,0.94,0.06,0.615,0.385
2025-08-02,0.42,0.58,0.93,0.07,0.97,0.03,0.66,0.34
2025-08-03,0.42,0.58,0.935,0.065,0.9705,0.0295,0.675,0.325
2025-08-04,0.42,0.58,0.935,0.065,0.971,0.029,0.665,0.335
2025-08-05,0.42,0.58,0.935,0.065,0.974,0.026,0.68,0.32
2025-08-06,0.415,0.585,0.935,0.065,0.973,0.027,0.665,0.335
2025-08-07,,,,,,,,0.32
2025-08-07,,,0.935,,,0.0285,,
2025-08-07,0.4,,,,,,,
2025-08-07,,,,,,,0.68,
2025-08-07,,0.6,,,0.9715,,,
2025-08-07,,,,0.065,,,,
2025-08-08,,,,,0.971,,,
2025-08-08,,0.6,,,,,,
2025-08-08,,,0.935,,,0.029,0.68,
2025-08-08,0.4,,,,,,,0.32
2025-08-08,,,,0.065,,,,
2025-08-09,,,,0.065,,0.028,,
2025-08-09,0.4,,,,,,0.685,
2025-08-09,,,,,0.972,,,
2025-08-09,,0.6,0.935,,,,,
2025-08-09,,,,,,,,0.315
2025-08-10,,,,,,0.027,0.685,0.315
2025-08-10,,,0.935,,0.973,,,
2025-08-10,,0.605,,,,,,
2025-08-10,0.395,,,,,,,
2025-08-10,,,,0.065,,,,
2025-08-11,,0.605,0.935,,,,,
2025-08-11,,,,,0.973,,,
2025-08-11,0.395,,,,,,,
2025-08-11,,,,,,0.027,,
2025-08-11,,,,0.065,,,,
2025-08-11,,,,,,,0.685,
2025-08-11,,,,,,,,0.315
2025-08-12,,,,,,,0.685,
2025-08-12,,0.605,,,,,,
2025-08-12,,,,0.065,0.973,,,
2025-08-12,0.395,,,,,,,0.315
2025-08-12,,,0.935,,,0.027,,
2025-08-13,,,0.945,0.055,,,0.695,
2025-08-13,,,,,,,,0.305
2025-08-13,,,,,,0.0195,,
2025-08-13,0.365,,,,,,,
2025-08-13,,,,,0.9805,,,
2025-08-13,,0.635,,,,,,
2025-08-14,,,,,0.985,,,
2025-08-14,0.375,,0.935,,,,,0.3
2025-08-14,,0.625,,,,,,
2025-08-14,,,,0.065,,0.015,0.7,
2025-08-15,,,,0.065,,,,
2025-08-15,,,,,,,0.695,
2025-08-15,0.38,0.62,,,,,,
2025-08-15,,,,,,,,0.305
2025-08-15,,,0.935,,0.982,,,
2025-08-15,,,,,,0.018,,
2025-08-16,,,,0.065,0.9835,,,
2025-08-16,,0.62,,,,,,
2025-08-16,,,,,,,,0.31
2025-08-16,,,,,,,0.69,
2025-08-16,0.38,,,,,,,
2025-08-16,,,0.935,,,0.0165,,
2025-08-17,,,,0.065,,,0.69,
2025-08-17,0.385,,,,,,,
2025-08-17,,,0.935,,,,,
2025-08-17,,,,,0.9815,0.0185,,
2025-08-17,,0.615,,,,,,0.31
2025-08-18,,,,,0.9815,,,
2025-08-18,,,,,,,,0.31
2025-08-18,,,,,,,0.69,
2025-08-18,,0.615,,,,0.0185,,
2025-08-18,0.385,,0.935,0.065,,,,
2025-08-19,,,,,0.982,,,
2025-08-19,,,,,,,0.685,
2025-08-19,0.405,,,0.065,,,,
2025-08-19,,0.595,,,,,,0.315
2025-08-19,,,0.935,,,0.018,,
2025-08-20,,,,,,,0.685,
2025-08-20,,,,0.06,,,,
2025-08-20,0.405,0.595,,,,0.018,,
2025-08-20,,,,,0.982,,,
2025-08-20,,,0.94,,,,,0.315
2025-08-21,,0.595,,,,0.0155,0.675,0.325
2025-08-21,,,,,0.9845,,,
2025-08-21,0.405,,,,,,,
2025-08-21,,,,0.06,,,,
2025-08-21,,,0.94,,,,,
2025-08-22,,,0.94,,,,,
2025-08-22,,,,0.06,,,,0.32
2025-08-22,0.405,0.595,,,,0.0235,0.68,
2025-08-22,,,,,0.9765,,,
2025-08-23,,,,,,,0.77,
2025-08-23,,,,0.065,,,,
2025-08-23,,,0.935,,,,,
2025-08-23,,0.7,,,,,,
2025-08-23,0.3,,,,0.986,,,0.23
2025-08-23,,,,,,0.014,,
2025-08-24,,,,,0.9865,,,
2025-08-24,,0.62,,,,,0.71,
2025-08-24,,,,,,0.0135,,
2025-08-24,0.38,,,,,,,
2025-08-24,,,0.94,0.06,,,,0.29
2025-08-25,,,0.94,,,,,
2025-08-25,,,,,,,,0.31
2025-08-25,,,,,0.9855,0.0145,0.69,
2025-08-25,,,,0.06,,,,
2025-08-25,,0.585,,,,,,
2025-08-25,0.415,,,,,,,
2025-08-26,,,,,0.9865,,,
2025-08-26,,,,,,0.0135,0.67,
2025-08-26,0.405,,,,,,,
2025-08-26,,,,0.06,,,,
2025-08-26,,0.595,0.94,,,,,
2025-08-26,,,,,,,,0.33
2025-08-27,,,,,,0.0155,,
2025-08-27,,,,,,,,0.32
2025-08-27,0.39,,,,,,,
2025-08-27,,0.61,,,0.9845,,,
2025-08-27,,,,0.065,,,0.68,
2025-08-27,,,0.935,,,,,
2025-08-28,,,,0.065,,,,
2025-08-28,,,0.935,,,,,0.32
2025-08-28,,0.61,,,,,,
2025-08-28,0.39,,,,,,,
2025-08-28,,,,,0.9855,0.0145,0.68,
2025-08-29,,0.61,,,,,,
2025-08-29,0.39,,,,,,,
2025-08-29,,,,,,0.0145,,
2025-08-29,,,0.935,,,,0.685,
2025-08-29,,,,0.065,,,,0.315
2025-08-29,,,,,0.9855,,,
2025-08-30,,,,0.055,0.9855,,,
2025-08-30,,0.625,,,,,,
2025-08-30,,,,,,,,0.315
2025-08-30,,,0.945,,,,0.685,
2025-08-30,0.375,,,,,0.0145,,
2025-08-31,,,,,,0.015,,
2025-08-31,,,,,0.985,,,
2025-08-31,,,,,,,,0.32
2025-08-31,0.38,,,,,,0.68,
2025-08-31,,,,0.055,,,,
2025-08-31,,0.62,,,,,,
2025-08-31,,,0.945,,,,,
2025-09-01,,,,,,,0.685,
2025-09-01,,,,,,0.015,,
