timestamp_unix,datetime_utc,decreases_25_july_2025_no
1742428805,2025-03-20T00:00:05+00:00,0.685
1742515205,2025-03-21T00:00:05+00:00,0.675
1742601606,2025-03-22T00:00:06+00:00,0.645
1742688006,2025-03-23T00:00:06+00:00,0.645
1742774405,2025-03-24T00:00:05+00:00,0.655
1742860806,2025-03-25T00:00:06+00:00,0.655
1742947205,2025-03-26T00:00:05+00:00,0.655
1743033606,2025-03-27T00:00:06+00:00,0.645
1743120006,2025-03-28T00:00:06+00:00,0.645
1743206406,2025-03-29T00:00:06+00:00,0.625
1743292806,2025-03-30T00:00:06+00:00,0.625
1743379205,2025-03-31T00:00:05+00:00,0.615
1743465605,2025-04-01T00:00:05+00:00,0.615
1743552006,2025-04-02T00:00:06+00:00,0.505
1743638405,2025-04-03T00:00:05+00:00,0.465
1743724805,2025-04-04T00:00:05+00:00,0.42
1743811205,2025-04-05T00:00:05+00:00,0.43
1743897605,2025-04-06T00:00:05+00:00,0.43
1743984006,2025-04-07T00:00:06+00:00,0.44
1744070406,2025-04-08T00:00:06+00:00,0.455
1744156806,2025-04-09T00:00:06+00:00,0.43
1744243205,2025-04-10T00:00:05+00:00,0.48
1744329605,2025-04-11T00:00:05+00:00,0.45
1744416006,2025-04-12T00:00:06+00:00,0.455
1744502405,2025-04-13T00:00:05+00:00,0.455
1744588805,2025-04-14T00:00:05+00:00,0.455
1744675205,2025-04-15T00:00:05+00:00,0.46
1744761605,2025-04-16T00:00:05+00:00,0.465
1744848006,2025-04-17T00:00:06+00:00,0.475
1744934404,2025-04-18T00:00:04+00:00,0.475
1745020806,2025-04-19T00:00:06+00:00,0.47
1745107206,2025-04-20T00:00:06+00:00,0.47
1745193606,2025-04-21T00:00:06+00:00,0.485
1745280006,2025-04-22T00:00:06+00:00,0.485
1745366407,2025-04-23T00:00:07+00:00,0.49
1745452806,2025-04-24T00:00:06+00:00,0.49
1745539206,2025-04-25T00:00:06+00:00,0.5
1745625606,2025-04-26T00:00:06+00:00,0.525
1745712005,2025-04-27T00:00:05+00:00,0.535
1745798405,2025-04-28T00:00:05+00:00,0.53
1745884805,2025-04-29T00:00:05+00:00,0.49
1745971206,2025-04-30T00:00:06+00:00,0.47
1746057606,2025-05-01T00:00:06+00:00,0.48
1746144006,2025-05-02T00:00:06+00:00,0.47
1746230406,2025-05-03T00:00:06+00:00,0.57
1746316805,2025-05-04T00:00:05+00:00,0.565
1746403205,2025-05-05T00:00:05+00:00,0.585
1746489606,2025-05-06T00:00:06+00:00,0.585
1746576005,2025-05-07T00:00:05+00:00,0.58
1746662406,2025-05-08T00:00:06+00:00,0.56
1746748807,2025-05-09T00:00:07+00:00,0.585
1746835206,2025-05-10T00:00:06+00:00,0.685
1746921606,2025-05-11T00:00:06+00:00,0.745
1747008006,2025-05-12T00:00:06+00:00,0.71
1747094406,2025-05-13T00:00:06+00:00,0.77
1747180807,2025-05-14T00:00:07+00:00,0.755
1747267207,2025-05-15T00:00:07+00:00,0.755
1747353606,2025-05-16T00:00:06+00:00,0.755
1747440007,2025-05-17T00:00:07+00:00,0.765
1747526406,2025-05-18T00:00:06+00:00,0.765
1747612806,2025-05-19T00:00:06+00:00,0.785
1747699206,2025-05-20T00:00:06+00:00,0.785
1747785606,2025-05-21T00:00:06+00:00,0.815
1747872007,2025-05-22T00:00:07+00:00,0.825
1747958407,2025-05-23T00:00:07+00:00,0.815
1748044807,2025-05-24T00:00:07+00:00,0.82
1748131206,2025-05-25T00:00:06+00:00,0.825
1748217607,2025-05-26T00:00:07+00:00,0.835
1748304006,2025-05-27T00:00:06+00:00,0.845
1748390406,2025-05-28T00:00:06+00:00,0.84
1748476807,2025-05-29T00:00:07+00:00,0.845
1748563207,2025-05-30T00:00:07+00:00,0.82
1748649607,2025-05-31T00:00:07+00:00,0.815
1748736007,2025-06-01T00:00:07+00:00,0.835
1748822406,2025-06-02T00:00:06+00:00,0.835
