timestamp_unix,datetime_utc,decreases_50_july_2025_no
1742428805,2025-03-20T00:00:05+00:00,0.95
1742515205,2025-03-21T00:00:05+00:00,0.945
1742601606,2025-03-22T00:00:06+00:00,0.9615
1742688006,2025-03-23T00:00:06+00:00,0.9525
1742774405,2025-03-24T00:00:05+00:00,0.949
1742860806,2025-03-25T00:00:06+00:00,0.946
1742947205,2025-03-26T00:00:05+00:00,0.9465
1743033606,2025-03-27T00:00:06+00:00,0.9575
1743120006,2025-03-28T00:00:06+00:00,0.9465
1743206406,2025-03-29T00:00:06+00:00,0.96
1743292806,2025-03-30T00:00:06+00:00,0.959
1743379205,2025-03-31T00:00:05+00:00,0.959
1743465605,2025-04-01T00:00:05+00:00,0.959
1743552006,2025-04-02T00:00:06+00:00,0.954
1743638405,2025-04-03T00:00:05+00:00,0.957
1743724805,2025-04-04T00:00:05+00:00,0.928
1743811205,2025-04-05T00:00:05+00:00,0.925
1743897605,2025-04-06T00:00:05+00:00,0.9205
1743984006,2025-04-07T00:00:06+00:00,0.9215
1744070406,2025-04-08T00:00:06+00:00,0.917
1744156806,2025-04-09T00:00:06+00:00,0.915
1744243205,2025-04-10T00:00:05+00:00,0.926
1744329605,2025-04-11T00:00:05+00:00,0.8885
1744416006,2025-04-12T00:00:06+00:00,0.885
1744502405,2025-04-13T00:00:05+00:00,0.9005
1744588805,2025-04-14T00:00:05+00:00,0.897
1744675205,2025-04-15T00:00:05+00:00,0.895
1744761605,2025-04-16T00:00:05+00:00,0.904
1744848006,2025-04-17T00:00:06+00:00,0.9025
1744934404,2025-04-18T00:00:04+00:00,0.9
1745020806,2025-04-19T00:00:06+00:00,0.9
1745107206,2025-04-20T00:00:06+00:00,0.902
1745193606,2025-04-21T00:00:06+00:00,0.9025
1745280006,2025-04-22T00:00:06+00:00,0.901
1745366407,2025-04-23T00:00:07+00:00,0.903
1745452806,2025-04-24T00:00:06+00:00,0.902
1745539206,2025-04-25T00:00:06+00:00,0.9065
1745625606,2025-04-26T00:00:06+00:00,0.916
1745712005,2025-04-27T00:00:05+00:00,0.918
1745798405,2025-04-28T00:00:05+00:00,0.9185
1745884805,2025-04-29T00:00:05+00:00,0.9275
1745971206,2025-04-30T00:00:06+00:00,0.94
1746057606,2025-05-01T00:00:06+00:00,0.932
1746144006,2025-05-02T00:00:06+00:00,0.933
1746230406,2025-05-03T00:00:06+00:00,0.933
1746316805,2025-05-04T00:00:05+00:00,0.9335
1746403205,2025-05-05T00:00:05+00:00,0.943
1746489606,2025-05-06T00:00:06+00:00,0.945
1746576005,2025-05-07T00:00:05+00:00,0.944
1746662406,2025-05-08T00:00:06+00:00,0.9385
1746748807,2025-05-09T00:00:07+00:00,0.9385
1746835206,2025-05-10T00:00:06+00:00,0.9445
1746921606,2025-05-11T00:00:06+00:00,0.9445
1747008006,2025-05-12T00:00:06+00:00,0.944
1747094406,2025-05-13T00:00:06+00:00,0.9685
1747180807,2025-05-14T00:00:07+00:00,0.9605
1747267207,2025-05-15T00:00:07+00:00,0.9635
1747353606,2025-05-16T00:00:06+00:00,0.9655
1747440007,2025-05-17T00:00:07+00:00,0.9645
1747526406,2025-05-18T00:00:06+00:00,0.962
1747612806,2025-05-19T00:00:06+00:00,0.969
1747699206,2025-05-20T00:00:06+00:00,0.958
1747785606,2025-05-21T00:00:06+00:00,0.9495
1747872007,2025-05-22T00:00:07+00:00,0.9625
1747958407,2025-05-23T00:00:07+00:00,0.967
1748044807,2025-05-24T00:00:07+00:00,0.968
1748131206,2025-05-25T00:00:06+00:00,0.969
1748217607,2025-05-26T00:00:07+00:00,0.972
1748304006,2025-05-27T00:00:06+00:00,0.9695
1748390406,2025-05-28T00:00:06+00:00,0.9765
1748476807,2025-05-29T00:00:07+00:00,0.9735
1748563207,2025-05-30T00:00:07+00:00,0.9705
1748649607,2025-05-31T00:00:07+00:00,0.9765
1748736007,2025-06-01T00:00:07+00:00,0.976
1748822406,2025-06-02T00:00:06+00:00,0.977
1748908807,2025-06-03T00:00:07+00:00,0.981
1748995206,2025-06-04T00:00:06+00:00,0.9835
1749081606,2025-06-05T00:00:06+00:00,0.985
1749168006,2025-06-06T00:00:06+00:00,0.988
