timestamp_unix,datetime_utc,decreases_50_july_2025_yes
1742428805,2025-03-20T00:00:05+00:00,0.05
1742515205,2025-03-21T00:00:05+00:00,0.055
1742601606,2025-03-22T00:00:06+00:00,0.0385
1742688006,2025-03-23T00:00:06+00:00,0.0475
1742774405,2025-03-24T00:00:05+00:00,0.051
1742860806,2025-03-25T00:00:06+00:00,0.054
1742947205,2025-03-26T00:00:05+00:00,0.0535
1743033606,2025-03-27T00:00:06+00:00,0.0425
1743120006,2025-03-28T00:00:06+00:00,0.0535
1743206406,2025-03-29T00:00:06+00:00,0.04
1743292806,2025-03-30T00:00:06+00:00,0.041
1743379205,2025-03-31T00:00:05+00:00,0.041
1743465605,2025-04-01T00:00:05+00:00,0.041
1743552006,2025-04-02T00:00:06+00:00,0.046
1743638405,2025-04-03T00:00:05+00:00,0.043
1743724805,2025-04-04T00:00:05+00:00,0.072
1743811205,2025-04-05T00:00:05+00:00,0.075
1743897605,2025-04-06T00:00:05+00:00,0.0795
1743984006,2025-04-07T00:00:06+00:00,0.0785
1744070406,2025-04-08T00:00:06+00:00,0.083
1744156806,2025-04-09T00:00:06+00:00,0.085
1744243205,2025-04-10T00:00:05+00:00,0.074
1744329605,2025-04-11T00:00:05+00:00,0.1115
1744416006,2025-04-12T00:00:06+00:00,0.115
1744502405,2025-04-13T00:00:05+00:00,0.0995
1744588805,2025-04-14T00:00:05+00:00,0.103
1744675205,2025-04-15T00:00:05+00:00,0.105
1744761605,2025-04-16T00:00:05+00:00,0.096
1744848006,2025-04-17T00:00:06+00:00,0.0975
1744934404,2025-04-18T00:00:04+00:00,0.1
1745020806,2025-04-19T00:00:06+00:00,0.1
1745107206,2025-04-20T00:00:06+00:00,0.098
1745193606,2025-04-21T00:00:06+00:00,0.0975
1745280006,2025-04-22T00:00:06+00:00,0.099
1745366407,2025-04-23T00:00:07+00:00,0.097
1745452806,2025-04-24T00:00:06+00:00,0.098
1745539206,2025-04-25T00:00:06+00:00,0.0935
1745625606,2025-04-26T00:00:06+00:00,0.084
1745712005,2025-04-27T00:00:05+00:00,0.082
1745798405,2025-04-28T00:00:05+00:00,0.0815
1745884805,2025-04-29T00:00:05+00:00,0.0725
1745971206,2025-04-30T00:00:06+00:00,0.06
1746057606,2025-05-01T00:00:06+00:00,0.068
1746144006,2025-05-02T00:00:06+00:00,0.067
1746230406,2025-05-03T00:00:06+00:00,0.067
1746316805,2025-05-04T00:00:05+00:00,0.0665
1746403205,2025-05-05T00:00:05+00:00,0.057
1746489606,2025-05-06T00:00:06+00:00,0.055
1746576005,2025-05-07T00:00:05+00:00,0.056
1746662406,2025-05-08T00:00:06+00:00,0.0615
1746748807,2025-05-09T00:00:07+00:00,0.0615
1746835206,2025-05-10T00:00:06+00:00,0.0555
1746921606,2025-05-11T00:00:06+00:00,0.0555
1747008006,2025-05-12T00:00:06+00:00,0.056
1747094406,2025-05-13T00:00:06+00:00,0.0315
1747180807,2025-05-14T00:00:07+00:00,0.0395
1747267207,2025-05-15T00:00:07+00:00,0.0365
1747353606,2025-05-16T00:00:06+00:00,0.0345
1747440007,2025-05-17T00:00:07+00:00,0.0355
1747526406,2025-05-18T00:00:06+00:00,0.038
1747612806,2025-05-19T00:00:06+00:00,0.031
1747699206,2025-05-20T00:00:06+00:00,0.042
1747785606,2025-05-21T00:00:06+00:00,0.0505
1747872007,2025-05-22T00:00:07+00:00,0.0375
1747958407,2025-05-23T00:00:07+00:00,0.033
1748044807,2025-05-24T00:00:07+00:00,0.032
1748131206,2025-05-25T00:00:06+00:00,0.031
1748217607,2025-05-26T00:00:07+00:00,0.028
1748304006,2025-05-27T00:00:06+00:00,0.0305
1748390406,2025-05-28T00:00:06+00:00,0.0235
1748476807,2025-05-29T00:00:07+00:00,0.0265
1748563207,2025-05-30T00:00:07+00:00,0.0295
1748649607,2025-05-31T00:00:07+00:00,0.0235
1748736007,2025-06-01T00:00:07+00:00,0.024
1748822406,2025-06-02T00:00:06+00:00,0.023
1748908807,2025-06-03T00:00:07+00:00,0.019
1748995206,2025-06-04T00:00:06+00:00,0.0165
1749081606,2025-06-05T00:00:06+00:00,0.015
1749168006,2025-06-06T00:00:06+00:00,0.012
1749254407,2025-06-07T00:00:07+00:00,0.0125
1749340807,2025-06-08T00:00:07+00:00,0.013
1749427207,2025-06-09T00:00:07+00:00,0.0135
1749513606,2025-06-10T00:00:06+00:00,0.0135
1749600007,2025-06-11T00:00:07+00:00,0.013
1749686407,2025-06-12T00:00:07+00:00,0.011
1749772807,2025-06-13T00:00:07+00:00,0.012
1749859208,2025-06-14T00:00:08+00:00,0.014
1749945608,2025-06-15T00:00:08+00:00,0.017
1750032007,2025-06-16T00:00:07+00:00,0.0145
1750118408,2025-06-17T00:00:08+00:00,0.017
1750204808,2025-06-18T00:00:08+00:00,0.0395
