timestamp_unix,datetime_utc,increases_25_july_2025_yes
1742428805,2025-03-20T00:00:05+00:00,0.0355
1742515205,2025-03-21T00:00:05+00:00,0.0375
1742601606,2025-03-22T00:00:06+00:00,0.0225
1742688006,2025-03-23T00:00:06+00:00,0.021
1742774405,2025-03-24T00:00:05+00:00,0.0215
1742860806,2025-03-25T00:00:06+00:00,0.0215
1742947205,2025-03-26T00:00:05+00:00,0.0215
1743033606,2025-03-27T00:00:06+00:00,0.019
1743120006,2025-03-28T00:00:06+00:00,0.017
1743206406,2025-03-29T00:00:06+00:00,0.018
1743292806,2025-03-30T00:00:06+00:00,0.019
1743379205,2025-03-31T00:00:05+00:00,0.0195
1743465605,2025-04-01T00:00:05+00:00,0.0195
1743552006,2025-04-02T00:00:06+00:00,0.0165
1743638405,2025-04-03T00:00:05+00:00,0.017
1743724805,2025-04-04T00:00:05+00:00,0.0135
1743811205,2025-04-05T00:00:05+00:00,0.016
1743897605,2025-04-06T00:00:05+00:00,0.0165
1743984006,2025-04-07T00:00:06+00:00,0.0195
1744070406,2025-04-08T00:00:06+00:00,0.038
1744156806,2025-04-09T00:00:06+00:00,0.0345
1744243205,2025-04-10T00:00:05+00:00,0.034
1744329605,2025-04-11T00:00:05+00:00,0.033
1744416006,2025-04-12T00:00:06+00:00,0.0345
1744502405,2025-04-13T00:00:05+00:00,0.035
1744588805,2025-04-14T00:00:05+00:00,0.038
1744675205,2025-04-15T00:00:05+00:00,0.0335
1744761605,2025-04-16T00:00:05+00:00,0.034
1744848006,2025-04-17T00:00:06+00:00,0.0335
1744934404,2025-04-18T00:00:04+00:00,0.0335
1745020806,2025-04-19T00:00:06+00:00,0.0335
1745107206,2025-04-20T00:00:06+00:00,0.0335
1745193606,2025-04-21T00:00:06+00:00,0.032
1745280006,2025-04-22T00:00:06+00:00,0.032
1745366407,2025-04-23T00:00:07+00:00,0.031
1745452806,2025-04-24T00:00:06+00:00,0.0305
1745539206,2025-04-25T00:00:06+00:00,0.029
1745625606,2025-04-26T00:00:06+00:00,0.025
