datetime_utc,decreases_25_july_2025_no,decreases_25_july_2025_yes,decreases_50_july_2025_no,decreases_50_july_2025_yes,increases_25_july_2025_no,increases_25_july_2025_yes,no_change_july_2025_no,no_change_july_2025_yes
2025-03-20,0.685,0.315,0.95,0.05,0.9645,0.0355,0.405,0.595
2025-03-21,0.675,0.325,0.945,0.055,0.9625,0.0375,0.415,0.585
2025-03-22,0.645,0.355,0.9615,0.0385,0.9775,0.0225,0.405,0.595
2025-03-23,0.645,0.355,0.9525,0.0475,0.979,0.021,0.415,0.585
2025-03-24,0.655,0.345,0.949,0.051,0.9785,0.0215,0.415,0.585
2025-03-25,0.655,0.345,0.946,0.054,0.9785,0.0215,0.41,0.59
2025-03-26,0.655,0.345,0.9465,0.0535,0.9785,0.0215,0.41,0.59
2025-03-27,0.645,0.355,0.9575,0.0425,0.981,0.019,0.415,0.585
2025-03-28,0.645,0.355,0.9465,0.0535,0.983,0.017,0.425,0.575
2025-03-29,0.625,0.375,0.96,0.04,0.982,0.018,0.425,0.575
2025-03-30,0.625,0.375,0.959,0.041,0.981,0.019,0.425,0.575
2025-03-31,0.615,0.385,0.959,0.041,0.9805,0.0195,0.435,0.565
2025-04-01,0.615,0.385,0.959,0.041,0.9805,0.0195,0.435,0.565
2025-04-02,0.505,0.495,0.954,0.046,0.9835,0.0165,0.585,0.415
2025-04-03,0.465,0.535,0.957,0.043,0.983,0.017,0.585,0.415
2025-04-04,0.42,0.58,0.928,0.072,0.9865,0.0135,0.66,0.34
2025-04-05,0.43,0.57,0.925,0.075,0.984,0.016,0.68,0.32
2025-04-06,0.43,0.57,0.9205,0.0795,0.9835,0.0165,0.675,0.325
2025-04-07,0.44,0.56,0.9215,0.0785,0.9805,0.0195,0.675,0.325
2025-04-08,0.455,0.545,0.917,0.083,0.962,0.038,0.71,0.29
2025-04-09,0.43,0.57,0.915,0.085,0.9655,0.0345,0.705,0.295
2025-04-10,0.48,0.52,0.926,0.074,0.966,0.034,0.695,0.305
2025-04-11,0.45,0.55,0.8885,0.1115,0.967,0.033,0.7,0.3
2025-04-12,0.455,0.545,0.885,0.115,0.9655,0.0345,0.7,0.3
2025-04-13,0.455,0.545,0.9005,0.0995,0.965,0.035,0.695,0.305
2025-04-14,0.455,0.545,0.897,0.103,0.962,0.038,0.705,0.295
2025-04-15,0.46,0.54,0.895,0.105,0.9665,0.0335,0.71,0.29
2025-04-16,0.465,0.535,0.904,0.096,0.966,0.034,0.705,0.295
2025-04-17,0.475,0.525,0.9025,0.0975,0.9665,0.0335,0.675,0.325
2025-04-18,0.475,0.525,0.9,0.1,0.9665,0.0335,0.67,0.33
2025-04-19,0.47,0.53,0.9,0.1,0.9665,0.0335,0.665,0.335
2025-04-20,0.47,0.53,0.902,0.098,0.9665,0.0335,0.655,0.345
2025-04-21,0.485,0.515,0.9025,0.0975,0.968,0.032,0.635,0.365
