timestamp_unix,datetime_utc,decreases_25_june_2025_yes
1738972804,2025-02-08T00:00:04+00:00,0.295
1739059206,2025-02-09T00:00:06+00:00,0.31
1739145605,2025-02-10T00:00:05+00:00,0.3
1739232004,2025-02-11T00:00:04+00:00,0.3
1739318404,2025-02-12T00:00:04+00:00,0.31
1739404804,2025-02-13T00:00:04+00:00,0.26
1739491205,2025-02-14T00:00:05+00:00,0.225
1739577604,2025-02-15T00:00:04+00:00,0.27
1739664004,2025-02-16T00:00:04+00:00,0.27
1739750404,2025-02-17T00:00:04+00:00,0.265
1739836804,2025-02-18T00:00:04+00:00,0.295
1739923204,2025-02-19T00:00:04+00:00,0.275
1740009604,2025-02-20T00:00:04+00:00,0.29
1740096005,2025-02-21T00:00:05+00:00,0.31
1740182405,2025-02-22T00:00:05+00:00,0.34
1740268804,2025-02-23T00:00:04+00:00,0.34
1740355204,2025-02-24T00:00:04+00:00,0.335
1740441604,2025-02-25T00:00:04+00:00,0.345
1740528005,2025-02-26T00:00:05+00:00,0.44
1740614405,2025-02-27T00:00:05+00:00,0.5
1740700805,2025-02-28T00:00:05+00:00,0.48
1740787205,2025-03-01T00:00:05+00:00,0.525
1740873605,2025-03-02T00:00:05+00:00,0.52
1740960005,2025-03-03T00:00:05+00:00,0.525
1741046405,2025-03-04T00:00:05+00:00,0.575
1741132804,2025-03-05T00:00:04+00:00,0.57
1741219205,2025-03-06T00:00:05+00:00,0.545
1741305605,2025-03-07T00:00:05+00:00,0.585
1741392005,2025-03-08T00:00:05+00:00,0.63
1741478405,2025-03-09T00:00:05+00:00,0.615
1741564804,2025-03-10T00:00:04+00:00,0.615
1741651205,2025-03-11T00:00:05+00:00,0.69
1741737605,2025-03-12T00:00:05+00:00,0.665
1741824006,2025-03-13T00:00:06+00:00,0.545
1741910405,2025-03-14T00:00:05+00:00,0.59
1741996804,2025-03-15T00:00:04+00:00,0.595
1742083204,2025-03-16T00:00:04+00:00,0.57
1742169604,2025-03-17T00:00:04+00:00,0.575
1742256005,2025-03-18T00:00:05+00:00,0.52
1742342405,2025-03-19T00:00:05+00:00,0.49
1742428805,2025-03-20T00:00:05+00:00,0.48
1742515205,2025-03-21T00:00:05+00:00,0.575
1742601606,2025-03-22T00:00:06+00:00,0.585
1742688006,2025-03-23T00:00:06+00:00,0.585
1742774405,2025-03-24T00:00:05+00:00,0.585
1742860806,2025-03-25T00:00:06+00:00,0.48
1742947205,2025-03-26T00:00:05+00:00,0.5
1743033606,2025-03-27T00:00:06+00:00,0.495
1743120006,2025-03-28T00:00:06+00:00,0.51
1743206406,2025-03-29T00:00:06+00:00,0.55
1743292806,2025-03-30T00:00:06+00:00,0.55
1743379205,2025-03-31T00:00:05+00:00,0.56
1743465605,2025-04-01T00:00:05+00:00,0.535
1743552006,2025-04-02T00:00:06+00:00,0.525
1743638405,2025-04-03T00:00:05+00:00,0.52
1743724805,2025-04-04T00:00:05+00:00,0.555
1743811205,2025-04-05T00:00:05+00:00,0.585
1743897605,2025-04-06T00:00:05+00:00,0.555
1743984006,2025-04-07T00:00:06+00:00,0.57
1744070406,2025-04-08T00:00:06+00:00,0.49
1744156806,2025-04-09T00:00:06+00:00,0.54
1744243205,2025-04-10T00:00:05+00:00,0.46
1744329605,2025-04-11T00:00:05+00:00,0.54
1744416006,2025-04-12T00:00:06+00:00,0.535
1744502405,2025-04-13T00:00:05+00:00,0.5
1744588805,2025-04-14T00:00:05+00:00,0.5
1744675205,2025-04-15T00:00:05+00:00,0.49
1744761605,2025-04-16T00:00:05+00:00,0.49
1744848006,2025-04-17T00:00:06+00:00,0.45
1744934404,2025-04-18T00:00:04+00:00,0.44
1745020806,2025-04-19T00:00:06+00:00,0.43
1745107206,2025-04-20T00:00:06+00:00,0.415
1745193606,2025-04-21T00:00:06+00:00,0.435
1745280006,2025-04-22T00:00:06+00:00,0.455
1745366407,2025-04-23T00:00:07+00:00,0.445
1745452806,2025-04-24T00:00:06+00:00,0.44
1745539206,2025-04-25T00:00:06+00:00,0.45
1745625606,2025-04-26T00:00:06+00:00,0.43
1745712005,2025-04-27T00:00:05+00:00,0.4
1745798405,2025-04-28T00:00:05+00:00,0.415
1745884805,2025-04-29T00:00:05+00:00,0.43
1745971206,2025-04-30T00:00:06+00:00,0.435
1746057606,2025-05-01T00:00:06+00:00,0.425
1746144006,2025-05-02T00:00:06+00:00,0.43
1746230406,2025-05-03T00:00:06+00:00,0.285
1746316805,2025-05-04T00:00:05+00:00,0.275
1746403205,2025-05-05T00:00:05+00:00,0.26
1746489606,2025-05-06T00:00:06+00:00,0.245
1746576005,2025-05-07T00:00:05+00:00,0.25
1746662406,2025-05-08T00:00:06+00:00,0.155
1746748807,2025-05-09T00:00:07+00:00,0.145
1746835206,2025-05-10T00:00:06+00:00,0.125
1746921606,2025-05-11T00:00:06+00:00,0.125
1747008006,2025-05-12T00:00:06+00:00,0.125
1747094406,2025-05-13T00:00:06+00:00,0.095
1747180807,2025-05-14T00:00:07+00:00,0.105
1747267207,2025-05-15T00:00:07+00:00,0.105
1747353606,2025-05-16T00:00:06+00:00,0.105
1747440007,2025-05-17T00:00:07+00:00,0.105
1747526406,2025-05-18T00:00:06+00:00,0.115
1747612806,2025-05-19T00:00:06+00:00,0.095
1747699206,2025-05-20T00:00:06+00:00,0.105
1747785606,2025-05-21T00:00:06+00:00,0.085
1747872007,2025-05-22T00:00:07+00:00,0.065
1747958407,2025-05-23T00:00:07+00:00,0.065
1748044807,2025-05-24T00:00:07+00:00,0.065
1748131206,2025-05-25T00:00:06+00:00,0.065
1748217607,2025-05-26T00:00:07+00:00,0.065
1748304006,2025-05-27T00:00:06+00:00,0.055
1748390406,2025-05-28T00:00:06+00:00,0.045
1748476807,2025-05-29T00:00:07+00:00,0.045
1748563207,2025-05-30T00:00:07+00:00,0.0415
1748649607,2025-05-31T00:00:07+00:00,0.0415
1748736007,2025-06-01T00:00:07+00:00,0.041
1748822406,2025-06-02T00:00:06+00:00,0.0315
1748908807,2025-06-03T00:00:07+00:00,0.0375
1748995206,2025-06-04T00:00:06+00:00,0.0235
1749081606,2025-06-05T00:00:06+00:00,0.0305
1749168006,2025-06-06T00:00:06+00:00,0.03
1749254407,2025-06-07T00:00:07+00:00,0.016
1749340807,2025-06-08T00:00:07+00:00,0.015
1749427207,2025-06-09T00:00:07+00:00,0.0205
1749513606,2025-06-10T00:00:06+00:00,0.0275
1749600007,2025-06-11T00:00:07+00:00,0.0215
1749686407,2025-06-12T00:00:07+00:00,0.0215
1749772807,2025-06-13T00:00:07+00:00,0.0235
1749859208,2025-06-14T00:00:08+00:00,0.0245
1749945608,2025-06-15T00:00:08+00:00,0.023
1750032007,2025-06-16T00:00:07+00:00,0.0215
1750118408,2025-06-17T00:00:08+00:00,0.0205
