timestamp_unix,datetime_utc,decreases_50_june_2025_no
1738972804,2025-02-08T00:00:04+00:00,0.9605
1739059206,2025-02-09T00:00:06+00:00,0.9605
1739145605,2025-02-10T00:00:05+00:00,0.962
1739232004,2025-02-11T00:00:04+00:00,0.9585
1739318404,2025-02-12T00:00:04+00:00,0.96
1739404804,2025-02-13T00:00:04+00:00,0.983
1739491205,2025-02-14T00:00:05+00:00,0.9865
1739577604,2025-02-15T00:00:04+00:00,0.978
1739664004,2025-02-16T00:00:04+00:00,0.9775
1739750404,2025-02-17T00:00:04+00:00,0.969
1739836804,2025-02-18T00:00:04+00:00,0.9755
1739923204,2025-02-19T00:00:04+00:00,0.983
1740009604,2025-02-20T00:00:04+00:00,0.9805
1740096005,2025-02-21T00:00:05+00:00,0.978
1740182405,2025-02-22T00:00:05+00:00,0.9785
1740268804,2025-02-23T00:00:04+00:00,0.9795
1740355204,2025-02-24T00:00:04+00:00,0.9735
1740441604,2025-02-25T00:00:04+00:00,0.979
1740528005,2025-02-26T00:00:05+00:00,0.9725
1740614405,2025-02-27T00:00:05+00:00,0.969
1740700805,2025-02-28T00:00:05+00:00,0.9725
1740787205,2025-03-01T00:00:05+00:00,0.9725
1740873605,2025-03-02T00:00:05+00:00,0.9725
1740960005,2025-03-03T00:00:05+00:00,0.972
1741046405,2025-03-04T00:00:05+00:00,0.9715
1741132804,2025-03-05T00:00:04+00:00,0.9715
1741219205,2025-03-06T00:00:05+00:00,0.968
1741305605,2025-03-07T00:00:05+00:00,0.971
1741392005,2025-03-08T00:00:05+00:00,0.965
1741478405,2025-03-09T00:00:05+00:00,0.962
1741564804,2025-03-10T00:00:04+00:00,0.954
1741651205,2025-03-11T00:00:05+00:00,0.954
1741737605,2025-03-12T00:00:05+00:00,0.952
1741824006,2025-03-13T00:00:06+00:00,0.962
1741910405,2025-03-14T00:00:05+00:00,0.9585
1741996804,2025-03-15T00:00:04+00:00,0.9535
1742083204,2025-03-16T00:00:04+00:00,0.951
1742169604,2025-03-17T00:00:04+00:00,0.953
1742256005,2025-03-18T00:00:05+00:00,0.954
1742342405,2025-03-19T00:00:05+00:00,0.9425
1742428805,2025-03-20T00:00:05+00:00,0.958
1742515205,2025-03-21T00:00:05+00:00,0.9565
1742601606,2025-03-22T00:00:06+00:00,0.965
1742688006,2025-03-23T00:00:06+00:00,0.9665
1742774405,2025-03-24T00:00:05+00:00,0.964
1742860806,2025-03-25T00:00:06+00:00,0.9565
1742947205,2025-03-26T00:00:05+00:00,0.956
1743033606,2025-03-27T00:00:06+00:00,0.956
1743120006,2025-03-28T00:00:06+00:00,0.956
1743206406,2025-03-29T00:00:06+00:00,0.9585
1743292806,2025-03-30T00:00:06+00:00,0.9585
1743379205,2025-03-31T00:00:05+00:00,0.9575
