datetime_utc,decreases_25_june_2025_no,decreases_25_june_2025_yes,decreases_50_june_2025_no,decreases_50_june_2025_yes,increases_25_june_2025_no,increases_25_june_2025_yes,no_change_june_2025_no,no_change_june_2025_yes
2025-02-08,0.705,0.295,0.9605,0.0395,0.9645,0.0355,0.365,0.635
2025-02-09,0.69,0.31,0.9605,0.0395,0.9675,0.0325,0.365,0.635
2025-02-10,0.7,0.3,0.962,0.038,0.9665,0.0335,0.365,0.635
2025-02-11,0.7,0.3,0.9585,0.0415,0.967,0.033,0.36,0.64
2025-02-12,0.69,0.31,0.96,0.04,0.9715,0.0285,0.365,0.635
2025-02-13,0.74,0.26,0.983,0.017,0.971,0.029,0.315,0.685
2025-02-14,0.775,0.225,0.9865,0.0135,0.964,0.036,0.27,0.73
2025-02-15,0.73,0.27,0.978,0.022,0.9695,0.0305,0.31,0.69
2025-02-16,0.73,0.27,0.9775,0.0225,0.9735,0.0265,0.31,0.69
2025-02-17,0.735,0.265,0.969,0.031,0.9715,0.0285,0.315,0.685
2025-02-18,0.705,0.295,0.9755,0.0245,0.9745,0.0255,0.335,0.665
2025-02-19,0.725,0.275,0.983,0.017,0.9785,0.0215,0.32,0.68
2025-02-20,0.71,0.29,0.9805,0.0195,0.972,0.028,0.335,0.665
2025-02-21,0.69,0.31,0.978,0.022,0.9775,0.0225,0.355,0.645
2025-02-22,0.66,0.34,0.9785,0.0215,0.969,0.031,0.405,0.595
2025-02-23,0.66,0.34,0.9795,0.0205,0.97,0.03,0.385,0.615
2025-02-24,0.665,0.335,0.9735,0.0265,0.9705,0.0295,0.385,0.615
2025-02-25,0.655,0.345,0.979,0.021,0.9745,0.0255,0.395,0.605
2025-02-26,0.56,0.44,0.9725,0.0275,0.9775,0.0225,0.5,0.5
2025-02-27,0.5,0.5,0.969,0.031,0.9805,0.0195,0.545,0.455
2025-02-28,0.52,0.48,0.9725,0.0275,0.9805,0.0195,0.55,0.45
2025-03-01,0.475,0.525,0.9725,0.0275,0.9805,0.0195,0.595,0.405
2025-03-02,0.48,0.52,0.9725,0.0275,0.98,0.02,0.57,0.43
2025-03-03,0.475,0.525,0.972,0.028,0.9795,0.0205,0.575,0.425
2025-03-04,0.425,0.575,0.9715,0.0285,0.982,0.018,0.66,0.34
2025-03-05,0.43,0.57,0.9715,0.0285,0.9815,0.0185,0.615,0.385
2025-03-06,0.455,0.545,0.968,0.032,0.972,0.028,0.635,0.365
2025-03-07,0.415,0.585,0.971,0.029,0.9775,0.0225,0.635,0.365
2025-03-08,0.37,0.63,0.965,0.035,0.9775,0.0225,0.685,0.315
2025-03-09,0.385,0.615,0.962,0.038,0.978,0.022,0.69,0.31
2025-03-10,0.385,0.615,0.954,0.046,0.977,0.023,0.685,0.315
2025-03-11,0.31,0.69,0.954,0.046,0.978,0.022,0.775,0.225
2025-03-12,0.335,0.665,0.952,0.048,0.979,0.021,0.745,0.255
2025-03-13,0.455,0.545,0.962,0.038,0.973,0.027,0.625,0.375
2025-03-14,0.41,0.59,0.9585,0.0415,0.977,0.023,0.655,0.345
2025-03-15,0.405,0.595,0.9535,0.0465,0.974,0.026,0.68,0.32
2025-03-16,0.43,0.57,0.951,0.049,0.976,0.024,0.685,0.315
2025-03-17,0.425,0.575,0.953,0.047,0.976,0.024,0.685,0.315
2025-03-18,0.48,0.52,0.954,0.046,0.9755,0.0245,0.625,0.375
2025-03-19,0.51,0.49,0.9425,0.0575,0.9735,0.0265,0.605,0.395
2025-03-20,0.52,0.48,0.958,0.042,0.976,0.024,0.545,0.455
2025-03-21,0.425,0.575,0.9565,0.0435,0.9785,0.0215,0.635,0.365
2025-03-22,0.415,0.585,0.965,0.035,0.9845,0.0155,0.655,0.345
2025-03-23,0.415,0.585,0.9665,0.0335,0.9855,0.0145,0.655,0.345
2025-03-24,0.415,0.585,0.964,0.036,0.9855,0.0145,0.655,0.345
2025-03-25,0.52,0.48,0.9565,0.0435,0.9835,0.0165,0.595,0.405
2025-03-26,0.5,0.5,0.956,0.044,0.9885,0.0115,0.575,0.425
2025-03-27,0.505,0.495,0.956,0.044,0.9895,0.0105,0.585,0.415
2025-03-28,0.49,0.51,0.956,0.044,0.9895,0.0105,0.585,0.415
2025-03-29,0.45,0.55,0.9585,0.0415,0.9915,0.0085,0.61,0.39
2025-03-30,0.45,0.55,0.9585,0.0415,0.9905,0.0095,0.605,0.395
2025-03-31,0.44,0.56,0.9575,0.0425,0.9905,0.0095,0.605,0.395
2025-04-01,0.465,0.535,0.969,0.031,0.9925,0.0075,0.57,0.43
2025-04-02,0.475,0.525,0.9705,0.0295,0.9925,0.0075,0.575,0.425
2025-04-03,0.48,0.52,0.9685,0.0315,0.993,0.007,0.57,0.43
2025-04-04,0.445,0.555,0.9505,0.0495,0.994,0.006,0.61,0.39
2025-04-05,0.415,0.585,0.9215,0.0785,0.9925,0.0075,0.67,0.33
2025-04-06,0.445,0.555,0.9325,0.0675,0.9935,0.0065,0.625,0.375
2025-04-07,0.43,0.57,0.9335,0.0665,0.994,0.006,0.67,0.33
2025-04-08,0.51,0.49,0.876,0.124,0.9915,0.0085,0.66,0.34
2025-04-09,0.46,0.54,0.881,0.119,0.991,0.009,0.66,0.34
2025-04-10,0.54,0.46,0.919,0.081,0.982,0.018,0.575,0.425
2025-04-11,0.46,0.54,0.917,0.083,0.987,0.013,0.64,0.36
