timestamp_unix,datetime_utc,no_change_march_2025_no
1734566403,2024-12-19T00:00:03+00:00,0.405
1734652804,2024-12-20T00:00:04+00:00,0.37
1734739203,2024-12-21T00:00:03+00:00,0.395
1734825604,2024-12-22T00:00:04+00:00,0.405
1734912004,2024-12-23T00:00:04+00:00,0.405
1734998403,2024-12-24T00:00:03+00:00,0.385
1735084803,2024-12-25T00:00:03+00:00,0.385
1735171204,2024-12-26T00:00:04+00:00,0.385
1735257603,2024-12-27T00:00:03+00:00,0.385
1735344003,2024-12-28T00:00:03+00:00,0.405
1735430403,2024-12-29T00:00:03+00:00,0.405
1735516803,2024-12-30T00:00:03+00:00,0.405
1735603204,2024-12-31T00:00:04+00:00,0.405
1735689604,2025-01-01T00:00:04+00:00,0.405
1735776003,2025-01-02T00:00:03+00:00,0.405
1735862404,2025-01-03T00:00:04+00:00,0.415
1735948803,2025-01-04T00:00:03+00:00,0.41
1736035203,2025-01-05T00:00:03+00:00,0.405
1736121603,2025-01-06T00:00:03+00:00,0.405
1736208004,2025-01-07T00:00:04+00:00,0.385
1736294403,2025-01-08T00:00:03+00:00,0.37
1736380803,2025-01-09T00:00:03+00:00,0.385
1736467204,2025-01-10T00:00:04+00:00,0.385
1736553604,2025-01-11T00:00:04+00:00,0.26
1736640004,2025-01-12T00:00:04+00:00,0.265
1736726404,2025-01-13T00:00:04+00:00,0.26
1736812803,2025-01-14T00:00:03+00:00,0.22
1736899203,2025-01-15T00:00:03+00:00,0.245
1736985604,2025-01-16T00:00:04+00:00,0.28
1737072004,2025-01-17T00:00:04+00:00,0.285
1737158404,2025-01-18T00:00:04+00:00,0.275
1737244804,2025-01-19T00:00:04+00:00,0.285
1737331204,2025-01-20T00:00:04+00:00,0.27
1737417603,2025-01-21T00:00:03+00:00,0.265
1737504003,2025-01-22T00:00:03+00:00,0.23
1737590404,2025-01-23T00:00:04+00:00,0.235
1737676803,2025-01-24T00:00:03+00:00,0.28
1737763205,2025-01-25T00:00:05+00:00,0.275
1737849604,2025-01-26T00:00:04+00:00,0.28
1737936004,2025-01-27T00:00:04+00:00,0.28
1738022404,2025-01-28T00:00:04+00:00,0.315
1738108804,2025-01-29T00:00:04+00:00,0.305
1738195205,2025-01-30T00:00:05+00:00,0.215
1738281604,2025-01-31T00:00:04+00:00,0.175
1738368005,2025-02-01T00:00:05+00:00,0.155
1738454404,2025-02-02T00:00:04+00:00,0.135
1738540805,2025-02-03T00:00:05+00:00,0.135
1738627204,2025-02-04T00:00:04+00:00,0.155
1738713604,2025-02-05T00:00:04+00:00,0.155
1738800005,2025-02-06T00:00:05+00:00,0.155
1738886404,2025-02-07T00:00:04+00:00,0.135
1738972804,2025-02-08T00:00:04+00:00,0.075
1739059206,2025-02-09T00:00:06+00:00,0.085
1739145605,2025-02-10T00:00:05+00:00,0.075
1739232004,2025-02-11T00:00:04+00:00,0.075
1739318404,2025-02-12T00:00:04+00:00,0.065
1739404804,2025-02-13T00:00:04+00:00,0.026
1739491205,2025-02-14T00:00:05+00:00,0.0305
1739577604,2025-02-15T00:00:04+00:00,0.0305
1739664004,2025-02-16T00:00:04+00:00,0.0295
1739750404,2025-02-17T00:00:04+00:00,0.0365
1739836804,2025-02-18T00:00:04+00:00,0.0285
1739923204,2025-02-19T00:00:04+00:00,0.037
1740009604,2025-02-20T00:00:04+00:00,0.03
1740096005,2025-02-21T00:00:05+00:00,0.0335
1740182405,2025-02-22T00:00:05+00:00,0.0435
1740268804,2025-02-23T00:00:04+00:00,0.041
1740355204,2025-02-24T00:00:04+00:00,0.0395
1740441604,2025-02-25T00:00:04+00:00,0.0365
1740528005,2025-02-26T00:00:05+00:00,0.0455
1740614405,2025-02-27T00:00:05+00:00,0.0415
1740700805,2025-02-28T00:00:05+00:00,0.0475
1740787205,2025-03-01T00:00:05+00:00,0.0485
1740873605,2025-03-02T00:00:05+00:00,0.048
1740960005,2025-03-03T00:00:05+00:00,0.061
1741046405,2025-03-04T00:00:05+00:00,0.0735
1741132804,2025-03-05T00:00:04+00:00,0.062
1741219205,2025-03-06T00:00:05+00:00,0.0655
1741305605,2025-03-07T00:00:05+00:00,0.0875
1741392005,2025-03-08T00:00:05+00:00,0.03
1741478405,2025-03-09T00:00:05+00:00,0.03
1741564804,2025-03-10T00:00:04+00:00,0.029
1741651205,2025-03-11T00:00:05+00:00,0.037
1741737605,2025-03-12T00:00:05+00:00,0.0345
1741824006,2025-03-13T00:00:06+00:00,0.0225
1741910405,2025-03-14T00:00:05+00:00,0.0155
1741996804,2025-03-15T00:00:04+00:00,0.0135
1742083204,2025-03-16T00:00:04+00:00,0.014
1742169604,2025-03-17T00:00:04+00:00,0.0085
1742256005,2025-03-18T00:00:05+00:00,0.0085
1742342405,2025-03-19T00:00:05+00:00,0.008
