timestamp_unix,datetime_utc,no_change_march_2025_yes
1734566403,2024-12-19T00:00:03+00:00,0.595
1734652804,2024-12-20T00:00:04+00:00,0.63
1734739203,2024-12-21T00:00:03+00:00,0.605
1734825604,2024-12-22T00:00:04+00:00,0.595
1734912004,2024-12-23T00:00:04+00:00,0.595
1734998403,2024-12-24T00:00:03+00:00,0.615
1735084803,2024-12-25T00:00:03+00:00,0.615
1735171204,2024-12-26T00:00:04+00:00,0.615
1735257603,2024-12-27T00:00:03+00:00,0.615
1735344003,2024-12-28T00:00:03+00:00,0.595
1735430403,2024-12-29T00:00:03+00:00,0.595
1735516803,2024-12-30T00:00:03+00:00,0.595
1735603204,2024-12-31T00:00:04+00:00,0.595
1735689604,2025-01-01T00:00:04+00:00,0.595
1735776003,2025-01-02T00:00:03+00:00,0.595
1735862404,2025-01-03T00:00:04+00:00,0.585
1735948803,2025-01-04T00:00:03+00:00,0.59
1736035203,2025-01-05T00:00:03+00:00,0.595
1736121603,2025-01-06T00:00:03+00:00,0.595
1736208004,2025-01-07T00:00:04+00:00,0.615
1736294403,2025-01-08T00:00:03+00:00,0.63
1736380803,2025-01-09T00:00:03+00:00,0.615
1736467204,2025-01-10T00:00:04+00:00,0.615
1736553604,2025-01-11T00:00:04+00:00,0.74
1736640004,2025-01-12T00:00:04+00:00,0.735
1736726404,2025-01-13T00:00:04+00:00,0.74
1736812803,2025-01-14T00:00:03+00:00,0.78
1736899203,2025-01-15T00:00:03+00:00,0.755
1736985604,2025-01-16T00:00:04+00:00,0.72
1737072004,2025-01-17T00:00:04+00:00,0.715
1737158404,2025-01-18T00:00:04+00:00,0.725
1737244804,2025-01-19T00:00:04+00:00,0.715
1737331204,2025-01-20T00:00:04+00:00,0.73
1737417603,2025-01-21T00:00:03+00:00,0.735
1737504003,2025-01-22T00:00:03+00:00,0.77
1737590404,2025-01-23T00:00:04+00:00,0.765
1737676803,2025-01-24T00:00:03+00:00,0.72
1737763205,2025-01-25T00:00:05+00:00,0.725
1737849604,2025-01-26T00:00:04+00:00,0.72
1737936004,2025-01-27T00:00:04+00:00,0.72
1738022404,2025-01-28T00:00:04+00:00,0.685
1738108804,2025-01-29T00:00:04+00:00,0.695
1738195205,2025-01-30T00:00:05+00:00,0.785
1738281604,2025-01-31T00:00:04+00:00,0.825
1738368005,2025-02-01T00:00:05+00:00,0.845
1738454404,2025-02-02T00:00:04+00:00,0.865
1738540805,2025-02-03T00:00:05+00:00,0.865
1738627204,2025-02-04T00:00:04+00:00,0.845
1738713604,2025-02-05T00:00:04+00:00,0.845
1738800005,2025-02-06T00:00:05+00:00,0.845
1738886404,2025-02-07T00:00:04+00:00,0.865
1738972804,2025-02-08T00:00:04+00:00,0.925
1739059206,2025-02-09T00:00:06+00:00,0.915
1739145605,2025-02-10T00:00:05+00:00,0.925
1739232004,2025-02-11T00:00:04+00:00,0.925
1739318404,2025-02-12T00:00:04+00:00,0.935
1739404804,2025-02-13T00:00:04+00:00,0.974
1739491205,2025-02-14T00:00:05+00:00,0.9695
1739577604,2025-02-15T00:00:04+00:00,0.9695
1739664004,2025-02-16T00:00:04+00:00,0.9705
1739750404,2025-02-17T00:00:04+00:00,0.9635
1739836804,2025-02-18T00:00:04+00:00,0.9715
1739923204,2025-02-19T00:00:04+00:00,0.963
1740009604,2025-02-20T00:00:04+00:00,0.97
1740096005,2025-02-21T00:00:05+00:00,0.9665
1740182405,2025-02-22T00:00:05+00:00,0.9565
1740268804,2025-02-23T00:00:04+00:00,0.959
1740355204,2025-02-24T00:00:04+00:00,0.9605
1740441604,2025-02-25T00:00:04+00:00,0.9635
1740528005,2025-02-26T00:00:05+00:00,0.9545
1740614405,2025-02-27T00:00:05+00:00,0.9585
1740700805,2025-02-28T00:00:05+00:00,0.9525
1740787205,2025-03-01T00:00:05+00:00,0.9515
1740873605,2025-03-02T00:00:05+00:00,0.952
1740960005,2025-03-03T00:00:05+00:00,0.939
1741046405,2025-03-04T00:00:05+00:00,0.9265
1741132804,2025-03-05T00:00:04+00:00,0.938
1741219205,2025-03-06T00:00:05+00:00,0.9345
1741305605,2025-03-07T00:00:05+00:00,0.9125
1741392005,2025-03-08T00:00:05+00:00,0.97
1741478405,2025-03-09T00:00:05+00:00,0.97
1741564804,2025-03-10T00:00:04+00:00,0.971
1741651205,2025-03-11T00:00:05+00:00,0.963
1741737605,2025-03-12T00:00:05+00:00,0.9655
1741824006,2025-03-13T00:00:06+00:00,0.9775
1741910405,2025-03-14T00:00:05+00:00,0.9845
1741996804,2025-03-15T00:00:04+00:00,0.9865
1742083204,2025-03-16T00:00:04+00:00,0.986
1742169604,2025-03-17T00:00:04+00:00,0.9915
1742256005,2025-03-18T00:00:05+00:00,0.9915
1742342405,2025-03-19T00:00:05+00:00,0.992
