datetime_utc,decreases_25_march_2025_no,decreases_25_march_2025_yes,decreases_50_march_2025_no,decreases_50_march_2025_yes,increases_25_march_2025_no,increases_25_march_2025_yes,no_change_march_2025_no,no_change_march_2025_yes
2024-12-19,0.655,0.345,0.955,0.045,0.9705,0.0295,0.405,0.595
2024-12-20,0.685,0.315,0.95,0.05,0.9855,0.0145,0.37,0.63
2024-12-21,0.675,0.325,0.9565,0.0435,0.979,0.021,0.395,0.605
2024-12-22,0.655,0.345,0.9555,0.0445,0.9805,0.0195,0.405,0.595
2024-12-23,0.645,0.355,0.963,0.037,0.9815,0.0185,0.405,0.595
2024-12-24,0.665,0.335,0.964,0.036,0.9815,0.0185,0.385,0.615
2024-12-25,0.655,0.345,0.966,0.034,0.9835,0.0165,0.385,0.615
2024-12-26,0.655,0.345,0.968,0.032,0.9825,0.0175,0.385,0.615
2024-12-27,0.665,0.335,0.9645,0.0355,0.9855,0.0145,0.385,0.615
2024-12-28,0.65,0.35,0.9725,0.0275,0.9895,0.0105,0.405,0.595
2024-12-29,0.645,0.355,0.974,0.026,0.9915,0.0085,0.405,0.595
2024-12-30,0.645,0.355,0.974,0.026,0.9915,0.0085,0.405,0.595
2024-12-31,0.63,0.37,0.974,0.026,0.9915,0.0085,0.405,0.595
2025-01-01,0.625,0.375,0.9735,0.0265,0.9915,0.0085,0.405,0.595
2025-01-02,0.625,0.375,0.9745,0.0255,0.9915,0.0085,0.405,0.595
2025-01-03,0.615,0.385,0.9765,0.0235,0.991,0.009,0.415,0.585
2025-01-04,0.645,0.355,0.9775,0.0225,0.991,0.009,0.41,0.59
2025-01-05,0.645,0.355,0.9775,0.0225,0.9905,0.0095,0.405,0.595
2025-01-06,0.645,0.355,0.9775,0.0225,0.99,0.01,0.405,0.595
2025-01-07,0.68,0.32,0.9775,0.0225,0.9905,0.0095,0.385,0.615
2025-01-08,0.69,0.31,0.978,0.022,0.9885,0.0115,0.37,0.63
2025-01-09,0.665,0.335,0.9815,0.0185,0.9895,0.0105,0.385,0.615
2025-01-10,0.655,0.345,0.984,0.016,0.989,0.011,0.385,0.615
2025-01-11,0.775,0.225,0.9885,0.0115,0.9835,0.0165,0.26,0.74
2025-01-12,0.775,0.225,0.9905,0.0095,0.9815,0.0185,0.265,0.735
2025-01-13,0.785,0.215,0.979,0.021,0.9765,0.0235,0.26,0.74
2025-01-14,0.825,0.175,0.9795,0.0205,0.9765,0.0235,0.22,0.78
2025-01-15,0.825,0.175,0.978,0.022,0.9735,0.0265,0.245,0.755
2025-01-16,0.75,0.25,0.9785,0.0215,0.9875,0.0125,0.28,0.72
2025-01-17,0.745,0.255,0.978,0.022,0.991,0.009,0.285,0.715
2025-01-18,0.775,0.225,0.9785,0.0215,0.988,0.012,0.275,0.725
2025-01-19,0.775,0.225,0.977,0.023,0.989,0.011,0.285,0.715
2025-01-20,0.775,0.225,0.9775,0.0225,0.9855,0.0145,0.27,0.73
2025-01-21,0.765,0.235,0.977,0.023,0.986,0.014,0.265,0.735
2025-01-22,0.795,0.205,0.9765,0.0235,0.986,0.014,0.23,0.77
2025-01-23,0.795,0.205,0.9725,0.0275,0.9875,0.0125,0.235,0.765
2025-01-24,0.75,0.25,0.974,0.026,0.9895,0.0105,0.28,0.72
2025-01-25,0.755,0.245,0.976,0.024,0.989,0.011,0.275,0.725
