timestamp_unix,datetime_utc,decreases_25_may_2025_no
1737676803,2025-01-24T00:00:03+00:00,0.65
1737763205,2025-01-25T00:00:05+00:00,0.655
1737849604,2025-01-26T00:00:04+00:00,0.655
1737936004,2025-01-27T00:00:04+00:00,0.655
1738022404,2025-01-28T00:00:04+00:00,0.675
1738108804,2025-01-29T00:00:04+00:00,0.695
1738195205,2025-01-30T00:00:05+00:00,0.75
1738281604,2025-01-31T00:00:04+00:00,0.75
1738368005,2025-02-01T00:00:05+00:00,0.755
1738454404,2025-02-02T00:00:04+00:00,0.755
1738540805,2025-02-03T00:00:05+00:00,0.77
1738627204,2025-02-04T00:00:04+00:00,0.77
1738713604,2025-02-05T00:00:04+00:00,0.775
1738800005,2025-02-06T00:00:05+00:00,0.745
1738886404,2025-02-07T00:00:04+00:00,0.755
1738972804,2025-02-08T00:00:04+00:00,0.805
1739059206,2025-02-09T00:00:06+00:00,0.825
1739145605,2025-02-10T00:00:05+00:00,0.825
1739232004,2025-02-11T00:00:04+00:00,0.825
1739318404,2025-02-12T00:00:04+00:00,0.855
1739404804,2025-02-13T00:00:04+00:00,0.895
1739491205,2025-02-14T00:00:05+00:00,0.875
1739577604,2025-02-15T00:00:04+00:00,0.855
1739664004,2025-02-16T00:00:04+00:00,0.865
1739750404,2025-02-17T00:00:04+00:00,0.855
1739836804,2025-02-18T00:00:04+00:00,0.865
1739923204,2025-02-19T00:00:04+00:00,0.875
1740009604,2025-02-20T00:00:04+00:00,0.895
1740096005,2025-02-21T00:00:05+00:00,0.855
1740182405,2025-02-22T00:00:05+00:00,0.77
1740268804,2025-02-23T00:00:04+00:00,0.79
1740355204,2025-02-24T00:00:04+00:00,0.79
1740441604,2025-02-25T00:00:04+00:00,0.8
1740528005,2025-02-26T00:00:05+00:00,0.76
1740614405,2025-02-27T00:00:05+00:00,0.79
1740700805,2025-02-28T00:00:05+00:00,0.775
1740787205,2025-03-01T00:00:05+00:00,0.73
1740873605,2025-03-02T00:00:05+00:00,0.73
1740960005,2025-03-03T00:00:05+00:00,0.75
1741046405,2025-03-04T00:00:05+00:00,0.61
1741132804,2025-03-05T00:00:04+00:00,0.615
1741219205,2025-03-06T00:00:05+00:00,0.625
1741305605,2025-03-07T00:00:05+00:00,0.57
1741392005,2025-03-08T00:00:05+00:00,0.67
1741478405,2025-03-09T00:00:05+00:00,0.65
1741564804,2025-03-10T00:00:04+00:00,0.645
1741651205,2025-03-11T00:00:05+00:00,0.485
1741737605,2025-03-12T00:00:05+00:00,0.625
1741824006,2025-03-13T00:00:06+00:00,0.69
1741910405,2025-03-14T00:00:05+00:00,0.655
1741996804,2025-03-15T00:00:04+00:00,0.705
1742083204,2025-03-16T00:00:04+00:00,0.72
1742169604,2025-03-17T00:00:04+00:00,0.715
1742256005,2025-03-18T00:00:05+00:00,0.81
1742342405,2025-03-19T00:00:05+00:00,0.795
1742428805,2025-03-20T00:00:05+00:00,0.825
1742515205,2025-03-21T00:00:05+00:00,0.845
1742601606,2025-03-22T00:00:06+00:00,0.835
1742688006,2025-03-23T00:00:06+00:00,0.845
1742774405,2025-03-24T00:00:05+00:00,0.855
1742860806,2025-03-25T00:00:06+00:00,0.885
1742947205,2025-03-26T00:00:05+00:00,0.895
1743033606,2025-03-27T00:00:06+00:00,0.875
1743120006,2025-03-28T00:00:06+00:00,0.865
1743206406,2025-03-29T00:00:06+00:00,0.855
1743292806,2025-03-30T00:00:06+00:00,0.85
1743379205,2025-03-31T00:00:05+00:00,0.845
1743465605,2025-04-01T00:00:05+00:00,0.865
1743552006,2025-04-02T00:00:06+00:00,0.86
1743638405,2025-04-03T00:00:05+00:00,0.785
1743724805,2025-04-04T00:00:05+00:00,0.775
1743811205,2025-04-05T00:00:05+00:00,0.765
1743897605,2025-04-06T00:00:05+00:00,0.805
1743984006,2025-04-07T00:00:06+00:00,0.645
1744070406,2025-04-08T00:00:06+00:00,0.765
1744156806,2025-04-09T00:00:06+00:00,0.715
1744243205,2025-04-10T00:00:05+00:00,0.885
1744329605,2025-04-11T00:00:05+00:00,0.805
1744416006,2025-04-12T00:00:06+00:00,0.81
1744502405,2025-04-13T00:00:05+00:00,0.84
1744588805,2025-04-14T00:00:05+00:00,0.835
1744675205,2025-04-15T00:00:05+00:00,0.855
1744761605,2025-04-16T00:00:05+00:00,0.865
1744848006,2025-04-17T00:00:06+00:00,0.905
1744934404,2025-04-18T00:00:04+00:00,0.91
1745020806,2025-04-19T00:00:06+00:00,0.915
1745107206,2025-04-20T00:00:06+00:00,0.925
1745193606,2025-04-21T00:00:06+00:00,0.925
1745280006,2025-04-22T00:00:06+00:00,0.915
1745366407,2025-04-23T00:00:07+00:00,0.93
1745452806,2025-04-24T00:00:06+00:00,0.925
1745539206,2025-04-25T00:00:06+00:00,0.925
1745625606,2025-04-26T00:00:06+00:00,0.915
1745712005,2025-04-27T00:00:05+00:00,0.895
1745798405,2025-04-28T00:00:05+00:00,0.905
1745884805,2025-04-29T00:00:05+00:00,0.915
1745971206,2025-04-30T00:00:06+00:00,0.905
1746057606,2025-05-01T00:00:06+00:00,0.935
1746144006,2025-05-02T00:00:06+00:00,0.9555
1746230406,2025-05-03T00:00:06+00:00,0.991
1746316805,2025-05-04T00:00:05+00:00,0.983
1746403205,2025-05-05T00:00:05+00:00,0.9785
1746489606,2025-05-06T00:00:06+00:00,0.9805
1746576005,2025-05-07T00:00:05+00:00,0.979
