datetime_utc,decreases_25_may_2025_no,decreases_25_may_2025_yes,decreases_50_may_2025_no,decreases_50_may_2025_yes,increases_25_may_2025_no,increases_25_may_2025_yes,no_change_may_2025_no,no_change_may_2025_yes
2025-01-24,0.65,0.35,0.945,0.055,0.97,0.03,0.43,0.57
2025-01-25,0.655,0.345,0.9625,0.0375,0.983,0.017,0.395,0.605
2025-01-26,0.655,0.345,0.9565,0.0435,0.983,0.017,0.395,0.605
2025-01-27,0.655,0.345,0.9635,0.0365,0.9735,0.0265,0.395,0.605
2025-01-28,0.675,0.325,0.9665,0.0335,0.9785,0.0215,0.37,0.63
2025-01-29,0.695,0.305,0.9755,0.0245,0.9825,0.0175,0.345,0.655
2025-01-30,0.75,0.25,0.9735,0.0265,0.984,0.016,0.285,0.715
2025-01-31,0.75,0.25,0.972,0.028,0.9825,0.0175,0.29,0.71
2025-02-01,0.755,0.245,0.969,0.031,0.9825,0.0175,0.285,0.715
2025-02-02,0.755,0.245,0.9705,0.0295,0.982,0.018,0.285,0.715
2025-02-03,0.77,0.23,0.965,0.035,0.981,0.019,0.285,0.715
2025-02-04,0.77,0.23,0.9665,0.0335,0.9735,0.0265,0.29,0.71
2025-02-05,0.775,0.225,0.968,0.032,0.978,0.022,0.305,0.695
2025-02-06,0.745,0.255,0.9675,0.0325,0.978,0.022,0.315,0.685
2025-02-07,0.755,0.245,0.972,0.028,0.981,0.019,0.285,0.715
2025-02-08,0.805,0.195,0.9825,0.0175,0.985,0.015,0.23,0.77
2025-02-09,0.825,0.175,0.982,0.018,0.978,0.022,0.225,0.775
2025-02-10,0.825,0.175,0.9805,0.0195,0.978,0.022,0.225,0.775
2025-02-11,0.825,0.175,0.981,0.019,0.976,0.024,0.225,0.775
2025-02-12,0.855,0.145,0.9825,0.0175,0.978,0.022,0.175,0.825
2025-02-13,0.895,0.105,0.984,0.016,0.981,0.019,0.13,0.87
2025-02-14,0.875,0.125,0.9865,0.0135,0.9765,0.0235,0.155,0.845
2025-02-15,0.855,0.145,0.9885,0.0115,0.98,0.02,0.18,0.82
2025-02-16,0.865,0.135,0.989,0.011,0.9825,0.0175,0.16,0.84
2025-02-17,0.855,0.145,0.989,0.011,0.982,0.018,0.16,0.84
2025-02-18,0.865,0.135,0.99,0.01,0.9845,0.0155,0.155,0.845
2025-02-19,0.875,0.125,0.9915,0.0085,0.983,0.017,0.145,0.855
2025-02-20,0.895,0.105,0.992,0.008,0.984,0.016,0.125,0.875
2025-02-21,0.855,0.145,0.9885,0.0115,0.985,0.015,0.17,0.83
2025-02-22,0.77,0.23,0.9915,0.0085,0.984,0.016,0.25,0.75
2025-02-23,0.79,0.21,0.9925,0.0075,0.9845,0.0155,0.23,0.77
2025-02-24,0.79,0.21,0.992,0.008,0.985,0.015,0.23,0.77
2025-02-25,0.8,0.2,0.9915,0.0085,0.9845,0.0155,0.225,0.775
2025-02-26,0.76,0.24,0.989,0.011,0.9845,0.0155,0.275,0.725
2025-02-27,0.79,0.21,0.982,0.018,0.9845,0.0155,0.26,0.74
2025-02-28,0.775,0.225,0.979,0.021,0.9855,0.0145,0.275,0.725
2025-03-01,0.73,0.27,0.977,0.023,0.9845,0.0155,0.31,0.69
2025-03-02,0.73,0.27,0.978,0.022,0.9845,0.0155,0.31,0.69
2025-03-03,0.75,0.25,0.9775,0.0225,0.984,0.016,0.31,0.69
2025-03-04,0.61,0.39,0.9745,0.0255,0.985,0.015,0.435,0.565
2025-03-05,0.615,0.385,0.978,0.022,0.9865,0.0135,0.435,0.565
2025-03-06,0.625,0.375,0.9765,0.0235,0.9895,0.0105,0.435,0.565
2025-03-07,0.57,0.43,0.976,0.024,0.989,0.011,0.465,0.535
2025-03-08,0.67,0.33,0.959,0.041,0.989,0.011,0.39,0.61
2025-03-09,0.65,0.35,0.971,0.029,0.989,0.011,0.425,0.575
2025-03-10,0.645,0.355,0.9705,0.0295,0.9895,0.0105,0.39,0.61
2025-03-11,0.485,0.515,0.9445,0.0555,0.9905,0.0095,0.59,0.41
2025-03-12,0.625,0.375,0.942,0.058,0.9905,0.0095,0.46,0.54
2025-03-13,0.69,0.31,0.956,0.044,0.9925,0.0075,0.36,0.64
2025-03-14,0.655,0.345,0.9595,0.0405,0.994,0.006,0.4,0.6
2025-03-15,0.705,0.295,0.964,0.036,0.9945,0.0055,0.33,0.67
2025-03-16,0.72,0.28,0.9705,0.0295,0.9945,0.0055,0.31,0.69
2025-03-17,0.715,0.285,0.9705,0.0295,0.9945,0.0055,0.315,0.685
2025-03-18,0.81,0.19,0.9665,0.0335,0.9945,0.0055,0.285,0.715
2025-03-19,0.795,0.205,0.9665,0.0335,0.9955,0.0045,0.235,0.765
2025-03-20,0.825,0.175,0.9875,0.0125,0.993,0.007,0.185,0.815
2025-03-21,0.845,0.155,0.986,0.014,0.9945,0.0055,0.165,0.835
2025-03-22,0.835,0.165,0.988,0.012,0.9945,0.0055,0.175,0.825
