timestamp_unix,datetime_utc,decreases_25_october_2025_no
1750377608,2025-06-20T00:00:08+00:00,0.52
1750464008,2025-06-21T00:00:08+00:00,0.59
1750550406,2025-06-22T00:00:06+00:00,0.58
1750636807,2025-06-23T00:00:07+00:00,0.58
1750723207,2025-06-24T00:00:07+00:00,0.575
1750809607,2025-06-25T00:00:07+00:00,0.545
1750896008,2025-06-26T00:00:08+00:00,0.53
1750982407,2025-06-27T00:00:07+00:00,0.51
1751068807,2025-06-28T00:00:07+00:00,0.445
1751155208,2025-06-29T00:00:08+00:00,0.435
1751241607,2025-06-30T00:00:07+00:00,0.435
1751328008,2025-07-01T00:00:08+00:00,0.405
1751414407,2025-07-02T00:00:07+00:00,0.4
1751500808,2025-07-03T00:00:08+00:00,0.445
1751587208,2025-07-04T00:00:08+00:00,0.475
1751673608,2025-07-05T00:00:08+00:00,0.505
1751760007,2025-07-06T00:00:07+00:00,0.505
1751846407,2025-07-07T00:00:07+00:00,0.505
1751932808,2025-07-08T00:00:08+00:00,0.5
1752019207,2025-07-09T00:00:07+00:00,0.485
1752105608,2025-07-10T00:00:08+00:00,0.485
1752192008,2025-07-11T00:00:08+00:00,0.485
1752278409,2025-07-12T00:00:09+00:00,0.48
1752364808,2025-07-13T00:00:08+00:00,0.48
1752451207,2025-07-14T00:00:07+00:00,0.49
1752537608,2025-07-15T00:00:08+00:00,0.48
1752624008,2025-07-16T00:00:08+00:00,0.475
1752710408,2025-07-17T00:00:08+00:00,0.47
1752796808,2025-07-18T00:00:08+00:00,0.495
1752883209,2025-07-19T00:00:09+00:00,0.495
1752969608,2025-07-20T00:00:08+00:00,0.515
1753056007,2025-07-21T00:00:07+00:00,0.515
1753142409,2025-07-22T00:00:09+00:00,0.525
1753228809,2025-07-23T00:00:09+00:00,0.525
1753315209,2025-07-24T00:00:09+00:00,0.535
1753401609,2025-07-25T00:00:09+00:00,0.54
1753488009,2025-07-26T00:00:09+00:00,0.545
1753574410,2025-07-27T00:00:10+00:00,0.545
1753660809,2025-07-28T00:00:09+00:00,0.545
1753747210,2025-07-29T00:00:10+00:00,0.54
1753833610,2025-07-30T00:00:10+00:00,0.54
1753920008,2025-07-31T00:00:08+00:00,0.565
1754006409,2025-08-01T00:00:09+00:00,0.58
1754092809,2025-08-02T00:00:09+00:00,0.43
1754179208,2025-08-03T00:00:08+00:00,0.425
1754265607,2025-08-04T00:00:07+00:00,0.42
1754352008,2025-08-05T00:00:08+00:00,0.43
1754438409,2025-08-06T00:00:09+00:00,0.42
1754524808,2025-08-07T00:00:08+00:00,0.43
1754611204,2025-08-08T00:00:04+00:00,0.435
1754697612,2025-08-09T00:00:12+00:00,0.425
1754784009,2025-08-10T00:00:09+00:00,0.425
1754870411,2025-08-11T00:00:11+00:00,0.425
1754956808,2025-08-12T00:00:08+00:00,0.44
1755043212,2025-08-13T00:00:12+00:00,0.445
1755129607,2025-08-14T00:00:07+00:00,0.42
1755216006,2025-08-15T00:00:06+00:00,0.445
1755302407,2025-08-16T00:00:07+00:00,0.44
1755388802,2025-08-17T00:00:02+00:00,0.435
1755475202,2025-08-18T00:00:02+00:00,0.43
1755561602,2025-08-19T00:00:02+00:00,0.43
1755648004,2025-08-20T00:00:04+00:00,0.435
1755734404,2025-08-21T00:00:04+00:00,0.44
1755820804,2025-08-22T00:00:04+00:00,0.47
1755907213,2025-08-23T00:00:13+00:00,0.54
1755993611,2025-08-24T00:00:11+00:00,0.495
1756080009,2025-08-25T00:00:09+00:00,0.5
1756166403,2025-08-26T00:00:03+00:00,0.5
1756252803,2025-08-27T00:00:03+00:00,0.5
1756339206,2025-08-28T00:00:06+00:00,0.515
1756425602,2025-08-29T00:00:02+00:00,0.515
1756512005,2025-08-30T00:00:05+00:00,0.54
