timestamp_unix,datetime_utc,decreases_25_october_2025_yes
1750377608,2025-06-20T00:00:08+00:00,0.48
1750464008,2025-06-21T00:00:08+00:00,0.41
1750550406,2025-06-22T00:00:06+00:00,0.42
1750636807,2025-06-23T00:00:07+00:00,0.42
1750723207,2025-06-24T00:00:07+00:00,0.425
1750809607,2025-06-25T00:00:07+00:00,0.455
1750896008,2025-06-26T00:00:08+00:00,0.47
1750982407,2025-06-27T00:00:07+00:00,0.49
1751068807,2025-06-28T00:00:07+00:00,0.555
1751155208,2025-06-29T00:00:08+00:00,0.565
1751241607,2025-06-30T00:00:07+00:00,0.565
1751328008,2025-07-01T00:00:08+00:00,0.595
1751414407,2025-07-02T00:00:07+00:00,0.6
1751500808,2025-07-03T00:00:08+00:00,0.555
1751587208,2025-07-04T00:00:08+00:00,0.525
1751673608,2025-07-05T00:00:08+00:00,0.495
1751760007,2025-07-06T00:00:07+00:00,0.495
1751846407,2025-07-07T00:00:07+00:00,0.495
1751932808,2025-07-08T00:00:08+00:00,0.5
1752019207,2025-07-09T00:00:07+00:00,0.515
1752105608,2025-07-10T00:00:08+00:00,0.515
1752192008,2025-07-11T00:00:08+00:00,0.515
1752278409,2025-07-12T00:00:09+00:00,0.52
1752364808,2025-07-13T00:00:08+00:00,0.52
1752451207,2025-07-14T00:00:07+00:00,0.51
1752537608,2025-07-15T00:00:08+00:00,0.52
1752624008,2025-07-16T00:00:08+00:00,0.525
1752710408,2025-07-17T00:00:08+00:00,0.53
1752796808,2025-07-18T00:00:08+00:00,0.505
1752883209,2025-07-19T00:00:09+00:00,0.505
1752969608,2025-07-20T00:00:08+00:00,0.485
1753056007,2025-07-21T00:00:07+00:00,0.485
1753142409,2025-07-22T00:00:09+00:00,0.475
1753228809,2025-07-23T00:00:09+00:00,0.475
1753315209,2025-07-24T00:00:09+00:00,0.465
1753401609,2025-07-25T00:00:09+00:00,0.46
1753488009,2025-07-26T00:00:09+00:00,0.455
1753574410,2025-07-27T00:00:10+00:00,0.455
1753660809,2025-07-28T00:00:09+00:00,0.455
1753747210,2025-07-29T00:00:10+00:00,0.46
1753833610,2025-07-30T00:00:10+00:00,0.46
1753920008,2025-07-31T00:00:08+00:00,0.435
1754006409,2025-08-01T00:00:09+00:00,0.42
1754092809,2025-08-02T00:00:09+00:00,0.57
1754179208,2025-08-03T00:00:08+00:00,0.575
1754265607,2025-08-04T00:00:07+00:00,0.58
1754352008,2025-08-05T00:00:08+00:00,0.57
1754438409,2025-08-06T00:00:09+00:00,0.58
1754524804,2025-08-07T00:00:04+00:00,0.57
1754611205,2025-08-08T00:00:05+00:00,0.565
1754697604,2025-08-09T00:00:04+00:00,0.575
1754784007,2025-08-10T00:00:07+00:00,0.575
1754870402,2025-08-11T00:00:02+00:00,0.575
1754956808,2025-08-12T00:00:08+00:00,0.56
1755043211,2025-08-13T00:00:11+00:00,0.555
1755129604,2025-08-14T00:00:04+00:00,0.58
1755216005,2025-08-15T00:00:05+00:00,0.555
1755302403,2025-08-16T00:00:03+00:00,0.56
1755388812,2025-08-17T00:00:12+00:00,0.565
1755475204,2025-08-18T00:00:04+00:00,0.57
1755561616,2025-08-19T00:00:16+00:00,0.57
1755648009,2025-08-20T00:00:09+00:00,0.565
1755734403,2025-08-21T00:00:03+00:00,0.56
1755820807,2025-08-22T00:00:07+00:00,0.53
1755907206,2025-08-23T00:00:06+00:00,0.46
1755993607,2025-08-24T00:00:07+00:00,0.505
1756080008,2025-08-25T00:00:08+00:00,0.5
1756166409,2025-08-26T00:00:09+00:00,0.5
1756252803,2025-08-27T00:00:03+00:00,0.5
1756339206,2025-08-28T00:00:06+00:00,0.485
1756425610,2025-08-29T00:00:10+00:00,0.485
1756512003,2025-08-30T00:00:03+00:00,0.46
1756598409,2025-08-31T00:00:09+00:00,0.465
1756684809,2025-09-01T00:00:09+00:00,0.47
1756771214,2025-09-02T00:00:14+00:00,0.475
1756857610,2025-09-03T00:00:10+00:00,0.47
1756944003,2025-09-04T00:00:03+00:00,0.485
1757030412,2025-09-05T00:00:12+00:00,0.475
1757116806,2025-09-06T00:00:06+00:00,0.58
1757203214,2025-09-07T00:00:14+00:00,0.51
1757289621,2025-09-08T00:00:21+00:00,0.535
1757376010,2025-09-09T00:00:10+00:00,0.525
1757462414,2025-09-10T00:00:14+00:00,0.555
1757548806,2025-09-11T00:00:06+00:00,0.615
1757635211,2025-09-12T00:00:11+00:00,0.605
1757721607,2025-09-13T00:00:07+00:00,0.61
1757808017,2025-09-14T00:00:17+00:00,0.635
1757894405,2025-09-15T00:00:05+00:00,0.67
1757980825,2025-09-16T00:00:25+00:00,0.675
1758067218,2025-09-17T00:00:18+00:00,0.705
1758153609,2025-09-18T00:00:09+00:00,0.785
1758240009,2025-09-19T00:00:09+00:00,0.835
1758326412,2025-09-20T00:00:12+00:00,0.855
1758412808,2025-09-21T00:00:08+00:00,0.855
1758499216,2025-09-22T00:00:16+00:00,0.855
1758585609,2025-09-23T00:00:09+00:00,0.835
1758672016,2025-09-24T00:00:16+00:00,0.825
1758758403,2025-09-25T00:00:03+00:00,0.825
1758844805,2025-09-26T00:00:05+00:00,0.795
1758931209,2025-09-27T00:00:09+00:00,0.805
1759017615,2025-09-28T00:00:15+00:00,0.805
1759104005,2025-09-29T00:00:05+00:00,0.805
1759190402,2025-09-30T00:00:02+00:00,0.805
1759276808,2025-10-01T00:00:08+00:00,0.855
1759363208,2025-10-02T00:00:08+00:00,0.905
1759449610,2025-10-03T00:00:10+00:00,0.895
1759536002,2025-10-04T00:00:02+00:00,0.895
1759622407,2025-10-05T00:00:07+00:00,0.895
1759708803,2025-10-06T00:00:03+00:00,0.895
1759795210,2025-10-07T00:00:10+00:00,0.895
1759881610,2025-10-08T00:00:10+00:00,0.885
1759968006,2025-10-09T00:00:06+00:00,0.895
1760054409,2025-10-10T00:00:09+00:00,0.905
1760140807,2025-10-11T00:00:07+00:00,0.905
1760227209,2025-10-12T00:00:09+00:00,0.905
1760313612,2025-10-13T00:00:12+00:00,0.915
1760400016,2025-10-14T00:00:16+00:00,0.915
1760486410,2025-10-15T00:00:10+00:00,0.935
1760572821,2025-10-16T00:00:21+00:00,0.945
1760659213,2025-10-17T00:00:13+00:00,0.935
1760745610,2025-10-18T00:00:10+00:00,0.945
1760832005,2025-10-19T00:00:05+00:00,0.945
1760918420,2025-10-20T00:00:20+00:00,0.945
1761004811,2025-10-21T00:00:11+00:00,0.955
1761091216,2025-10-22T00:00:16+00:00,0.96
1761177609,2025-10-23T00:00:09+00:00,0.9605
1761264013,2025-10-24T00:00:13+00:00,0.962
1761350413,2025-10-25T00:00:13+00:00,0.9765
1761436814,2025-10-26T00:00:14+00:00,0.9825
1761523213,2025-10-27T00:00:13+00:00,0.9835
1761609616,2025-10-28T00:00:16+00:00,0.9845
1761696015,2025-10-29T00:00:15+00:00,0.9795
