timestamp_unix,datetime_utc,decreases_50_october_2025_no
1750377608,2025-06-20T00:00:08+00:00,0.94
1750464008,2025-06-21T00:00:08+00:00,0.9365
1750550406,2025-06-22T00:00:06+00:00,0.9375
1750636807,2025-06-23T00:00:07+00:00,0.9345
1750723207,2025-06-24T00:00:07+00:00,0.9325
1750809607,2025-06-25T00:00:07+00:00,0.92
1750896008,2025-06-26T00:00:08+00:00,0.9175
1750982407,2025-06-27T00:00:07+00:00,0.916
1751068807,2025-06-28T00:00:07+00:00,0.9105
1751155208,2025-06-29T00:00:08+00:00,0.9145
1751241607,2025-06-30T00:00:07+00:00,0.9145
1751328008,2025-07-01T00:00:08+00:00,0.9155
1751414407,2025-07-02T00:00:07+00:00,0.928
1751500808,2025-07-03T00:00:08+00:00,0.926
1751587208,2025-07-04T00:00:08+00:00,0.944
1751673608,2025-07-05T00:00:08+00:00,0.9375
1751760007,2025-07-06T00:00:07+00:00,0.9345
1751846407,2025-07-07T00:00:07+00:00,0.93
1751932808,2025-07-08T00:00:08+00:00,0.9275
1752019207,2025-07-09T00:00:07+00:00,0.9225
1752105608,2025-07-10T00:00:08+00:00,0.9305
1752192008,2025-07-11T00:00:08+00:00,0.9315
1752278409,2025-07-12T00:00:09+00:00,0.9285
1752364808,2025-07-13T00:00:08+00:00,0.947
1752451207,2025-07-14T00:00:07+00:00,0.9245
1752537608,2025-07-15T00:00:08+00:00,0.922
1752624008,2025-07-16T00:00:08+00:00,0.9335
1752710408,2025-07-17T00:00:08+00:00,0.9245
1752796808,2025-07-18T00:00:08+00:00,0.9215
1752883209,2025-07-19T00:00:09+00:00,0.9235
1752969608,2025-07-20T00:00:08+00:00,0.9355
1753056007,2025-07-21T00:00:07+00:00,0.932
1753142409,2025-07-22T00:00:09+00:00,0.924
1753228809,2025-07-23T00:00:09+00:00,0.924
1753315209,2025-07-24T00:00:09+00:00,0.9345
1753401609,2025-07-25T00:00:09+00:00,0.9365
1753488009,2025-07-26T00:00:09+00:00,0.924
1753574410,2025-07-27T00:00:10+00:00,0.923
1753660809,2025-07-28T00:00:09+00:00,0.9225
1753747210,2025-07-29T00:00:10+00:00,0.9275
1753833610,2025-07-30T00:00:10+00:00,0.927
1753920008,2025-07-31T00:00:08+00:00,0.94
1754006409,2025-08-01T00:00:09+00:00,0.943
1754092809,2025-08-02T00:00:09+00:00,0.9465
1754179208,2025-08-03T00:00:08+00:00,0.943
1754265607,2025-08-04T00:00:07+00:00,0.9425
1754352008,2025-08-05T00:00:08+00:00,0.946
1754438409,2025-08-06T00:00:09+00:00,0.9445
1754524803,2025-08-07T00:00:03+00:00,0.943
1754611204,2025-08-08T00:00:04+00:00,0.942
1754697613,2025-08-09T00:00:13+00:00,0.942
1754784003,2025-08-10T00:00:03+00:00,0.9415
1754870413,2025-08-11T00:00:13+00:00,0.9425
1754956808,2025-08-12T00:00:08+00:00,0.9325
1755043207,2025-08-13T00:00:07+00:00,0.9335
1755129606,2025-08-14T00:00:06+00:00,0.932
1755216010,2025-08-15T00:00:10+00:00,0.944
1755302405,2025-08-16T00:00:05+00:00,0.942
1755388810,2025-08-17T00:00:10+00:00,0.942
1755475203,2025-08-18T00:00:03+00:00,0.9435
1755561616,2025-08-19T00:00:16+00:00,0.943
1755648006,2025-08-20T00:00:06+00:00,0.942
1755734402,2025-08-21T00:00:02+00:00,0.941
1755820807,2025-08-22T00:00:07+00:00,0.945
1755907211,2025-08-23T00:00:11+00:00,0.9475
1755993604,2025-08-24T00:00:04+00:00,0.953
1756080006,2025-08-25T00:00:06+00:00,0.9585
1756166404,2025-08-26T00:00:04+00:00,0.9675
1756252802,2025-08-27T00:00:02+00:00,0.9635
1756339210,2025-08-28T00:00:10+00:00,0.9455
1756425617,2025-08-29T00:00:17+00:00,0.943
1756512005,2025-08-30T00:00:05+00:00,0.9335
1756598406,2025-08-31T00:00:06+00:00,0.9335
1756684804,2025-09-01T00:00:04+00:00,0.9325
1756771209,2025-09-02T00:00:09+00:00,0.9335
1756857614,2025-09-03T00:00:14+00:00,0.9325
1756944008,2025-09-04T00:00:08+00:00,0.932
1757030412,2025-09-05T00:00:12+00:00,0.932
1757116817,2025-09-06T00:00:17+00:00,0.935
1757203212,2025-09-07T00:00:12+00:00,0.9405
1757289608,2025-09-08T00:00:08+00:00,0.9465
1757376008,2025-09-09T00:00:08+00:00,0.9465
1757462413,2025-09-10T00:00:13+00:00,0.9355
1757548808,2025-09-11T00:00:08+00:00,0.9345
1757635212,2025-09-12T00:00:12+00:00,0.881
1757721612,2025-09-13T00:00:12+00:00,0.8805
1757808013,2025-09-14T00:00:13+00:00,0.91
1757894406,2025-09-15T00:00:06+00:00,0.9125
1757980808,2025-09-16T00:00:08+00:00,0.905
1758067220,2025-09-17T00:00:20+00:00,0.9085
1758153602,2025-09-18T00:00:02+00:00,0.9265
1758240013,2025-09-19T00:00:13+00:00,0.956
1758326409,2025-09-20T00:00:09+00:00,0.9565
1758412807,2025-09-21T00:00:07+00:00,0.956
1758499206,2025-09-22T00:00:06+00:00,0.959
1758585611,2025-09-23T00:00:11+00:00,0.959
1758672017,2025-09-24T00:00:17+00:00,0.9605
1758758409,2025-09-25T00:00:09+00:00,0.9585
1758844808,2025-09-26T00:00:08+00:00,0.964
1758931207,2025-09-27T00:00:07+00:00,0.9625
1759017616,2025-09-28T00:00:16+00:00,0.9645
1759104005,2025-09-29T00:00:05+00:00,0.965
1759190412,2025-09-30T00:00:12+00:00,0.9675
1759276804,2025-10-01T00:00:04+00:00,0.964
1759363208,2025-10-02T00:00:08+00:00,0.963
1759449609,2025-10-03T00:00:09+00:00,0.962
1759536010,2025-10-04T00:00:10+00:00,0.9665
1759622409,2025-10-05T00:00:09+00:00,0.964
1759708804,2025-10-06T00:00:04+00:00,0.9675
1759795205,2025-10-07T00:00:05+00:00,0.9715
1759881612,2025-10-08T00:00:12+00:00,0.9715
1759968008,2025-10-09T00:00:08+00:00,0.9765
1760054411,2025-10-10T00:00:11+00:00,0.978
1760140807,2025-10-11T00:00:07+00:00,0.969
1760227213,2025-10-12T00:00:13+00:00,0.9615
1760313608,2025-10-13T00:00:08+00:00,0.969
1760400009,2025-10-14T00:00:09+00:00,0.9705
1760486413,2025-10-15T00:00:13+00:00,0.976
1760572814,2025-10-16T00:00:14+00:00,0.98
1760659209,2025-10-17T00:00:09+00:00,0.962
1760745617,2025-10-18T00:00:17+00:00,0.9705
1760832010,2025-10-19T00:00:10+00:00,0.973
1760918416,2025-10-20T00:00:16+00:00,0.9745
1761004806,2025-10-21T00:00:06+00:00,0.981
1761091225,2025-10-22T00:00:25+00:00,0.983
1761177612,2025-10-23T00:00:12+00:00,0.9855
1761264021,2025-10-24T00:00:21+00:00,0.985
1761350419,2025-10-25T00:00:19+00:00,0.9905
1761436823,2025-10-26T00:00:23+00:00,0.9935
1761523220,2025-10-27T00:00:20+00:00,0.9935
1761609624,2025-10-28T00:00:24+00:00,0.9955
1761696024,2025-10-29T00:00:24+00:00,0.991
