timestamp_unix,datetime_utc,no_change_october_2025_no
1750377608,2025-06-20T00:00:08+00:00,0.525
1750464008,2025-06-21T00:00:08+00:00,0.485
1750550406,2025-06-22T00:00:06+00:00,0.495
1750636807,2025-06-23T00:00:07+00:00,0.495
1750723207,2025-06-24T00:00:07+00:00,0.51
1750809607,2025-06-25T00:00:07+00:00,0.565
1750896008,2025-06-26T00:00:08+00:00,0.575
1750982407,2025-06-27T00:00:07+00:00,0.595
1751068807,2025-06-28T00:00:07+00:00,0.675
1751155208,2025-06-29T00:00:08+00:00,0.695
1751241607,2025-06-30T00:00:07+00:00,0.68
1751328008,2025-07-01T00:00:08+00:00,0.695
1751414407,2025-07-02T00:00:07+00:00,0.695
1751500808,2025-07-03T00:00:08+00:00,0.635
1751587208,2025-07-04T00:00:08+00:00,0.615
1751673608,2025-07-05T00:00:08+00:00,0.61
1751760007,2025-07-06T00:00:07+00:00,0.585
1751846407,2025-07-07T00:00:07+00:00,0.59
1751932808,2025-07-08T00:00:08+00:00,0.595
1752019207,2025-07-09T00:00:07+00:00,0.61
1752105608,2025-07-10T00:00:08+00:00,0.615
1752192008,2025-07-11T00:00:08+00:00,0.63
1752278409,2025-07-12T00:00:09+00:00,0.63
1752364808,2025-07-13T00:00:08+00:00,0.625
1752451207,2025-07-14T00:00:07+00:00,0.625
1752537608,2025-07-15T00:00:08+00:00,0.63
1752624008,2025-07-16T00:00:08+00:00,0.63
1752710408,2025-07-17T00:00:08+00:00,0.625
1752796808,2025-07-18T00:00:08+00:00,0.605
1752883209,2025-07-19T00:00:09+00:00,0.595
1752969608,2025-07-20T00:00:08+00:00,0.56
1753056007,2025-07-21T00:00:07+00:00,0.565
1753142409,2025-07-22T00:00:09+00:00,0.565
1753228809,2025-07-23T00:00:09+00:00,0.565
1753315209,2025-07-24T00:00:09+00:00,0.545
1753401609,2025-07-25T00:00:09+00:00,0.55
1753488009,2025-07-26T00:00:09+00:00,0.54
1753574410,2025-07-27T00:00:10+00:00,0.545
1753660809,2025-07-28T00:00:09+00:00,0.545
1753747210,2025-07-29T00:00:10+00:00,0.545
1753833610,2025-07-30T00:00:10+00:00,0.545
1753920008,2025-07-31T00:00:08+00:00,0.51
1754006409,2025-08-01T00:00:09+00:00,0.48
1754092809,2025-08-02T00:00:09+00:00,0.645
1754179208,2025-08-03T00:00:08+00:00,0.645
1754265607,2025-08-04T00:00:07+00:00,0.66
1754352008,2025-08-05T00:00:08+00:00,0.65
1754438409,2025-08-06T00:00:09+00:00,0.655
1754524809,2025-08-07T00:00:09+00:00,0.655
1754611203,2025-08-08T00:00:03+00:00,0.65
1754697611,2025-08-09T00:00:11+00:00,0.665
1754784009,2025-08-10T00:00:09+00:00,0.66
1754870414,2025-08-11T00:00:14+00:00,0.645
1754956808,2025-08-12T00:00:08+00:00,0.64
1755043209,2025-08-13T00:00:09+00:00,0.635
1755129602,2025-08-14T00:00:02+00:00,0.66
1755216008,2025-08-15T00:00:08+00:00,0.635
1755302407,2025-08-16T00:00:07+00:00,0.63
1755388810,2025-08-17T00:00:10+00:00,0.635
1755475209,2025-08-18T00:00:09+00:00,0.635
1755561616,2025-08-19T00:00:16+00:00,0.635
1755648008,2025-08-20T00:00:08+00:00,0.635
1755734407,2025-08-21T00:00:07+00:00,0.63
1755820802,2025-08-22T00:00:02+00:00,0.61
1755907207,2025-08-23T00:00:07+00:00,0.555
1755993605,2025-08-24T00:00:05+00:00,0.575
1756080005,2025-08-25T00:00:05+00:00,0.55
1756166409,2025-08-26T00:00:09+00:00,0.55
1756252815,2025-08-27T00:00:15+00:00,0.55
1756339208,2025-08-28T00:00:08+00:00,0.55
1756425606,2025-08-29T00:00:06+00:00,0.55
1756512009,2025-08-30T00:00:09+00:00,0.55
1756598406,2025-08-31T00:00:06+00:00,0.565
1756684811,2025-09-01T00:00:11+00:00,0.555
1756771206,2025-09-02T00:00:06+00:00,0.545
1756857608,2025-09-03T00:00:08+00:00,0.56
1756944015,2025-09-04T00:00:15+00:00,0.565
1757030413,2025-09-05T00:00:13+00:00,0.545
1757116814,2025-09-06T00:00:14+00:00,0.64
1757203206,2025-09-07T00:00:06+00:00,0.575
1757289620,2025-09-08T00:00:20+00:00,0.6
1757376003,2025-09-09T00:00:03+00:00,0.58
1757462413,2025-09-10T00:00:13+00:00,0.625
