timestamp_unix,datetime_utc,no_change_october_2025_yes
1750377608,2025-06-20T00:00:08+00:00,0.475
1750464008,2025-06-21T00:00:08+00:00,0.515
1750550406,2025-06-22T00:00:06+00:00,0.505
1750636807,2025-06-23T00:00:07+00:00,0.505
1750723207,2025-06-24T00:00:07+00:00,0.49
1750809607,2025-06-25T00:00:07+00:00,0.435
1750896008,2025-06-26T00:00:08+00:00,0.425
1750982407,2025-06-27T00:00:07+00:00,0.405
1751068807,2025-06-28T00:00:07+00:00,0.325
1751155208,2025-06-29T00:00:08+00:00,0.305
1751241607,2025-06-30T00:00:07+00:00,0.32
1751328008,2025-07-01T00:00:08+00:00,0.305
1751414407,2025-07-02T00:00:07+00:00,0.305
1751500808,2025-07-03T00:00:08+00:00,0.365
1751587208,2025-07-04T00:00:08+00:00,0.385
1751673608,2025-07-05T00:00:08+00:00,0.39
1751760007,2025-07-06T00:00:07+00:00,0.415
1751846407,2025-07-07T00:00:07+00:00,0.41
1751932808,2025-07-08T00:00:08+00:00,0.405
1752019207,2025-07-09T00:00:07+00:00,0.39
1752105608,2025-07-10T00:00:08+00:00,0.385
1752192008,2025-07-11T00:00:08+00:00,0.37
1752278409,2025-07-12T00:00:09+00:00,0.37
1752364808,2025-07-13T00:00:08+00:00,0.375
1752451207,2025-07-14T00:00:07+00:00,0.375
1752537608,2025-07-15T00:00:08+00:00,0.37
1752624008,2025-07-16T00:00:08+00:00,0.37
1752710408,2025-07-17T00:00:08+00:00,0.375
1752796808,2025-07-18T00:00:08+00:00,0.395
1752883209,2025-07-19T00:00:09+00:00,0.405
1752969608,2025-07-20T00:00:08+00:00,0.44
1753056007,2025-07-21T00:00:07+00:00,0.435
1753142409,2025-07-22T00:00:09+00:00,0.435
1753228809,2025-07-23T00:00:09+00:00,0.435
1753315209,2025-07-24T00:00:09+00:00,0.455
1753401609,2025-07-25T00:00:09+00:00,0.45
1753488009,2025-07-26T00:00:09+00:00,0.46
1753574410,2025-07-27T00:00:10+00:00,0.455
1753660809,2025-07-28T00:00:09+00:00,0.455
1753747210,2025-07-29T00:00:10+00:00,0.455
1753833610,2025-07-30T00:00:10+00:00,0.455
1753920008,2025-07-31T00:00:08+00:00,0.49
1754006409,2025-08-01T00:00:09+00:00,0.52
1754092809,2025-08-02T00:00:09+00:00,0.355
1754179208,2025-08-03T00:00:08+00:00,0.355
1754265607,2025-08-04T00:00:07+00:00,0.34
1754352008,2025-08-05T00:00:08+00:00,0.35
1754438409,2025-08-06T00:00:09+00:00,0.345
1754524804,2025-08-07T00:00:04+00:00,0.345
1754611207,2025-08-08T00:00:07+00:00,0.35
1754697608,2025-08-09T00:00:08+00:00,0.335
1754784007,2025-08-10T00:00:07+00:00,0.34
1754870407,2025-08-11T00:00:07+00:00,0.355
1754956806,2025-08-12T00:00:06+00:00,0.36
1755043209,2025-08-13T00:00:09+00:00,0.365
1755129602,2025-08-14T00:00:02+00:00,0.34
1755216006,2025-08-15T00:00:06+00:00,0.365
1755302403,2025-08-16T00:00:03+00:00,0.37
1755388810,2025-08-17T00:00:10+00:00,0.365
1755475207,2025-08-18T00:00:07+00:00,0.365
1755561605,2025-08-19T00:00:05+00:00,0.365
1755648005,2025-08-20T00:00:05+00:00,0.365
1755734406,2025-08-21T00:00:06+00:00,0.37
1755820802,2025-08-22T00:00:02+00:00,0.39
1755907204,2025-08-23T00:00:04+00:00,0.445
1755993602,2025-08-24T00:00:02+00:00,0.425
1756080006,2025-08-25T00:00:06+00:00,0.45
1756166406,2025-08-26T00:00:06+00:00,0.45
1756252808,2025-08-27T00:00:08+00:00,0.45
1756339206,2025-08-28T00:00:06+00:00,0.45
1756425611,2025-08-29T00:00:11+00:00,0.45
1756512012,2025-08-30T00:00:12+00:00,0.45
1756598410,2025-08-31T00:00:10+00:00,0.435
1756684806,2025-09-01T00:00:06+00:00,0.445
1756771211,2025-09-02T00:00:11+00:00,0.455
1756857615,2025-09-03T00:00:15+00:00,0.44
1756944005,2025-09-04T00:00:05+00:00,0.435
1757030409,2025-09-05T00:00:09+00:00,0.455
1757116817,2025-09-06T00:00:17+00:00,0.36
1757203204,2025-09-07T00:00:04+00:00,0.425
1757289617,2025-09-08T00:00:17+00:00,0.4
1757376010,2025-09-09T00:00:10+00:00,0.42
1757462414,2025-09-10T00:00:14+00:00,0.375
1757548812,2025-09-11T00:00:12+00:00,0.285
1757635205,2025-09-12T00:00:05+00:00,0.265
1757721608,2025-09-13T00:00:08+00:00,0.26
1757808011,2025-09-14T00:00:11+00:00,0.26
1757894404,2025-09-15T00:00:04+00:00,0.225
1757980823,2025-09-16T00:00:23+00:00,0.22
1758067213,2025-09-17T00:00:13+00:00,0.195
1758153609,2025-09-18T00:00:09+00:00,0.145
1758240015,2025-09-19T00:00:15+00:00,0.115
1758326418,2025-09-20T00:00:18+00:00,0.105
1758412811,2025-09-21T00:00:11+00:00,0.105
1758499216,2025-09-22T00:00:16+00:00,0.105
1758585605,2025-09-23T00:00:05+00:00,0.125
1758672007,2025-09-24T00:00:07+00:00,0.125
1758758407,2025-09-25T00:00:07+00:00,0.135
1758844804,2025-09-26T00:00:04+00:00,0.165
1758931205,2025-09-27T00:00:05+00:00,0.155
1759017614,2025-09-28T00:00:14+00:00,0.155
1759104007,2025-09-29T00:00:07+00:00,0.155
1759190402,2025-09-30T00:00:02+00:00,0.155
