timestamp_unix,datetime_utc,decreases_50_september_2025_yes
1746662406,2025-05-08T00:00:06+00:00,0.036
1746748807,2025-05-09T00:00:07+00:00,0.117
1746835206,2025-05-10T00:00:06+00:00,0.0985
1746921606,2025-05-11T00:00:06+00:00,0.099
1747008006,2025-05-12T00:00:06+00:00,0.08
1747094406,2025-05-13T00:00:06+00:00,0.062
1747180807,2025-05-14T00:00:07+00:00,0.055
1747267207,2025-05-15T00:00:07+00:00,0.048
1747353606,2025-05-16T00:00:06+00:00,0.0525
1747440007,2025-05-17T00:00:07+00:00,0.0525
1747526406,2025-05-18T00:00:06+00:00,0.0525
1747612806,2025-05-19T00:00:06+00:00,0.0515
1747699206,2025-05-20T00:00:06+00:00,0.047
1747785606,2025-05-21T00:00:06+00:00,0.051
1747872007,2025-05-22T00:00:07+00:00,0.0445
1747958407,2025-05-23T00:00:07+00:00,0.045
1748044807,2025-05-24T00:00:07+00:00,0.0355
1748131206,2025-05-25T00:00:06+00:00,0.0385
1748217607,2025-05-26T00:00:07+00:00,0.0345
1748304006,2025-05-27T00:00:06+00:00,0.034
1748390406,2025-05-28T00:00:06+00:00,0.0315
1748476807,2025-05-29T00:00:07+00:00,0.0305
1748563207,2025-05-30T00:00:07+00:00,0.032
1748649607,2025-05-31T00:00:07+00:00,0.035
1748736007,2025-06-01T00:00:07+00:00,0.036
1748822406,2025-06-02T00:00:06+00:00,0.0355
1748908807,2025-06-03T00:00:07+00:00,0.0355
1748995206,2025-06-04T00:00:06+00:00,0.045
1749081606,2025-06-05T00:00:06+00:00,0.0365
1749168006,2025-06-06T00:00:06+00:00,0.0345
1749254407,2025-06-07T00:00:07+00:00,0.0415
1749340807,2025-06-08T00:00:07+00:00,0.0375
1749427207,2025-06-09T00:00:07+00:00,0.0325
1749513606,2025-06-10T00:00:06+00:00,0.036
1749600007,2025-06-11T00:00:07+00:00,0.0345
1749686407,2025-06-12T00:00:07+00:00,0.034
1749772807,2025-06-13T00:00:07+00:00,0.035
1749859208,2025-06-14T00:00:08+00:00,0.0365
1749945608,2025-06-15T00:00:08+00:00,0.0405
1750032007,2025-06-16T00:00:07+00:00,0.036
1750118408,2025-06-17T00:00:08+00:00,0.037
1750204808,2025-06-18T00:00:08+00:00,0.0405
1750291207,2025-06-19T00:00:07+00:00,0.0375
1750377608,2025-06-20T00:00:08+00:00,0.036
1750464008,2025-06-21T00:00:08+00:00,0.031
1750550406,2025-06-22T00:00:06+00:00,0.0275
1750636807,2025-06-23T00:00:07+00:00,0.0345
1750723207,2025-06-24T00:00:07+00:00,0.037
1750809607,2025-06-25T00:00:07+00:00,0.04
1750896008,2025-06-26T00:00:08+00:00,0.0565
1750982407,2025-06-27T00:00:07+00:00,0.0695
1751068807,2025-06-28T00:00:07+00:00,0.059
1751155208,2025-06-29T00:00:08+00:00,0.057
1751241607,2025-06-30T00:00:07+00:00,0.054
1751328008,2025-07-01T00:00:08+00:00,0.0745
1751414407,2025-07-02T00:00:07+00:00,0.066
1751500808,2025-07-03T00:00:08+00:00,0.0655
1751587208,2025-07-04T00:00:08+00:00,0.0545
1751673608,2025-07-05T00:00:08+00:00,0.0545
1751760007,2025-07-06T00:00:07+00:00,0.0485
1751846407,2025-07-07T00:00:07+00:00,0.051
1751932808,2025-07-08T00:00:08+00:00,0.0575
1752019207,2025-07-09T00:00:07+00:00,0.0675
1752105608,2025-07-10T00:00:08+00:00,0.0585
1752192008,2025-07-11T00:00:08+00:00,0.0585
1752278409,2025-07-12T00:00:09+00:00,0.06
1752364808,2025-07-13T00:00:08+00:00,0.051
1752451207,2025-07-14T00:00:07+00:00,0.0855
1752537608,2025-07-15T00:00:08+00:00,0.0775
1752624008,2025-07-16T00:00:08+00:00,0.056
1752710408,2025-07-17T00:00:08+00:00,0.056
1752796808,2025-07-18T00:00:08+00:00,0.0825
1752883209,2025-07-19T00:00:09+00:00,0.061
1752969608,2025-07-20T00:00:08+00:00,0.072
1753056007,2025-07-21T00:00:07+00:00,0.0675
1753142409,2025-07-22T00:00:09+00:00,0.0645
1753228809,2025-07-23T00:00:09+00:00,0.066
1753315209,2025-07-24T00:00:09+00:00,0.0655
1753401609,2025-07-25T00:00:09+00:00,0.065
1753488009,2025-07-26T00:00:09+00:00,0.072
1753574410,2025-07-27T00:00:10+00:00,0.079
1753660809,2025-07-28T00:00:09+00:00,0.0795
1753747210,2025-07-29T00:00:10+00:00,0.058
1753833610,2025-07-30T00:00:10+00:00,0.0565
1753920008,2025-07-31T00:00:08+00:00,0.016
1754006409,2025-08-01T00:00:09+00:00,0.0205
1754092809,2025-08-02T00:00:09+00:00,0.0825
1754179208,2025-08-03T00:00:08+00:00,0.0735
1754265607,2025-08-04T00:00:07+00:00,0.0775
1754352008,2025-08-05T00:00:08+00:00,0.079
1754438409,2025-08-06T00:00:09+00:00,0.0695
1754524809,2025-08-07T00:00:09+00:00,0.066
1754611204,2025-08-08T00:00:04+00:00,0.0675
1754697615,2025-08-09T00:00:15+00:00,0.0665
1754784004,2025-08-10T00:00:04+00:00,0.067
1754870413,2025-08-11T00:00:13+00:00,0.0665
1754956808,2025-08-12T00:00:08+00:00,0.0635
1755043211,2025-08-13T00:00:11+00:00,0.0575
1755129608,2025-08-14T00:00:08+00:00,0.085
1755216010,2025-08-15T00:00:10+00:00,0.0375
1755302404,2025-08-16T00:00:04+00:00,0.0375
1755388805,2025-08-17T00:00:05+00:00,0.0375
1755475205,2025-08-18T00:00:05+00:00,0.035
1755561607,2025-08-19T00:00:07+00:00,0.03
1755648008,2025-08-20T00:00:08+00:00,0.0265
1755734404,2025-08-21T00:00:04+00:00,0.0245
1755820805,2025-08-22T00:00:05+00:00,0.0225
1755907207,2025-08-23T00:00:07+00:00,0.032
1755993604,2025-08-24T00:00:04+00:00,0.0375
1756080014,2025-08-25T00:00:14+00:00,0.042
1756166409,2025-08-26T00:00:09+00:00,0.0385
1756252813,2025-08-27T00:00:13+00:00,0.045
1756339202,2025-08-28T00:00:02+00:00,0.0465
1756425616,2025-08-29T00:00:16+00:00,0.0395
1756512007,2025-08-30T00:00:07+00:00,0.046
1756598407,2025-08-31T00:00:07+00:00,0.0545
