timestamp_unix,datetime_utc,no_change_september_2025_yes
1746662406,2025-05-08T00:00:06+00:00,0.425
1746748807,2025-05-09T00:00:07+00:00,0.385
1746835206,2025-05-10T00:00:06+00:00,0.39
1746921606,2025-05-11T00:00:06+00:00,0.4
1747008006,2025-05-12T00:00:06+00:00,0.435
1747094406,2025-05-13T00:00:06+00:00,0.52
1747180807,2025-05-14T00:00:07+00:00,0.515
1747267207,2025-05-15T00:00:07+00:00,0.54
1747353606,2025-05-16T00:00:06+00:00,0.535
1747440007,2025-05-17T00:00:07+00:00,0.545
1747526406,2025-05-18T00:00:06+00:00,0.535
1747612806,2025-05-19T00:00:06+00:00,0.555
1747699206,2025-05-20T00:00:06+00:00,0.595
1747785606,2025-05-21T00:00:06+00:00,0.595
1747872007,2025-05-22T00:00:07+00:00,0.6
1747958407,2025-05-23T00:00:07+00:00,0.575
1748044807,2025-05-24T00:00:07+00:00,0.595
1748131206,2025-05-25T00:00:06+00:00,0.595
1748217607,2025-05-26T00:00:07+00:00,0.665
1748304006,2025-05-27T00:00:06+00:00,0.685
1748390406,2025-05-28T00:00:06+00:00,0.685
1748476807,2025-05-29T00:00:07+00:00,0.68
1748563207,2025-05-30T00:00:07+00:00,0.665
1748649607,2025-05-31T00:00:07+00:00,0.605
1748736007,2025-06-01T00:00:07+00:00,0.605
1748822406,2025-06-02T00:00:06+00:00,0.6
1748908807,2025-06-03T00:00:07+00:00,0.595
1748995206,2025-06-04T00:00:06+00:00,0.585
1749081606,2025-06-05T00:00:06+00:00,0.575
1749168006,2025-06-06T00:00:06+00:00,0.465
1749254407,2025-06-07T00:00:07+00:00,0.575
1749340807,2025-06-08T00:00:07+00:00,0.61
1749427207,2025-06-09T00:00:07+00:00,0.605
1749513606,2025-06-10T00:00:06+00:00,0.595
1749600007,2025-06-11T00:00:07+00:00,0.595
1749686407,2025-06-12T00:00:07+00:00,0.545
1749772807,2025-06-13T00:00:07+00:00,0.525
1749859208,2025-06-14T00:00:08+00:00,0.52
1749945608,2025-06-15T00:00:08+00:00,0.52
1750032007,2025-06-16T00:00:07+00:00,0.53
1750118408,2025-06-17T00:00:08+00:00,0.55
1750204808,2025-06-18T00:00:08+00:00,0.56
1750291207,2025-06-19T00:00:07+00:00,0.51
1750377608,2025-06-20T00:00:08+00:00,0.535
1750464008,2025-06-21T00:00:08+00:00,0.555
1750550406,2025-06-22T00:00:06+00:00,0.55
1750636807,2025-06-23T00:00:07+00:00,0.53
1750723207,2025-06-24T00:00:07+00:00,0.495
1750809607,2025-06-25T00:00:07+00:00,0.455
1750896008,2025-06-26T00:00:08+00:00,0.315
1750982407,2025-06-27T00:00:07+00:00,0.375
1751068807,2025-06-28T00:00:07+00:00,0.345
1751155208,2025-06-29T00:00:08+00:00,0.335
1751241607,2025-06-30T00:00:07+00:00,0.34
1751328008,2025-07-01T00:00:08+00:00,0.34
1751414407,2025-07-02T00:00:07+00:00,0.325
1751500808,2025-07-03T00:00:08+00:00,0.31
1751587208,2025-07-04T00:00:08+00:00,0.475
1751673608,2025-07-05T00:00:08+00:00,0.43
1751760007,2025-07-06T00:00:07+00:00,0.43
1751846407,2025-07-07T00:00:07+00:00,0.43
1751932808,2025-07-08T00:00:08+00:00,0.435
1752019207,2025-07-09T00:00:07+00:00,0.435
1752105608,2025-07-10T00:00:08+00:00,0.465
1752192008,2025-07-11T00:00:08+00:00,0.45
1752278409,2025-07-12T00:00:09+00:00,0.465
1752364808,2025-07-13T00:00:08+00:00,0.46
1752451207,2025-07-14T00:00:07+00:00,0.435
1752537608,2025-07-15T00:00:08+00:00,0.475
1752624008,2025-07-16T00:00:08+00:00,0.545
1752710408,2025-07-17T00:00:08+00:00,0.54
1752796808,2025-07-18T00:00:08+00:00,0.515
1752883209,2025-07-19T00:00:09+00:00,0.485
1752969608,2025-07-20T00:00:08+00:00,0.495
1753056007,2025-07-21T00:00:07+00:00,0.51
1753142409,2025-07-22T00:00:09+00:00,0.485
1753228809,2025-07-23T00:00:09+00:00,0.435
1753315209,2025-07-24T00:00:09+00:00,0.42
1753401609,2025-07-25T00:00:09+00:00,0.435
1753488009,2025-07-26T00:00:09+00:00,0.425
1753574410,2025-07-27T00:00:10+00:00,0.43
1753660809,2025-07-28T00:00:09+00:00,0.355
1753747210,2025-07-29T00:00:10+00:00,0.405
1753833610,2025-07-30T00:00:10+00:00,0.375
1753920008,2025-07-31T00:00:08+00:00,0.555
1754006409,2025-08-01T00:00:09+00:00,0.625
1754092809,2025-08-02T00:00:09+00:00,0.195
1754179208,2025-08-03T00:00:08+00:00,0.205
1754265607,2025-08-04T00:00:07+00:00,0.205
1754352008,2025-08-05T00:00:08+00:00,0.165
1754438409,2025-08-06T00:00:09+00:00,0.185
1754524806,2025-08-07T00:00:06+00:00,0.145
1754611204,2025-08-08T00:00:04+00:00,0.175
1754697608,2025-08-09T00:00:08+00:00,0.175
1754784010,2025-08-10T00:00:10+00:00,0.175
1754870406,2025-08-11T00:00:06+00:00,0.175
1754956808,2025-08-12T00:00:08+00:00,0.21
1755043213,2025-08-13T00:00:13+00:00,0.125
1755129608,2025-08-14T00:00:08+00:00,0.125
1755216011,2025-08-15T00:00:11+00:00,0.235
1755302406,2025-08-16T00:00:06+00:00,0.295
1755388802,2025-08-17T00:00:02+00:00,0.265
1755475204,2025-08-18T00:00:04+00:00,0.245
1755561616,2025-08-19T00:00:16+00:00,0.265
1755648007,2025-08-20T00:00:07+00:00,0.285
1755734403,2025-08-21T00:00:03+00:00,0.295
1755820808,2025-08-22T00:00:08+00:00,0.365
1755907205,2025-08-23T00:00:05+00:00,0.185
1755993611,2025-08-24T00:00:11+00:00,0.185
1756080013,2025-08-25T00:00:13+00:00,0.145
1756166403,2025-08-26T00:00:03+00:00,0.205
1756252811,2025-08-27T00:00:11+00:00,0.175
1756339204,2025-08-28T00:00:04+00:00,0.165
1756425615,2025-08-29T00:00:15+00:00,0.175
1756512010,2025-08-30T00:00:10+00:00,0.145
1756598416,2025-08-31T00:00:16+00:00,0.145
1756684812,2025-09-01T00:00:12+00:00,0.145
1756771211,2025-09-02T00:00:11+00:00,0.135
1756857611,2025-09-03T00:00:11+00:00,0.125
1756944010,2025-09-04T00:00:10+00:00,0.085
1757030404,2025-09-05T00:00:04+00:00,0.065
1757116821,2025-09-06T00:00:21+00:00,0.019
1757203214,2025-09-07T00:00:14+00:00,0.029
1757289615,2025-09-08T00:00:15+00:00,0.037
1757376016,2025-09-09T00:00:16+00:00,0.0315
1757462414,2025-09-10T00:00:14+00:00,0.0395
1757548814,2025-09-11T00:00:14+00:00,0.0265
1757635214,2025-09-12T00:00:14+00:00,0.0245
1757721607,2025-09-13T00:00:07+00:00,0.023
1757808013,2025-09-14T00:00:13+00:00,0.021
1757894410,2025-09-15T00:00:10+00:00,0.0275
1757980820,2025-09-16T00:00:20+00:00,0.024
1758067207,2025-09-17T00:00:07+00:00,0.0155
