datetime_utc,decreases_25_september_2025_no,decreases_25_september_2025_yes,decreases_50_september_2025_no,decreases_50_september_2025_yes,increases_25_september_2025_no,increases_25_september_2025_yes,no_change_september_2025_no,no_change_september_2025_yes
2025-05-08,0.48,0.52,0.964,0.036,0.98,0.02,0.575,0.425
2025-05-09,0.52,0.48,0.883,0.117,0.9715,0.0285,0.615,0.385
2025-05-10,0.495,0.505,0.9015,0.0985,0.9705,0.0295,0.61,0.39
2025-05-11,0.5,0.5,0.901,0.099,0.9845,0.0155,0.6,0.4
2025-05-12,0.525,0.475,0.92,0.08,0.9825,0.0175,0.565,0.435
2025-05-13,0.59,0.41,0.938,0.062,0.9795,0.0205,0.48,0.52
2025-05-14,0.595,0.405,0.945,0.055,0.96,0.04,0.485,0.515
2025-05-15,0.615,0.385,0.952,0.048,0.962,0.038,0.46,0.54
2025-05-16,0.615,0.385,0.9475,0.0525,0.965,0.035,0.465,0.535
2025-05-17,0.625,0.375,0.9475,0.0525,0.965,0.035,0.455,0.545
2025-05-18,0.615,0.385,0.9475,0.0525,0.965,0.035,0.465,0.535
2025-05-19,0.635,0.365,0.9485,0.0515,0.9635,0.0365,0.445,0.555
2025-05-20,0.67,0.33,0.953,0.047,0.974,0.026,0.405,0.595
2025-05-21,0.665,0.335,0.949,0.051,0.9705,0.0295,0.405,0.595
2025-05-22,0.68,0.32,0.9555,0.0445,0.955,0.045,0.4,0.6
2025-05-23,0.655,0.345,0.955,0.045,0.9595,0.0405,0.425,0.575
2025-05-24,0.655,0.345,0.9645,0.0355,0.9645,0.0355,0.405,0.595
2025-05-25,0.665,0.335,0.9615,0.0385,0.9615,0.0385,0.405,0.595
2025-05-26,0.735,0.265,0.9655,0.0345,0.9645,0.0355,0.335,0.665
2025-05-27,0.745,0.255,0.966,0.034,0.9645,0.0355,0.315,0.685
2025-05-28,0.735,0.265,0.9685,0.0315,0.9705,0.0295,0.315,0.685
2025-05-29,0.755,0.245,0.9695,0.0305,0.971,0.029,0.32,0.68
2025-05-30,0.73,0.27,0.968,0.032,0.971,0.029,0.335,0.665
2025-05-31,0.665,0.335,0.965,0.035,0.9725,0.0275,0.395,0.605
2025-06-01,0.665,0.335,0.964,0.036,0.973,0.027,0.395,0.605
2025-06-02,0.65,0.35,0.9645,0.0355,0.974,0.026,0.4,0.6
2025-06-03,0.645,0.355,0.9645,0.0355,0.9755,0.0245,0.405,0.595
2025-06-04,0.645,0.355,0.955,0.045,0.9815,0.0185,0.415,0.585
2025-06-05,0.615,0.385,0.9635,0.0365,0.986,0.014,0.425,0.575
2025-06-06,0.505,0.495,0.9655,0.0345,0.9865,0.0135,0.535,0.465
2025-06-07,0.62,0.38,0.9585,0.0415,0.9915,0.0085,0.425,0.575
2025-06-08,0.65,0.35,0.9625,0.0375,0.9905,0.0095,0.39,0.61
2025-06-09,0.635,0.365,0.9675,0.0325,0.9915,0.0085,0.395,0.605
2025-06-10,0.635,0.365,0.964,0.036,0.9905,0.0095,0.405,0.595
2025-06-11,0.64,0.36,0.9655,0.0345,0.9905,0.0095,0.405,0.595
2025-06-12,0.595,0.405,0.966,0.034,0.9915,0.0085,0.455,0.545
2025-06-13,0.56,0.44,0.965,0.035,0.9935,0.0065,0.475,0.525
2025-06-14,0.575,0.425,0.9635,0.0365,0.9925,0.0075,0.48,0.52
2025-06-15,0.585,0.415,0.9595,0.0405,0.99,0.01,0.48,0.52
2025-06-16,0.57,0.43,0.964,0.036,0.989,0.011,0.47,0.53
2025-06-17,0.61,0.39,0.963,0.037,0.9885,0.0115,0.45,0.55
2025-06-18,0.605,0.395,0.9595,0.0405,0.9885,0.0115,0.44,0.56
2025-06-19,0.56,0.44,0.9625,0.0375,0.9885,0.0115,0.49,0.51
2025-06-20,0.58,0.42,0.964,0.036,0.991,0.009,0.465,0.535
2025-06-21,0.595,0.405,0.969,0.031,0.993,0.007,0.445,0.555
2025-06-22,0.585,0.415,0.9725,0.0275,0.9925,0.0075,0.45,0.55
2025-06-23,0.57,0.43,0.9655,0.0345,0.9915,0.0085,0.47,0.53
2025-06-24,0.545,0.455,0.963,0.037,0.9915,0.0085,0.505,0.495
2025-06-25,0.505,0.495,0.96,0.04,0.9935,0.0065,0.545,0.455
2025-06-26,0.43,0.57,0.9435,0.0565,0.9935,0.0065,0.685,0.315
2025-06-27,0.445,0.555,0.9305,0.0695,0.9935,0.0065,0.625,0.375
2025-06-28,0.405,0.595,0.941,0.059,0.991,0.009,0.655,0.345
2025-06-29,0.395,0.605,0.943,0.057,0.9915,0.0085,0.665,0.335
2025-06-30,0.405,0.595,0.946,0.054,0.9915,0.0085,0.66,0.34
2025-07-01,0.41,0.59,0.9255,0.0745,0.992,0.008,0.66,0.34
2025-07-02,0.395,0.605,0.934,0.066,0.9935,0.0065,0.675,0.325
2025-07-03,0.38,0.62,0.9345,0.0655,0.9915,0.0085,0.69,0.31
2025-07-04,0.545,0.455,0.9455,0.0545,0.992,0.008,0.525,0.475
2025-07-05,0.49,0.51,0.9455,0.0545,0.991,0.009,0.57,0.43
2025-07-06,0.495,0.505,0.9515,0.0485,0.9915,0.0085,0.57,0.43
2025-07-07,0.5,0.5,0.949,0.051,0.9915,0.0085,0.57,0.43
2025-07-08,0.51,0.49,0.9425,0.0575,0.9905,0.0095,0.565,0.435
2025-07-09,0.505,0.495,0.9325,0.0675,0.9905,0.0095,0.565,0.435
2025-07-10,0.525,0.475,0.9415,0.0585,0.9925,0.0075,0.535,0.465
2025-07-11,0.51,0.49,0.9415,0.0585,0.992,0.008,0.55,0.45
2025-07-12,0.525,0.475,0.94,0.06,0.9895,0.0105,0.535,0.465
2025-07-13,0.51,0.49,0.949,0.051,0.99,0.01,0.54,0.46
2025-07-14,0.52,0.48,0.9145,0.0855,0.9915,0.0085,0.565,0.435
2025-07-15,0.575,0.425,0.9225,0.0775,0.9915,0.0085,0.525,0.475
2025-07-16,0.605,0.395,0.944,0.056,0.9885,0.0115,0.455,0.545
2025-07-17,0.605,0.395,0.944,0.056,0.9905,0.0095,0.46,0.54
