timestamp_unix,datetime_utc,decreases_25_january_2025_yes
1731024002,2024-11-08T00:00:02+00:00,0.435
1731110403,2024-11-09T00:00:03+00:00,0.5
1731196802,2024-11-10T00:00:02+00:00,0.455
1731283202,2024-11-11T00:00:02+00:00,0.44
1731369602,2024-11-12T00:00:02+00:00,0.445
1731456003,2024-11-13T00:00:03+00:00,0.41
1731542403,2024-11-14T00:00:03+00:00,0.385
1731628803,2024-11-15T00:00:03+00:00,0.265
1731715203,2024-11-16T00:00:03+00:00,0.275
1731801603,2024-11-17T00:00:03+00:00,0.275
1731888003,2024-11-18T00:00:03+00:00,0.29
1731974403,2024-11-19T00:00:03+00:00,0.315
1732060803,2024-11-20T00:00:03+00:00,0.305
1732147203,2024-11-21T00:00:03+00:00,0.31
1732233603,2024-11-22T00:00:03+00:00,0.305
1732320004,2024-11-23T00:00:04+00:00,0.3
1732406403,2024-11-24T00:00:03+00:00,0.295
1732492803,2024-11-25T00:00:03+00:00,0.305
1732579204,2024-11-26T00:00:04+00:00,0.3
1732665603,2024-11-27T00:00:03+00:00,0.295
1732752003,2024-11-28T00:00:03+00:00,0.29
1732838404,2024-11-29T00:00:04+00:00,0.29
1732924803,2024-11-30T00:00:03+00:00,0.29
1733011203,2024-12-01T00:00:03+00:00,0.285
1733097603,2024-12-02T00:00:03+00:00,0.29
1733184003,2024-12-03T00:00:03+00:00,0.29
1733270403,2024-12-04T00:00:03+00:00,0.295
1733356803,2024-12-05T00:00:03+00:00,0.305
1733443203,2024-12-06T00:00:03+00:00,0.285
1733529603,2024-12-07T00:00:03+00:00,0.305
1733616003,2024-12-08T00:00:03+00:00,0.305
1733702402,2024-12-09T00:00:02+00:00,0.305
1733788803,2024-12-10T00:00:03+00:00,0.295
1733875203,2024-12-11T00:00:03+00:00,0.275
1733961603,2024-12-12T00:00:03+00:00,0.245
1734048003,2024-12-13T00:00:03+00:00,0.24
1734134403,2024-12-14T00:00:03+00:00,0.225
1734220803,2024-12-15T00:00:03+00:00,0.245
1734307203,2024-12-16T00:00:03+00:00,0.215
1734393604,2024-12-17T00:00:04+00:00,0.175
1734480003,2024-12-18T00:00:03+00:00,0.165
1734566403,2024-12-19T00:00:03+00:00,0.085
1734652804,2024-12-20T00:00:04+00:00,0.08
1734739203,2024-12-21T00:00:03+00:00,0.095
1734825604,2024-12-22T00:00:04+00:00,0.095
1734912004,2024-12-23T00:00:04+00:00,0.095
1734998403,2024-12-24T00:00:03+00:00,0.085
1735084803,2024-12-25T00:00:03+00:00,0.085
1735171204,2024-12-26T00:00:04+00:00,0.085
1735257603,2024-12-27T00:00:03+00:00,0.085
1735344003,2024-12-28T00:00:03+00:00,0.095
1735430403,2024-12-29T00:00:03+00:00,0.095
1735516803,2024-12-30T00:00:03+00:00,0.085
1735603204,2024-12-31T00:00:04+00:00,0.085
1735689604,2025-01-01T00:00:04+00:00,0.085
1735776003,2025-01-02T00:00:03+00:00,0.085
1735862404,2025-01-03T00:00:04+00:00,0.085
1735948803,2025-01-04T00:00:03+00:00,0.085
1736035203,2025-01-05T00:00:03+00:00,0.085
1736121603,2025-01-06T00:00:03+00:00,0.085
1736208004,2025-01-07T00:00:04+00:00,0.085
1736294403,2025-01-08T00:00:03+00:00,0.075
1736380803,2025-01-09T00:00:03+00:00,0.055
1736467204,2025-01-10T00:00:04+00:00,0.055
1736553604,2025-01-11T00:00:04+00:00,0.0195
1736640004,2025-01-12T00:00:04+00:00,0.021
1736726404,2025-01-13T00:00:04+00:00,0.0315
1736812803,2025-01-14T00:00:03+00:00,0.0285
1736899203,2025-01-15T00:00:03+00:00,0.0295
1736985604,2025-01-16T00:00:04+00:00,0.031
1737072004,2025-01-17T00:00:04+00:00,0.024
1737158404,2025-01-18T00:00:04+00:00,0.03
1737244804,2025-01-19T00:00:04+00:00,0.027
1737331204,2025-01-20T00:00:04+00:00,0.029
1737417603,2025-01-21T00:00:03+00:00,0.0105
1737504003,2025-01-22T00:00:03+00:00,0.018
1737590404,2025-01-23T00:00:04+00:00,0.009
1737676803,2025-01-24T00:00:03+00:00,0.0105
1737763205,2025-01-25T00:00:05+00:00,0.011
1737849604,2025-01-26T00:00:04+00:00,0.015
1737936004,2025-01-27T00:00:04+00:00,0.0195
1738022404,2025-01-28T00:00:04+00:00,0.019
1738108804,2025-01-29T00:00:04+00:00,0.0125
