datetime_utc,decreases_25_january_2025_no,decreases_25_january_2025_yes,decreases_50_january_2025_no,decreases_50_january_2025_yes,decreases_75_january_2025_no,decreases_75_january_2025_yes,increases_25_january_2025_no,increases_25_january_2025_yes,no_change_january_2025_no,no_change_january_2025_yes
2024-11-08,0.565,0.435,0.88,0.12,0.92,0.08,0.89,0.11,0.63,0.37
2024-11-09,0.5,0.5,0.935,0.065,0.9885,0.0115,0.991,0.009,0.585,0.415
2024-11-10,0.545,0.455,0.945,0.055,0.988,0.012,0.9925,0.0075,0.545,0.455
2024-11-11,0.56,0.44,0.945,0.055,0.9875,0.0125,0.9925,0.0075,0.515,0.485
2024-11-12,0.555,0.445,0.945,0.055,0.9865,0.0135,0.9905,0.0095,0.51,0.49
2024-11-13,0.59,0.41,0.945,0.055,0.9875,0.0125,0.989,0.011,0.485,0.515
2024-11-14,0.615,0.385,0.955,0.045,0.9885,0.0115,0.9905,0.0095,0.475,0.525
2024-11-15,0.735,0.265,0.945,0.055,0.9905,0.0095,0.9895,0.0105,0.385,0.615
2024-11-16,0.725,0.275,0.945,0.055,0.9885,0.0115,0.9885,0.0115,0.375,0.625
2024-11-17,0.725,0.275,0.945,0.055,0.988,0.012,0.9885,0.0115,0.38,0.62
2024-11-18,0.71,0.29,0.945,0.055,0.987,0.013,0.989,0.011,0.385,0.615
2024-11-19,0.685,0.315,0.935,0.065,0.9875,0.0125,0.989,0.011,0.395,0.605
2024-11-20,0.695,0.305,0.945,0.055,0.9885,0.0115,0.989,0.011,0.38,0.62
2024-11-21,0.69,0.31,0.945,0.055,0.9885,0.0115,0.988,0.012,0.375,0.625
2024-11-22,0.695,0.305,0.945,0.055,0.9895,0.0105,0.989,0.011,0.365,0.635
2024-11-23,0.7,0.3,0.945,0.055,0.989,0.011,0.988,0.012,0.37,0.63
2024-11-24,0.705,0.295,0.945,0.055,0.9895,0.0105,0.9885,0.0115,0.37,0.63
2024-11-25,0.695,0.305,0.9535,0.0465,0.9895,0.0105,0.989,0.011,0.365,0.635
2024-11-26,0.7,0.3,0.953,0.047,0.99,0.01,0.9885,0.0115,0.355,0.645
2024-11-27,0.705,0.295,0.947,0.053,0.987,0.013,0.9885,0.0115,0.365,0.635
2024-11-28,0.71,0.29,0.946,0.054,0.989,0.011,0.9885,0.0115,0.36,0.64
2024-11-29,0.71,0.29,0.946,0.054,0.984,0.016,0.9895,0.0105,0.36,0.64
2024-11-30,0.71,0.29,0.9495,0.0505,0.9855,0.0145,0.9895,0.0105,0.355,0.645
2024-12-01,0.715,0.285,0.948,0.052,0.986,0.014,0.9895,0.0105,0.355,0.645
2024-12-02,0.71,0.29,0.956,0.044,0.987,0.013,0.9895,0.0105,0.365,0.635
2024-12-03,0.71,0.29,0.956,0.044,0.9865,0.0135,0.9895,0.0105,0.35,0.65
2024-12-04,0.705,0.295,0.96,0.04,0.9865,0.0135,0.991,0.009,0.345,0.655
2024-12-05,0.695,0.305,0.9585,0.0415,0.985,0.015,0.9865,0.0135,0.36,0.64
2024-12-06,0.715,0.285,0.955,0.045,0.984,0.016,0.991,0.009,0.37,0.63
2024-12-07,0.695,0.305,0.952,0.048,0.9845,0.0155,0.9905,0.0095,0.395,0.605
2024-12-08,0.695,0.305,0.9525,0.0475,0.9855,0.0145,0.9915,0.0085,0.385,0.615
2024-12-09,0.695,0.305,0.9525,0.0475,0.9855,0.0145,0.9915,0.0085,0.385,0.615
2024-12-10,0.705,0.295,0.949,0.051,0.9835,0.0165,0.9895,0.0105,0.365,0.635
2024-12-11,0.725,0.275,0.959,0.041,0.984,0.016,0.9895,0.0105,0.34,0.66
2024-12-12,0.755,0.245,0.9655,0.0345,0.986,0.014,0.989,0.011,0.295,0.705
2024-12-13,0.76,0.24,0.9785,0.0215,0.987,0.013,0.9905,0.0095,0.28,0.72
2024-12-14,0.775,0.225,0.9725,0.0275,0.9885,0.0115,0.99,0.01,0.27,0.73
2024-12-15,0.755,0.245,0.976,0.024,0.9885,0.0115,0.991,0.009,0.285,0.715
2024-12-16,0.785,0.215,0.974,0.026,0.9915,0.0085,0.992,0.008,0.27,0.73
2024-12-17,0.825,0.175,0.958,0.042,0.9905,0.0095,0.9925,0.0075,0.225,0.775
2024-12-18,0.835,0.165,0.9645,0.0355,0.9905,0.0095,0.9935,0.0065,0.205,0.795
2024-12-19,0.915,0.085,0.981,0.019,0.993,0.007,0.994,0.006,0.115,0.885
2024-12-20,0.92,0.08,0.984,0.016,0.993,0.007,0.99,0.01,0.115,0.885
2024-12-21,0.905,0.095,0.9825,0.0175,0.9935,0.0065,0.986,0.014,0.12,0.88
2024-12-22,0.905,0.095,0.9835,0.0165,0.9945,0.0055,0.9905,0.0095,0.115,0.885
2024-12-23,0.905,0.095,0.98,0.02,0.9955,0.0045,0.9905,0.0095,0.12,0.88
2024-12-24,0.915,0.085,0.978,0.022,0.9955,0.0045,0.9935,0.0065,0.115,0.885
2024-12-25,0.915,0.085,0.9805,0.0195,0.9955,0.0045,0.9945,0.0055,0.105,0.895
2024-12-26,0.915,0.085,0.991,0.009,0.9955,0.0045,0.9945,0.0055,0.105,0.895
2024-12-27,0.915,0.085,0.9885,0.0115,0.9955,0.0045,0.9955,0.0045,0.105,0.895
2024-12-28,0.905,0.095,0.9885,0.0115,0.9955,0.0045,0.9955,0.0045,0.105,0.895
2024-12-29,0.905,0.095,0.989,0.011,0.9955,0.0045,0.9955,0.0045,0.105,0.895
2024-12-30,0.915,0.085,0.99,0.01,0.9955,0.0045,0.994,0.006,0.095,0.905
2024-12-31,0.915,0.085,0.9915,0.0085,0.9955,0.0045,0.995,0.005,0.095,0.905
2025-01-01,0.915,0.085,0.9935,0.0065,0.9955,0.0045,0.9955,0.0045,0.095,0.905
2025-01-02,0.915,0.085,0.9965,0.0035,0.9965,0.0035,0.9955,0.0045,0.085,0.915
2025-01-03,0.915,0.085,0.9965,0.0035,0.9965,0.0035,0.9965,0.0035,0.085,0.915
2025-01-04,0.915,0.085,0.9955,0.0045,0.9955,0.0045,0.9965,0.0035,0.095,0.905
2025-01-05,0.915,0.085,0.9955,0.0045,0.9955,0.0045,0.9965,0.0035,0.095,0.905
2025-01-06,0.915,0.085,0.9945,0.0055,0.9945,0.0055,0.9955,0.0045,0.095,0.905
2025-01-07,0.915,0.085,0.9945,0.0055,0.9945,0.0055,0.9955,0.0045,0.095,0.905
2025-01-08,0.925,0.075,0.9945,0.0055,0.9955,0.0045,0.9955,0.0045,0.085,0.915
2025-01-09,0.945,0.055,0.9945,0.0055,0.9955,0.0045,0.9955,0.0045,0.065,0.935
2025-01-10,0.945,0.055,0.9945,0.0055,0.9955,0.0045,0.9955,0.0045,0.065,0.935
2025-01-11,0.9805,0.0195,0.9965,0.0035,0.9965,0.0035,0.9955,0.0045,0.0285,0.9715
2025-01-12,0.979,0.021,0.9975,0.0025,0.9975,0.0025,0.9955,0.0045,0.0285,0.9715
2025-01-13,0.9685,0.0315,0.9985,0.0015,0.9985,0.0015,0.9955,0.0045,0.036,0.964
2025-01-14,0.9715,0.0285,0.9985,0.0015,0.9985,0.0015,0.9955,0.0045,0.036,0.964
2025-01-15,0.9705,0.0295,0.9975,0.0025,0.9985,0.0015,0.9965,0.0035,0.035,0.965
2025-01-16,0.969,0.031,0.9985,0.0015,0.9985,0.0015,0.9965,0.0035,0.035,0.965
2025-01-17,0.976,0.024,0.9975,0.0025,0.9985,0.0015,0.9965,0.0035,0.029,0.971
2025-01-18,0.97,0.03,0.9985,0.0015,0.9985,0.0015,0.9965,0.0035,0.036,0.964
2025-01-19,0.973,0.027,0.9985,0.0015,0.9985,0.0015,0.9965,0.0035,0.0375,0.9625
2025-01-20,0.971,0.029,0.9975,0.0025,0.9985,0.0015,0.9965,0.0035,0.048,0.952
2025-01-21,0.9895,0.0105,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025,0.015,0.985
2025-01-22,0.982,0.018,0.9975,0.0025,0.9985,0.0015,0.9975,0.0025,0.0225,0.9775
2025-01-23,0.991,0.009,0.9995,0.0005,0.9985,0.0015,0.9985,0.0015,0.012,0.988
2025-01-24,0.9895,0.0105,0.9985,0.0015,0.9995,0.0005,0.9985,0.0015,0.0115,0.9885
2025-01-25,0.989,0.011,0.9985,0.0015,0.9995,0.0005,0.9985,0.0015,0.0125,0.9875
2025-01-26,0.985,0.015,0.9985,0.0015,0.9985,0.0015,0.9985,0.0015,0.0175,0.9825
2025-01-27,0.9805,0.0195,0.9985,0.0015,0.9995,0.0005,0.9985,0.0015,0.021,0.979
