timestamp_unix,datetime_utc,increases_25_april_2026_no
1763078416,2025-11-14T00:00:16+00:00,0.95
1763164820,2025-11-15T00:00:20+00:00,0.955
1763251213,2025-11-16T00:00:13+00:00,0.945
1763337617,2025-11-17T00:00:17+00:00,0.95
1763424014,2025-11-18T00:00:14+00:00,0.95
1763510420,2025-11-19T00:00:20+00:00,0.95
1763596813,2025-11-20T00:00:13+00:00,0.955
1763683222,2025-11-21T00:00:22+00:00,0.955
1763769614,2025-11-22T00:00:14+00:00,0.945
1763856015,2025-11-23T00:00:15+00:00,0.945
1763942414,2025-11-24T00:00:14+00:00,0.95
1764028818,2025-11-25T00:00:18+00:00,0.955
1764115215,2025-11-26T00:00:15+00:00,0.955
1764201618,2025-11-27T00:00:18+00:00,0.96
1764288017,2025-11-28T00:00:17+00:00,0.96
1764374423,2025-11-29T00:00:23+00:00,0.96
1764460817,2025-11-30T00:00:17+00:00,0.965
1764547220,2025-12-01T00:00:20+00:00,0.9645
1764633613,2025-12-02T00:00:13+00:00,0.964
1764720021,2025-12-03T00:00:21+00:00,0.9645
1764806414,2025-12-04T00:00:14+00:00,0.9645
1764892816,2025-12-05T00:00:16+00:00,0.96
1764979216,2025-12-06T00:00:16+00:00,0.96
1765065629,2025-12-07T00:00:29+00:00,0.9615
1765152029,2025-12-08T00:00:29+00:00,0.96
1765238426,2025-12-09T00:00:26+00:00,0.958
1765324814,2025-12-10T00:00:14+00:00,0.958
1765411215,2025-12-11T00:00:15+00:00,0.973
1765497615,2025-12-12T00:00:15+00:00,0.966
1765584017,2025-12-13T00:00:17+00:00,0.964
1765670418,2025-12-14T00:00:18+00:00,0.9705
1765756819,2025-12-15T00:00:19+00:00,0.9675
1765843216,2025-12-16T00:00:16+00:00,0.9705
1765929613,2025-12-17T00:00:13+00:00,0.967
1765929635,2025-12-17T00:00:35+00:00,0.967
1766016024,2025-12-18T00:00:24+00:00,0.969
1766102415,2025-12-19T00:00:15+00:00,0.97
1766188815,2025-12-20T00:00:15+00:00,0.974
1766275216,2025-12-21T00:00:16+00:00,0.974
1766361615,2025-12-22T00:00:15+00:00,0.974
1766448017,2025-12-23T00:00:17+00:00,0.9725
1766534417,2025-12-24T00:00:17+00:00,0.967
1766620827,2025-12-25T00:00:27+00:00,0.969
1766707213,2025-12-26T00:00:13+00:00,0.969
1766793616,2025-12-27T00:00:16+00:00,0.9695
1766880017,2025-12-28T00:00:17+00:00,0.969
1766966433,2025-12-29T00:00:33+00:00,0.9675
1767052820,2025-12-30T00:00:20+00:00,0.9665
1767139217,2025-12-31T00:00:17+00:00,0.9745
1767225617,2026-01-01T00:00:17+00:00,0.9775
