timestamp_unix,datetime_utc,increases_25_april_2026_yes
1763078405,2025-11-14T00:00:05+00:00,0.05
1763164805,2025-11-15T00:00:05+00:00,0.045
1763251205,2025-11-16T00:00:05+00:00,0.055
1763337604,2025-11-17T00:00:04+00:00,0.05
1763424005,2025-11-18T00:00:05+00:00,0.05
1763510405,2025-11-19T00:00:05+00:00,0.05
1763596805,2025-11-20T00:00:05+00:00,0.045
1763683205,2025-11-21T00:00:05+00:00,0.045
1763769605,2025-11-22T00:00:05+00:00,0.055
1763856005,2025-11-23T00:00:05+00:00,0.055
1763942408,2025-11-24T00:00:08+00:00,0.05
1764028805,2025-11-25T00:00:05+00:00,0.045
1764115206,2025-11-26T00:00:06+00:00,0.045
1764201605,2025-11-27T00:00:05+00:00,0.04
1764288006,2025-11-28T00:00:06+00:00,0.04
1764374406,2025-11-29T00:00:06+00:00,0.04
1764460806,2025-11-30T00:00:06+00:00,0.035
1764547205,2025-12-01T00:00:05+00:00,0.0355
1764633605,2025-12-02T00:00:05+00:00,0.036
1764720006,2025-12-03T00:00:06+00:00,0.0355
1764806406,2025-12-04T00:00:06+00:00,0.0355
1764892806,2025-12-05T00:00:06+00:00,0.04
1764979206,2025-12-06T00:00:06+00:00,0.04
1765065619,2025-12-07T00:00:19+00:00,0.0385
1765152018,2025-12-08T00:00:18+00:00,0.04
1765238417,2025-12-09T00:00:17+00:00,0.042
1765324806,2025-12-10T00:00:06+00:00,0.042
1765411207,2025-12-11T00:00:07+00:00,0.027
1765497606,2025-12-12T00:00:06+00:00,0.034
1765584007,2025-12-13T00:00:07+00:00,0.036
1765670406,2025-12-14T00:00:06+00:00,0.0295
1765756806,2025-12-15T00:00:06+00:00,0.0325
1765843205,2025-12-16T00:00:05+00:00,0.0295
1765929602,2025-12-17T00:00:02+00:00,0.033
1765929630,2025-12-17T00:00:30+00:00,0.033
1766016017,2025-12-18T00:00:17+00:00,0.031
1766102408,2025-12-19T00:00:08+00:00,0.03
1766188807,2025-12-20T00:00:07+00:00,0.026
1766275207,2025-12-21T00:00:07+00:00,0.026
1766361606,2025-12-22T00:00:06+00:00,0.026
1766448007,2025-12-23T00:00:07+00:00,0.0275
1766534407,2025-12-24T00:00:07+00:00,0.033
1766620817,2025-12-25T00:00:17+00:00,0.031
1766707207,2025-12-26T00:00:07+00:00,0.031
1766793609,2025-12-27T00:00:09+00:00,0.0305
1766880008,2025-12-28T00:00:08+00:00,0.031
1766966424,2025-12-29T00:00:24+00:00,0.0325
1767052812,2025-12-30T00:00:12+00:00,0.0335
1767139207,2025-12-31T00:00:07+00:00,0.0255
1767225608,2026-01-01T00:00:08+00:00,0.0225
1767312008,2026-01-02T00:00:08+00:00,0.022
1767398408,2026-01-03T00:00:08+00:00,0.022
1767484808,2026-01-04T00:00:08+00:00,0.0185
1767571209,2026-01-05T00:00:09+00:00,0.0175
1767657611,2026-01-06T00:00:11+00:00,0.0125
1767744009,2026-01-07T00:00:09+00:00,0.015
1767830424,2026-01-08T00:00:24+00:00,0.0155
1767916808,2026-01-09T00:00:08+00:00,0.0175
1768003209,2026-01-10T00:00:09+00:00,0.018
1768089609,2026-01-11T00:00:09+00:00,0.019
1768176011,2026-01-12T00:00:11+00:00,0.0115
1768262410,2026-01-13T00:00:10+00:00,0.013
1768348809,2026-01-14T00:00:09+00:00,0.0105
1768435210,2026-01-15T00:00:10+00:00,0.014
1768521612,2026-01-16T00:00:12+00:00,0.0165
1768608011,2026-01-17T00:00:11+00:00,0.0175
1768694410,2026-01-18T00:00:10+00:00,0.015
1768780809,2026-01-19T00:00:09+00:00,0.015
1768867211,2026-01-20T00:00:11+00:00,0.0135
1768953610,2026-01-21T00:00:10+00:00,0.018
1769040011,2026-01-22T00:00:11+00:00,0.016
1769126425,2026-01-23T00:00:25+00:00,0.0135
1769212813,2026-01-24T00:00:13+00:00,0.014
1769299226,2026-01-25T00:00:26+00:00,0.0115
1769385623,2026-01-26T00:00:23+00:00,0.0135
1769472021,2026-01-27T00:00:21+00:00,0.025
1769558413,2026-01-28T00:00:13+00:00,0.0325
1769644827,2026-01-29T00:00:27+00:00,0.0185
1769731213,2026-01-30T00:00:13+00:00,0.018
1769817612,2026-01-31T00:00:12+00:00,0.012
1769904016,2026-02-01T00:00:16+00:00,0.016
1769990412,2026-02-02T00:00:12+00:00,0.0245
1770076811,2026-02-03T00:00:11+00:00,0.022
1770163225,2026-02-04T00:00:25+00:00,0.0165
1770249612,2026-02-05T00:00:12+00:00,0.0165
1770336012,2026-02-06T00:00:12+00:00,0.0175
1770422416,2026-02-07T00:00:16+00:00,0.017
1770508814,2026-02-08T00:00:14+00:00,0.0165
1770595213,2026-02-09T00:00:13+00:00,0.017
1770681614,2026-02-10T00:00:14+00:00,0.0175
1770768013,2026-02-11T00:00:13+00:00,0.0165
1770854427,2026-02-12T00:00:27+00:00,0.015
1770940812,2026-02-13T00:00:12+00:00,0.0165
1771027216,2026-02-14T00:00:16+00:00,0.0115
1771113613,2026-02-15T00:00:13+00:00,0.0115
1771200025,2026-02-16T00:00:25+00:00,0.0125
1771286415,2026-02-17T00:00:15+00:00,0.0125
1771372815,2026-02-18T00:00:15+00:00,0.0115
1771459215,2026-02-19T00:00:15+00:00,0.0115
1771545618,2026-02-20T00:00:18+00:00,0.0115
1771632016,2026-02-21T00:00:16+00:00,0.0115
1771718417,2026-02-22T00:00:17+00:00,0.0115
1771804816,2026-02-23T00:00:16+00:00,0.0115
1771891214,2026-02-24T00:00:14+00:00,0.0115
1771977616,2026-02-25T00:00:16+00:00,0.0115
1772064017,2026-02-26T00:00:17+00:00,0.0115
1772150419,2026-02-27T00:00:19+00:00,0.012
1772236823,2026-02-28T00:00:23+00:00,0.0115
1772323222,2026-03-01T00:00:22+00:00,0.0115
1772409634,2026-03-02T00:00:34+00:00,0.0115
1772496021,2026-03-03T00:00:21+00:00,0.0125
1772582423,2026-03-04T00:00:23+00:00,0.016
1772668822,2026-03-05T00:00:22+00:00,0.0165
1772755221,2026-03-06T00:00:21+00:00,0.035
1772841624,2026-03-07T00:00:24+00:00,0.0145
1772928022,2026-03-08T00:00:22+00:00,0.0165
1773014417,2026-03-09T00:00:17+00:00,0.0245
1773100821,2026-03-10T00:00:21+00:00,0.021
1773187223,2026-03-11T00:00:23+00:00,0.0165
