timestamp_unix,datetime_utc,no_change_april_2026_yes
1763078424,2025-11-14T00:00:24+00:00,0.63
1763164830,2025-11-15T00:00:30+00:00,0.62
1763251219,2025-11-16T00:00:19+00:00,0.62
1763337626,2025-11-17T00:00:26+00:00,0.6
1763424019,2025-11-18T00:00:19+00:00,0.595
1763510429,2025-11-19T00:00:29+00:00,0.595
1763596819,2025-11-20T00:00:19+00:00,0.61
1763683233,2025-11-21T00:00:33+00:00,0.61
1763769620,2025-11-22T00:00:20+00:00,0.61
1763856022,2025-11-23T00:00:22+00:00,0.605
1763942417,2025-11-24T00:00:17+00:00,0.6
1764028827,2025-11-25T00:00:27+00:00,0.6
1764115221,2025-11-26T00:00:21+00:00,0.6
1764201627,2025-11-27T00:00:27+00:00,0.59
1764288025,2025-11-28T00:00:25+00:00,0.59
1764374435,2025-11-29T00:00:35+00:00,0.58
1764460825,2025-11-30T00:00:25+00:00,0.48
1764547230,2025-12-01T00:00:30+00:00,0.495
1764633619,2025-12-02T00:00:19+00:00,0.465
1764720030,2025-12-03T00:00:30+00:00,0.515
1764806419,2025-12-04T00:00:19+00:00,0.475
1764892821,2025-12-05T00:00:21+00:00,0.475
1764979222,2025-12-06T00:00:22+00:00,0.48
1765065635,2025-12-07T00:00:35+00:00,0.51
1765152034,2025-12-08T00:00:34+00:00,0.49
1765238431,2025-12-09T00:00:31+00:00,0.455
1765324818,2025-12-10T00:00:18+00:00,0.565
1765411219,2025-12-11T00:00:19+00:00,0.625
1765497620,2025-12-12T00:00:20+00:00,0.59
1765584023,2025-12-13T00:00:23+00:00,0.64
1765670424,2025-12-14T00:00:24+00:00,0.61
1765756827,2025-12-15T00:00:27+00:00,0.595
1765843222,2025-12-16T00:00:22+00:00,0.6
1765929619,2025-12-17T00:00:19+00:00,0.6
1765929638,2025-12-17T00:00:38+00:00,0.6
1766016029,2025-12-18T00:00:29+00:00,0.6
1766102420,2025-12-19T00:00:20+00:00,0.63
1766188821,2025-12-20T00:00:21+00:00,0.615
1766275222,2025-12-21T00:00:22+00:00,0.605
1766361621,2025-12-22T00:00:21+00:00,0.61
1766448024,2025-12-23T00:00:24+00:00,0.625
1766534423,2025-12-24T00:00:23+00:00,0.625
1766620833,2025-12-25T00:00:33+00:00,0.655
1766707217,2025-12-26T00:00:17+00:00,0.655
1766793621,2025-12-27T00:00:21+00:00,0.65
1766880022,2025-12-28T00:00:22+00:00,0.64
1766966439,2025-12-29T00:00:39+00:00,0.615
1767052826,2025-12-30T00:00:26+00:00,0.61
1767139224,2025-12-31T00:00:24+00:00,0.635
1767225623,2026-01-01T00:00:23+00:00,0.645
1767312022,2026-01-02T00:00:22+00:00,0.56
1767398419,2026-01-03T00:00:19+00:00,0.625
1767484822,2026-01-04T00:00:22+00:00,0.635
1767571225,2026-01-05T00:00:25+00:00,0.635
1767657627,2026-01-06T00:00:27+00:00,0.625
1767744025,2026-01-07T00:00:25+00:00,0.595
1767830441,2026-01-08T00:00:41+00:00,0.61
1767916826,2026-01-09T00:00:26+00:00,0.645
1768003227,2026-01-10T00:00:27+00:00,0.67
1768089622,2026-01-11T00:00:22+00:00,0.675
1768176025,2026-01-12T00:00:25+00:00,0.675
1768262426,2026-01-13T00:00:26+00:00,0.7
1768348828,2026-01-14T00:00:28+00:00,0.69
1768435230,2026-01-15T00:00:30+00:00,0.705
1768521633,2026-01-16T00:00:33+00:00,0.715
1768608030,2026-01-17T00:00:30+00:00,0.715
1768694448,2026-01-18T00:00:48+00:00,0.705
1768780825,2026-01-19T00:00:25+00:00,0.71
1768867227,2026-01-20T00:00:27+00:00,0.715
1768953629,2026-01-21T00:00:29+00:00,0.725
1769040045,2026-01-22T00:00:45+00:00,0.725
1769126446,2026-01-23T00:00:46+00:00,0.72
1769212846,2026-01-24T00:00:46+00:00,0.735
1769299250,2026-01-25T00:00:50+00:00,0.68
1769385649,2026-01-26T00:00:49+00:00,0.71
1769472042,2026-01-27T00:00:42+00:00,0.715
1769558430,2026-01-28T00:00:30+00:00,0.72
1769644846,2026-01-29T00:00:46+00:00,0.76
1769731236,2026-01-30T00:00:36+00:00,0.76
1769817636,2026-01-31T00:00:36+00:00,0.755
1769904044,2026-02-01T00:00:44+00:00,0.765
1769990435,2026-02-02T00:00:35+00:00,0.755
1770076839,2026-02-03T00:00:39+00:00,0.76
1770163248,2026-02-04T00:00:48+00:00,0.775
1770249632,2026-02-05T00:00:32+00:00,0.77
1770336043,2026-02-06T00:00:43+00:00,0.72
1770422453,2026-02-07T00:00:53+00:00,0.725
1770508847,2026-02-08T00:00:47+00:00,0.735
1770595246,2026-02-09T00:00:46+00:00,0.735
1770681649,2026-02-10T00:00:49+00:00,0.725
1770854457,2026-02-12T00:00:57+00:00,0.785
1770940849,2026-02-13T00:00:49+00:00,0.78
