timestamp_unix,datetime_utc,decreases_25_january_2026_no
1758153614,2025-09-18T00:00:14+00:00,0.455
1758240019,2025-09-19T00:00:19+00:00,0.58
1758326402,2025-09-20T00:00:02+00:00,0.62
1758412810,2025-09-21T00:00:10+00:00,0.65
1758499204,2025-09-22T00:00:04+00:00,0.615
1758585612,2025-09-23T00:00:12+00:00,0.615
1758672014,2025-09-24T00:00:14+00:00,0.615
1758758406,2025-09-25T00:00:06+00:00,0.61
1758844811,2025-09-26T00:00:11+00:00,0.63
1758931203,2025-09-27T00:00:03+00:00,0.635
1759017605,2025-09-28T00:00:05+00:00,0.64
1759104007,2025-09-29T00:00:07+00:00,0.635
1759190407,2025-09-30T00:00:07+00:00,0.635
1759276803,2025-10-01T00:00:03+00:00,0.65
1759363207,2025-10-02T00:00:07+00:00,0.645
1759449608,2025-10-03T00:00:08+00:00,0.635
1759536004,2025-10-04T00:00:04+00:00,0.65
1759622407,2025-10-05T00:00:07+00:00,0.695
1759708807,2025-10-06T00:00:07+00:00,0.67
1759795211,2025-10-07T00:00:11+00:00,0.68
1759881613,2025-10-08T00:00:13+00:00,0.71
1759968005,2025-10-09T00:00:05+00:00,0.71
1760054417,2025-10-10T00:00:17+00:00,0.73
1760140806,2025-10-11T00:00:06+00:00,0.715
1760227218,2025-10-12T00:00:18+00:00,0.705
1760313613,2025-10-13T00:00:13+00:00,0.695
1760400015,2025-10-14T00:00:15+00:00,0.69
1760486414,2025-10-15T00:00:14+00:00,0.67
1760572822,2025-10-16T00:00:22+00:00,0.67
1760659214,2025-10-17T00:00:14+00:00,0.645
1760745619,2025-10-18T00:00:19+00:00,0.595
1760832019,2025-10-19T00:00:19+00:00,0.605
1760918411,2025-10-20T00:00:11+00:00,0.615
1761004819,2025-10-21T00:00:19+00:00,0.605
1761091208,2025-10-22T00:00:08+00:00,0.59
1761177607,2025-10-23T00:00:07+00:00,0.575
1761264008,2025-10-24T00:00:08+00:00,0.59
1761350409,2025-10-25T00:00:09+00:00,0.59
1761436809,2025-10-26T00:00:09+00:00,0.61
1761523209,2025-10-27T00:00:09+00:00,0.595
1761609610,2025-10-28T00:00:10+00:00,0.555
1761696009,2025-10-29T00:00:09+00:00,0.585
1761782409,2025-10-30T00:00:09+00:00,0.67
1761868807,2025-10-31T00:00:07+00:00,0.64
1761955209,2025-11-01T00:00:09+00:00,0.74
1762041608,2025-11-02T00:00:08+00:00,0.755
1762128007,2025-11-03T00:00:07+00:00,0.735
1762214409,2025-11-04T00:00:09+00:00,0.745
1762300808,2025-11-05T00:00:08+00:00,0.75
1762387205,2025-11-06T00:00:05+00:00,0.725
1762473608,2025-11-07T00:00:08+00:00,0.71
1762560007,2025-11-08T00:00:07+00:00,0.675
1762646421,2025-11-09T00:00:21+00:00,0.66
1762732806,2025-11-10T00:00:06+00:00,0.63
1762819210,2025-11-11T00:00:10+00:00,0.64
1762905610,2025-11-12T00:00:10+00:00,0.64
1762992008,2025-11-13T00:00:08+00:00,0.645
1763078409,2025-11-14T00:00:09+00:00,0.635
1763164809,2025-11-15T00:00:09+00:00,0.645
1763251208,2025-11-16T00:00:08+00:00,0.66
1763337609,2025-11-17T00:00:09+00:00,0.67
1763424008,2025-11-18T00:00:08+00:00,0.605
1763510409,2025-11-19T00:00:09+00:00,0.56
