timestamp_unix,datetime_utc,decreases_25_january_2026_yes
1758153605,2025-09-18T00:00:05+00:00,0.545
1758240019,2025-09-19T00:00:19+00:00,0.42
1758326417,2025-09-20T00:00:17+00:00,0.38
1758412811,2025-09-21T00:00:11+00:00,0.35
1758499217,2025-09-22T00:00:17+00:00,0.385
1758585607,2025-09-23T00:00:07+00:00,0.385
1758672003,2025-09-24T00:00:03+00:00,0.385
1758758406,2025-09-25T00:00:06+00:00,0.39
1758844811,2025-09-26T00:00:11+00:00,0.37
1758931204,2025-09-27T00:00:04+00:00,0.365
1759017611,2025-09-28T00:00:11+00:00,0.36
1759104006,2025-09-29T00:00:06+00:00,0.365
1759190409,2025-09-30T00:00:09+00:00,0.365
1759276803,2025-10-01T00:00:03+00:00,0.35
1759363210,2025-10-02T00:00:10+00:00,0.355
1759449604,2025-10-03T00:00:04+00:00,0.365
1759536003,2025-10-04T00:00:03+00:00,0.35
1759622405,2025-10-05T00:00:05+00:00,0.305
1759708806,2025-10-06T00:00:06+00:00,0.33
1759795206,2025-10-07T00:00:06+00:00,0.32
1759881611,2025-10-08T00:00:11+00:00,0.29
1759968003,2025-10-09T00:00:03+00:00,0.29
1760054415,2025-10-10T00:00:15+00:00,0.27
1760140815,2025-10-11T00:00:15+00:00,0.285
1760227216,2025-10-12T00:00:16+00:00,0.295
1760313611,2025-10-13T00:00:11+00:00,0.305
1760400010,2025-10-14T00:00:10+00:00,0.31
1760486416,2025-10-15T00:00:16+00:00,0.33
1760572817,2025-10-16T00:00:17+00:00,0.33
1760659204,2025-10-17T00:00:04+00:00,0.355
1760745606,2025-10-18T00:00:06+00:00,0.405
1760832008,2025-10-19T00:00:08+00:00,0.395
1760918422,2025-10-20T00:00:22+00:00,0.385
1761004813,2025-10-21T00:00:13+00:00,0.395
1761091217,2025-10-22T00:00:17+00:00,0.41
1761177609,2025-10-23T00:00:09+00:00,0.425
1761264014,2025-10-24T00:00:14+00:00,0.41
1761350413,2025-10-25T00:00:13+00:00,0.41
1761436815,2025-10-26T00:00:15+00:00,0.39
1761523214,2025-10-27T00:00:14+00:00,0.405
1761609617,2025-10-28T00:00:17+00:00,0.445
1761696016,2025-10-29T00:00:16+00:00,0.415
1761782416,2025-10-30T00:00:16+00:00,0.33
1761868811,2025-10-31T00:00:11+00:00,0.36
1761955215,2025-11-01T00:00:15+00:00,0.26
1762041612,2025-11-02T00:00:12+00:00,0.245
1762128014,2025-11-03T00:00:14+00:00,0.265
1762214415,2025-11-04T00:00:15+00:00,0.255
1762300815,2025-11-05T00:00:15+00:00,0.25
1762387210,2025-11-06T00:00:10+00:00,0.275
1762473615,2025-11-07T00:00:15+00:00,0.29
1762560011,2025-11-08T00:00:11+00:00,0.325
1762646427,2025-11-09T00:00:27+00:00,0.34
1762732811,2025-11-10T00:00:11+00:00,0.37
1762819216,2025-11-11T00:00:16+00:00,0.36
1762905615,2025-11-12T00:00:15+00:00,0.36
1762992015,2025-11-13T00:00:15+00:00,0.355
1763078414,2025-11-14T00:00:14+00:00,0.365
1763164817,2025-11-15T00:00:17+00:00,0.355
1763251212,2025-11-16T00:00:12+00:00,0.34
1763337615,2025-11-17T00:00:15+00:00,0.33
1763424012,2025-11-18T00:00:12+00:00,0.395
1763510418,2025-11-19T00:00:18+00:00,0.44
1763596812,2025-11-20T00:00:12+00:00,0.485
1763683218,2025-11-21T00:00:18+00:00,0.445
1763769613,2025-11-22T00:00:13+00:00,0.39
1763856014,2025-11-23T00:00:14+00:00,0.415
1763942413,2025-11-24T00:00:13+00:00,0.42
1764028816,2025-11-25T00:00:16+00:00,0.355
1764115214,2025-11-26T00:00:14+00:00,0.355
1764201616,2025-11-27T00:00:16+00:00,0.305
1764288015,2025-11-28T00:00:15+00:00,0.29
1764374420,2025-11-29T00:00:20+00:00,0.26
1764460816,2025-11-30T00:00:16+00:00,0.255
1764547217,2025-12-01T00:00:17+00:00,0.27
1764633612,2025-12-02T00:00:12+00:00,0.28
1764720018,2025-12-03T00:00:18+00:00,0.275
1764806413,2025-12-04T00:00:13+00:00,0.3
1764892814,2025-12-05T00:00:14+00:00,0.285
1764979215,2025-12-06T00:00:15+00:00,0.265
1765065628,2025-12-07T00:00:28+00:00,0.285
1765152027,2025-12-08T00:00:27+00:00,0.27
1765238425,2025-12-09T00:00:25+00:00,0.265
1765324813,2025-12-10T00:00:13+00:00,0.25
1765411213,2025-12-11T00:00:13+00:00,0.195
1765497614,2025-12-12T00:00:14+00:00,0.175
1765584016,2025-12-13T00:00:16+00:00,0.205
1765670416,2025-12-14T00:00:16+00:00,0.205
1765756817,2025-12-15T00:00:17+00:00,0.205
1765843214,2025-12-16T00:00:14+00:00,0.205
1765929611,2025-12-17T00:00:11+00:00,0.205
1765929634,2025-12-17T00:00:34+00:00,0.205
1766016023,2025-12-18T00:00:23+00:00,0.215
1766102414,2025-12-19T00:00:14+00:00,0.245
1766188814,2025-12-20T00:00:14+00:00,0.205
1766275214,2025-12-21T00:00:14+00:00,0.195
1766361614,2025-12-22T00:00:14+00:00,0.185
1766448016,2025-12-23T00:00:16+00:00,0.175
1766534416,2025-12-24T00:00:16+00:00,0.125
1766620825,2025-12-25T00:00:25+00:00,0.115
1766707212,2025-12-26T00:00:12+00:00,0.115
1766793615,2025-12-27T00:00:15+00:00,0.145
1766880016,2025-12-28T00:00:16+00:00,0.135
1766966432,2025-12-29T00:00:32+00:00,0.125
1767052819,2025-12-30T00:00:19+00:00,0.125
1767139216,2025-12-31T00:00:16+00:00,0.125
1767225616,2026-01-01T00:00:16+00:00,0.105
1767312015,2026-01-02T00:00:15+00:00,0.105
1767398414,2026-01-03T00:00:14+00:00,0.105
1767484815,2026-01-04T00:00:15+00:00,0.095
1767571218,2026-01-05T00:00:18+00:00,0.095
1767657619,2026-01-06T00:00:19+00:00,0.105
1767744016,2026-01-07T00:00:16+00:00,0.105
1767830432,2026-01-08T00:00:32+00:00,0.075
1767916817,2026-01-09T00:00:17+00:00,0.075
1768003218,2026-01-10T00:00:18+00:00,0.0245
1768089616,2026-01-11T00:00:16+00:00,0.0375
1768176018,2026-01-12T00:00:18+00:00,0.0405
1768262419,2026-01-13T00:00:19+00:00,0.0655
1768348819,2026-01-14T00:00:19+00:00,0.041
1768435220,2026-01-15T00:00:20+00:00,0.056
1768521623,2026-01-16T00:00:23+00:00,0.049
1768608020,2026-01-17T00:00:20+00:00,0.0435
1768694429,2026-01-18T00:00:29+00:00,0.0385
