timestamp_unix,datetime_utc,decreases_50_january_2026_no
1758153606,2025-09-18T00:00:06+00:00,0.88
1758240016,2025-09-19T00:00:16+00:00,0.895
1758326414,2025-09-20T00:00:14+00:00,0.875
1758412808,2025-09-21T00:00:08+00:00,0.915
1758499207,2025-09-22T00:00:07+00:00,0.89
1758585611,2025-09-23T00:00:11+00:00,0.905
1758672006,2025-09-24T00:00:06+00:00,0.895
1758758402,2025-09-25T00:00:02+00:00,0.9
1758844804,2025-09-26T00:00:04+00:00,0.93
1758931207,2025-09-27T00:00:07+00:00,0.93
1759017612,2025-09-28T00:00:12+00:00,0.93
1759104008,2025-09-29T00:00:08+00:00,0.93
1759190407,2025-09-30T00:00:07+00:00,0.935
1759276810,2025-10-01T00:00:10+00:00,0.91
1759363210,2025-10-02T00:00:10+00:00,0.925
1759449608,2025-10-03T00:00:08+00:00,0.925
1759536006,2025-10-04T00:00:06+00:00,0.92
1759622404,2025-10-05T00:00:04+00:00,0.915
1759708810,2025-10-06T00:00:10+00:00,0.905
1759795206,2025-10-07T00:00:06+00:00,0.905
1759881612,2025-10-08T00:00:12+00:00,0.885
1759968014,2025-10-09T00:00:14+00:00,0.885
1760054418,2025-10-10T00:00:18+00:00,0.895
1760140807,2025-10-11T00:00:07+00:00,0.885
1760227216,2025-10-12T00:00:16+00:00,0.895
1760313609,2025-10-13T00:00:09+00:00,0.9
1760400019,2025-10-14T00:00:19+00:00,0.905
1760486410,2025-10-15T00:00:10+00:00,0.9
1760572816,2025-10-16T00:00:16+00:00,0.905
1760659210,2025-10-17T00:00:10+00:00,0.91
1760745607,2025-10-18T00:00:07+00:00,0.885
1760832003,2025-10-19T00:00:03+00:00,0.885
1760918419,2025-10-20T00:00:19+00:00,0.885
1761004809,2025-10-21T00:00:09+00:00,0.89
1761091216,2025-10-22T00:00:16+00:00,0.885
1761177609,2025-10-23T00:00:09+00:00,0.895
1761264013,2025-10-24T00:00:13+00:00,0.905
1761350413,2025-10-25T00:00:13+00:00,0.895
1761436815,2025-10-26T00:00:15+00:00,0.935
1761523213,2025-10-27T00:00:13+00:00,0.915
1761609616,2025-10-28T00:00:16+00:00,0.93
1761696015,2025-10-29T00:00:15+00:00,0.905
1761782415,2025-10-30T00:00:15+00:00,0.915
1761868810,2025-10-31T00:00:10+00:00,0.93
1761955214,2025-11-01T00:00:14+00:00,0.94
1762041612,2025-11-02T00:00:12+00:00,0.925
1762128013,2025-11-03T00:00:13+00:00,0.93
1762214414,2025-11-04T00:00:14+00:00,0.935
1762300814,2025-11-05T00:00:14+00:00,0.93
1762387209,2025-11-06T00:00:09+00:00,0.93
1762473614,2025-11-07T00:00:14+00:00,0.93
