timestamp_unix,datetime_utc,decreases_50_january_2026_yes
1758153610,2025-09-18T00:00:10+00:00,0.12
1758240019,2025-09-19T00:00:19+00:00,0.105
1758326414,2025-09-20T00:00:14+00:00,0.125
1758412806,2025-09-21T00:00:06+00:00,0.085
1758499218,2025-09-22T00:00:18+00:00,0.11
1758585602,2025-09-23T00:00:02+00:00,0.095
1758672006,2025-09-24T00:00:06+00:00,0.105
1758758406,2025-09-25T00:00:06+00:00,0.1
1758844806,2025-09-26T00:00:06+00:00,0.07
1758931208,2025-09-27T00:00:08+00:00,0.07
1759017608,2025-09-28T00:00:08+00:00,0.07
1759104006,2025-09-29T00:00:06+00:00,0.07
1759190409,2025-09-30T00:00:09+00:00,0.065
1759276804,2025-10-01T00:00:04+00:00,0.09
1759363208,2025-10-02T00:00:08+00:00,0.075
1759449606,2025-10-03T00:00:06+00:00,0.075
1759536006,2025-10-04T00:00:06+00:00,0.08
1759622405,2025-10-05T00:00:05+00:00,0.085
1759708802,2025-10-06T00:00:02+00:00,0.095
1759795212,2025-10-07T00:00:12+00:00,0.095
1759881606,2025-10-08T00:00:06+00:00,0.115
1759968005,2025-10-09T00:00:05+00:00,0.115
1760054414,2025-10-10T00:00:14+00:00,0.105
1760140813,2025-10-11T00:00:13+00:00,0.115
1760227215,2025-10-12T00:00:15+00:00,0.105
1760313612,2025-10-13T00:00:12+00:00,0.1
1760400014,2025-10-14T00:00:14+00:00,0.095
1760486413,2025-10-15T00:00:13+00:00,0.1
1760572820,2025-10-16T00:00:20+00:00,0.095
1760659214,2025-10-17T00:00:14+00:00,0.09
1760745607,2025-10-18T00:00:07+00:00,0.115
1760832014,2025-10-19T00:00:14+00:00,0.115
1760918419,2025-10-20T00:00:19+00:00,0.115
1761004809,2025-10-21T00:00:09+00:00,0.11
1761091216,2025-10-22T00:00:16+00:00,0.115
1761177609,2025-10-23T00:00:09+00:00,0.105
1761264013,2025-10-24T00:00:13+00:00,0.095
1761350413,2025-10-25T00:00:13+00:00,0.105
1761436814,2025-10-26T00:00:14+00:00,0.065
1761523213,2025-10-27T00:00:13+00:00,0.085
1761609616,2025-10-28T00:00:16+00:00,0.07
1761696015,2025-10-29T00:00:15+00:00,0.095
1761782415,2025-10-30T00:00:15+00:00,0.085
1761868810,2025-10-31T00:00:10+00:00,0.07
1761955214,2025-11-01T00:00:14+00:00,0.06
1762041612,2025-11-02T00:00:12+00:00,0.075
1762128012,2025-11-03T00:00:12+00:00,0.07
1762214413,2025-11-04T00:00:13+00:00,0.065
1762300813,2025-11-05T00:00:13+00:00,0.07
1762387209,2025-11-06T00:00:09+00:00,0.07
1762473614,2025-11-07T00:00:14+00:00,0.07
1762560010,2025-11-08T00:00:10+00:00,0.075
1762646426,2025-11-09T00:00:26+00:00,0.075
1762732810,2025-11-10T00:00:10+00:00,0.024
1762819215,2025-11-11T00:00:15+00:00,0.0265
1762905614,2025-11-12T00:00:14+00:00,0.045
1762992013,2025-11-13T00:00:13+00:00,0.063
1763078413,2025-11-14T00:00:13+00:00,0.077
1763164816,2025-11-15T00:00:16+00:00,0.085
1763251211,2025-11-16T00:00:11+00:00,0.0685
1763337614,2025-11-17T00:00:14+00:00,0.0755
1763424011,2025-11-18T00:00:11+00:00,0.082
1763510416,2025-11-19T00:00:16+00:00,0.053
1763596811,2025-11-20T00:00:11+00:00,0.051
1763683217,2025-11-21T00:00:17+00:00,0.09
1763769612,2025-11-22T00:00:12+00:00,0.0565
1763856013,2025-11-23T00:00:13+00:00,0.0685
1763942413,2025-11-24T00:00:13+00:00,0.067
1764028815,2025-11-25T00:00:15+00:00,0.0405
1764115213,2025-11-26T00:00:13+00:00,0.044
1764201615,2025-11-27T00:00:15+00:00,0.044
1764288015,2025-11-28T00:00:15+00:00,0.041
1764374419,2025-11-29T00:00:19+00:00,0.0405
1764460815,2025-11-30T00:00:15+00:00,0.0425
1764547216,2025-12-01T00:00:16+00:00,0.0375
1764633611,2025-12-02T00:00:11+00:00,0.037
1764720017,2025-12-03T00:00:17+00:00,0.0385
1764806412,2025-12-04T00:00:12+00:00,0.033
1764892814,2025-12-05T00:00:14+00:00,0.0195
1764979214,2025-12-06T00:00:14+00:00,0.03
1765065627,2025-12-07T00:00:27+00:00,0.037
1765152026,2025-12-08T00:00:26+00:00,0.0395
1765238424,2025-12-09T00:00:24+00:00,0.0355
1765324812,2025-12-10T00:00:12+00:00,0.034
1765411213,2025-12-11T00:00:13+00:00,0.013
1765497613,2025-12-12T00:00:13+00:00,0.0105
1765584015,2025-12-13T00:00:15+00:00,0.0135
1765670415,2025-12-14T00:00:15+00:00,0.0135
1765756816,2025-12-15T00:00:16+00:00,0.0135
1765843214,2025-12-16T00:00:14+00:00,0.0165
1765929610,2025-12-17T00:00:10+00:00,0.0165
1765929633,2025-12-17T00:00:33+00:00,0.0165
1766016022,2025-12-18T00:00:22+00:00,0.0155
1766102414,2025-12-19T00:00:14+00:00,0.0145
1766188813,2025-12-20T00:00:13+00:00,0.0155
1766275213,2025-12-21T00:00:13+00:00,0.0145
1766361613,2025-12-22T00:00:13+00:00,0.0135
1766448015,2025-12-23T00:00:15+00:00,0.0145
1766534414,2025-12-24T00:00:14+00:00,0.0155
1766620825,2025-12-25T00:00:25+00:00,0.0155
1766707211,2025-12-26T00:00:11+00:00,0.0125
1766793615,2025-12-27T00:00:15+00:00,0.0125
1766880015,2025-12-28T00:00:15+00:00,0.0125
1766966431,2025-12-29T00:00:31+00:00,0.0125
1767052818,2025-12-30T00:00:18+00:00,0.0125
1767139215,2025-12-31T00:00:15+00:00,0.0115
1767225615,2026-01-01T00:00:15+00:00,0.0105
1767312014,2026-01-02T00:00:14+00:00,0.0075
1767398413,2026-01-03T00:00:13+00:00,0.0075
1767484815,2026-01-04T00:00:15+00:00,0.0075
1767571217,2026-01-05T00:00:17+00:00,0.0075
1767657619,2026-01-06T00:00:19+00:00,0.0065
