timestamp_unix,datetime_utc,increases_25_january_2026_no
1758153611,2025-09-18T00:00:11+00:00,0.967
1758240017,2025-09-19T00:00:17+00:00,0.9575
1758326410,2025-09-20T00:00:10+00:00,0.9745
1758412806,2025-09-21T00:00:06+00:00,0.974
1758499211,2025-09-22T00:00:11+00:00,0.973
1758585608,2025-09-23T00:00:08+00:00,0.9675
1758672006,2025-09-24T00:00:06+00:00,0.9685
1758758407,2025-09-25T00:00:07+00:00,0.9725
1758844804,2025-09-26T00:00:04+00:00,0.978
1758931211,2025-09-27T00:00:11+00:00,0.98
1759017612,2025-09-28T00:00:12+00:00,0.9825
1759104007,2025-09-29T00:00:07+00:00,0.9835
1759190402,2025-09-30T00:00:02+00:00,0.9855
1759276805,2025-10-01T00:00:05+00:00,0.9895
1759363206,2025-10-02T00:00:06+00:00,0.9915
1759449611,2025-10-03T00:00:11+00:00,0.9925
1759536010,2025-10-04T00:00:10+00:00,0.9925
1759622405,2025-10-05T00:00:05+00:00,0.9925
1759708806,2025-10-06T00:00:06+00:00,0.9925
1759795208,2025-10-07T00:00:08+00:00,0.9925
1759881613,2025-10-08T00:00:13+00:00,0.9905
1759968012,2025-10-09T00:00:12+00:00,0.99
1760054405,2025-10-10T00:00:05+00:00,0.9895
1760140812,2025-10-11T00:00:12+00:00,0.991
1760227209,2025-10-12T00:00:09+00:00,0.9905
1760313604,2025-10-13T00:00:04+00:00,0.991
1760400009,2025-10-14T00:00:09+00:00,0.9905
1760486415,2025-10-15T00:00:15+00:00,0.9875
1760572811,2025-10-16T00:00:11+00:00,0.99
1760659204,2025-10-17T00:00:04+00:00,0.9915
1760745614,2025-10-18T00:00:14+00:00,0.988
1760832010,2025-10-19T00:00:10+00:00,0.9915
1760918416,2025-10-20T00:00:16+00:00,0.9915
1761004806,2025-10-21T00:00:06+00:00,0.976
1761091221,2025-10-22T00:00:21+00:00,0.9895
1761177611,2025-10-23T00:00:11+00:00,0.9895
1761264017,2025-10-24T00:00:17+00:00,0.987
1761350416,2025-10-25T00:00:16+00:00,0.9885
1761436818,2025-10-26T00:00:18+00:00,0.9895
1761523217,2025-10-27T00:00:17+00:00,0.9905
1761609620,2025-10-28T00:00:20+00:00,0.99
1761696019,2025-10-29T00:00:19+00:00,0.9805
1761782419,2025-10-30T00:00:19+00:00,0.9825
1761868813,2025-10-31T00:00:13+00:00,0.978
1761955219,2025-11-01T00:00:19+00:00,0.9785
1762041615,2025-11-02T00:00:15+00:00,0.983
1762128017,2025-11-03T00:00:17+00:00,0.983
1762214418,2025-11-04T00:00:18+00:00,0.983
1762300819,2025-11-05T00:00:19+00:00,0.9825
1762387212,2025-11-06T00:00:12+00:00,0.979
1762473619,2025-11-07T00:00:19+00:00,0.98
1762560013,2025-11-08T00:00:13+00:00,0.9805
1762646431,2025-11-09T00:00:31+00:00,0.9745
1762732813,2025-11-10T00:00:13+00:00,0.9855
1762819220,2025-11-11T00:00:20+00:00,0.9795
1762905618,2025-11-12T00:00:18+00:00,0.9855
1762992018,2025-11-13T00:00:18+00:00,0.9855
1763078418,2025-11-14T00:00:18+00:00,0.9845
1763164821,2025-11-15T00:00:21+00:00,0.9855
1763251214,2025-11-16T00:00:14+00:00,0.9855
1763337619,2025-11-17T00:00:19+00:00,0.9855
1763424015,2025-11-18T00:00:15+00:00,0.9865
1763510422,2025-11-19T00:00:22+00:00,0.9865
1763596814,2025-11-20T00:00:14+00:00,0.9865
1763683224,2025-11-21T00:00:24+00:00,0.9865
1763769616,2025-11-22T00:00:16+00:00,0.9865
1763856017,2025-11-23T00:00:17+00:00,0.9865
1763942415,2025-11-24T00:00:15+00:00,0.9865
1764028820,2025-11-25T00:00:20+00:00,0.9865
1764115216,2025-11-26T00:00:16+00:00,0.9865
1764201621,2025-11-27T00:00:21+00:00,0.9865
1764288019,2025-11-28T00:00:19+00:00,0.9865
1764374426,2025-11-29T00:00:26+00:00,0.9865
1764460819,2025-11-30T00:00:19+00:00,0.9865
1764547222,2025-12-01T00:00:22+00:00,0.9875
1764633615,2025-12-02T00:00:15+00:00,0.9875
1764720023,2025-12-03T00:00:23+00:00,0.9875
1764806415,2025-12-04T00:00:15+00:00,0.9875
1764892817,2025-12-05T00:00:17+00:00,0.9885
1764979218,2025-12-06T00:00:18+00:00,0.9885
1765065631,2025-12-07T00:00:31+00:00,0.9885
1765152030,2025-12-08T00:00:30+00:00,0.9885
1765238427,2025-12-09T00:00:27+00:00,0.9895
1765324815,2025-12-10T00:00:15+00:00,0.9875
1765411216,2025-12-11T00:00:16+00:00,0.9895
1765497616,2025-12-12T00:00:16+00:00,0.9895
1765584018,2025-12-13T00:00:18+00:00,0.9905
1765670419,2025-12-14T00:00:19+00:00,0.9895
1765756822,2025-12-15T00:00:22+00:00,0.9865
1765843217,2025-12-16T00:00:17+00:00,0.9865
1765929615,2025-12-17T00:00:15+00:00,0.9875
1765929636,2025-12-17T00:00:36+00:00,0.9875
1766016025,2025-12-18T00:00:25+00:00,0.9875
1766102417,2025-12-19T00:00:17+00:00,0.9925
1766188816,2025-12-20T00:00:16+00:00,0.9925
1766275217,2025-12-21T00:00:17+00:00,0.9925
1766361617,2025-12-22T00:00:17+00:00,0.9925
1766448019,2025-12-23T00:00:19+00:00,0.9935
1766534418,2025-12-24T00:00:18+00:00,0.9935
1766620828,2025-12-25T00:00:28+00:00,0.9965
1766707213,2025-12-26T00:00:13+00:00,0.9965
1766793618,2025-12-27T00:00:18+00:00,0.9965
1766880018,2025-12-28T00:00:18+00:00,0.9965
1766966435,2025-12-29T00:00:35+00:00,0.9965
1767052821,2025-12-30T00:00:21+00:00,0.9975
1767139219,2025-12-31T00:00:19+00:00,0.9975
1767225619,2026-01-01T00:00:19+00:00,0.9975
1767312018,2026-01-02T00:00:18+00:00,0.9965
1767398416,2026-01-03T00:00:16+00:00,0.9965
1767484818,2026-01-04T00:00:18+00:00,0.9965
1767571221,2026-01-05T00:00:21+00:00,0.9965
1767657622,2026-01-06T00:00:22+00:00,0.9965
1767744020,2026-01-07T00:00:20+00:00,0.9965
1767830436,2026-01-08T00:00:36+00:00,0.9965
1767916821,2026-01-09T00:00:21+00:00,0.9965
1768003221,2026-01-10T00:00:21+00:00,0.9975
1768089619,2026-01-11T00:00:19+00:00,0.9995
1768176021,2026-01-12T00:00:21+00:00,0.9995
1768262422,2026-01-13T00:00:22+00:00,0.9995
